run_time,iteration,loss,style_loss,content_loss,time
0.1220,0,6.4849e+08,6.4849e+08,0.0000e+00,0.1220
0.2589,1,2.8107e+08,2.7983e+08,1.2410e+06,0.1274
0.3913,2,2.0066e+08,1.9839e+08,2.2711e+06,0.1252
0.5246,3,1.4885e+08,1.4637e+08,2.4832e+06,0.1255
0.6591,4,1.1337e+08,1.1100e+08,2.3668e+06,0.1274
0.7944,5,1.0172e+08,9.9445e+07,2.2797e+06,0.1277
0.9312,6,9.0140e+07,8.7822e+07,2.3174e+06,0.1293
1.0666,7,7.6963e+07,7.4531e+07,2.4317e+06,0.1278
1.1985,8,6.8792e+07,6.6226e+07,2.5653e+06,0.1247
1.3338,9,6.4447e+07,6.1782e+07,2.6647e+06,0.1277
1.4660,10,5.9875e+07,5.7169e+07,2.7061e+06,0.1251
1.5996,11,5.5591e+07,5.2892e+07,2.6995e+06,0.1262
1.7359,12,5.3178e+07,5.0500e+07,2.6781e+06,0.1287
1.8693,13,5.1262e+07,4.8597e+07,2.6653e+06,0.1260
2.0035,14,4.8037e+07,4.5365e+07,2.6722e+06,0.1269
2.1392,15,4.3970e+07,4.1271e+07,2.6990e+06,0.1282
2.2703,16,4.0510e+07,3.7775e+07,2.7351e+06,0.1237
2.4060,17,3.8185e+07,3.5417e+07,2.7678e+06,0.1281
2.5382,18,3.6391e+07,3.3603e+07,2.7877e+06,0.1248
2.6727,19,3.4555e+07,3.1762e+07,2.7937e+06,0.1269
2.8085,20,3.2826e+07,3.0032e+07,2.7943e+06,0.1283
2.9415,21,3.1458e+07,2.8660e+07,2.7985e+06,0.1255
3.0779,22,3.0413e+07,2.7599e+07,2.8139e+06,0.1286
3.2189,23,2.9495e+07,2.6652e+07,2.8434e+06,0.1335
3.3560,24,2.8647e+07,2.5763e+07,2.8842e+06,0.1284
3.4902,25,2.8004e+07,2.5075e+07,2.9297e+06,0.1263
3.6248,26,2.7601e+07,2.4629e+07,2.9717e+06,0.1261
3.7606,27,2.7241e+07,2.4240e+07,3.0012e+06,0.1276
3.8970,28,2.6691e+07,2.3678e+07,3.0132e+06,0.1248
4.0314,29,2.5954e+07,2.2945e+07,3.0083e+06,0.1265
4.1670,30,2.5284e+07,2.2294e+07,2.9902e+06,0.1282
4.2997,31,2.4924e+07,2.1958e+07,2.9661e+06,0.1253
4.4352,32,2.4869e+07,2.1926e+07,2.9428e+06,0.1281
