run_time,iteration,loss,style_loss,content_loss,time
0.1235,0,7.5533e+08,7.5533e+08,0.0000e+00,0.1235
0.2579,1,3.0156e+08,3.0069e+08,8.6247e+05,0.1242
0.3928,2,2.0219e+08,2.0076e+08,1.4301e+06,0.1276
0.5254,3,1.5547e+08,1.5386e+08,1.6070e+06,0.1249
0.6585,4,1.2682e+08,1.2519e+08,1.6349e+06,0.1255
0.8029,5,1.0972e+08,1.0811e+08,1.6093e+06,0.1371
0.9414,6,1.0051e+08,9.8914e+07,1.5951e+06,0.1311
1.0745,7,9.5577e+07,9.3964e+07,1.6130e+06,0.1256
1.2063,8,9.1874e+07,9.0221e+07,1.6536e+06,0.1243
1.3411,9,8.8024e+07,8.6310e+07,1.7139e+06,0.1274
1.4727,10,8.4062e+07,8.2268e+07,1.7939e+06,0.1246
1.6088,11,8.0409e+07,7.8523e+07,1.8856e+06,0.1258
1.7426,12,7.7498e+07,7.5520e+07,1.9780e+06,0.1266
1.8772,13,7.5213e+07,7.3153e+07,2.0605e+06,0.1272
2.0131,14,7.3348e+07,7.1220e+07,2.1276e+06,0.1286
2.1455,15,7.1640e+07,6.9461e+07,2.1790e+06,0.1250
2.2806,16,7.0008e+07,6.7792e+07,2.2160e+06,0.1279
2.4158,17,6.8399e+07,6.6158e+07,2.2417e+06,0.1277
2.5481,18,6.6811e+07,6.4552e+07,2.2595e+06,0.1249
2.6838,19,6.5269e+07,6.2996e+07,2.2725e+06,0.1285
2.8229,20,6.3796e+07,6.1512e+07,2.2845e+06,0.1321
2.9547,21,6.2371e+07,6.0076e+07,2.2956e+06,0.1236
3.0892,22,6.0945e+07,5.8637e+07,2.3082e+06,0.1272
3.2220,23,5.9538e+07,5.7216e+07,2.3223e+06,0.1257
3.3558,24,5.8092e+07,5.5753e+07,2.3382e+06,0.1267
3.4912,25,5.6627e+07,5.4270e+07,2.3568e+06,0.1279
3.6233,26,5.5164e+07,5.2787e+07,2.3767e+06,0.1248
3.7583,27,5.3726e+07,5.1329e+07,2.3974e+06,0.1279
3.8933,28,5.2342e+07,4.9922e+07,2.4191e+06,0.1277
4.0252,29,5.1003e+07,4.8563e+07,2.4405e+06,0.1243
4.1600,30,4.9734e+07,4.7273e+07,2.4612e+06,0.1275
4.2914,31,4.8524e+07,4.6043e+07,2.4818e+06,0.1244
4.4269,32,4.7360e+07,4.4858e+07,2.5016e+06,0.1279
4.5619,33,4.6247e+07,4.3727e+07,2.5200e+06,0.1278
4.6945,34,4.5185e+07,4.2648e+07,2.5365e+06,0.1251
4.8300,35,4.4166e+07,4.1615e+07,2.5514e+06,0.1280
4.9627,36,4.3191e+07,4.0626e+07,2.5647e+06,0.1254
5.0961,37,4.2275e+07,3.9698e+07,2.5766e+06,0.1263
5.2315,38,4.1399e+07,3.8812e+07,2.5871e+06,0.1279
5.3638,39,4.0563e+07,3.7968e+07,2.5956e+06,0.1251
5.4993,40,3.9752e+07,3.7150e+07,2.6025e+06,0.1282
5.6324,41,3.8971e+07,3.6363e+07,2.6087e+06,0.1259
5.7672,42,3.8222e+07,3.5607e+07,2.6145e+06,0.1275
5.9025,43,3.7499e+07,3.4879e+07,2.6199e+06,0.1278
6.0345,44,3.6800e+07,3.4176e+07,2.6243e+06,0.1250
