run_time,iteration,loss,style_loss,content_loss,time
0.1398,0,7.6273e+08,7.6273e+08,0.0000e+00,0.1398
0.2805,1,3.2078e+08,3.1997e+08,8.1060e+05,0.1293
0.4126,2,2.1544e+08,2.1412e+08,1.3283e+06,0.1245
0.5469,3,1.6462e+08,1.6312e+08,1.4993e+06,0.1272
0.6802,4,1.3368e+08,1.3215e+08,1.5304e+06,0.1252
0.8143,5,1.1521e+08,1.1370e+08,1.5147e+06,0.1264
0.9450,6,1.0519e+08,1.0368e+08,1.5123e+06,0.1233
1.0801,7,9.9915e+07,9.8376e+07,1.5398e+06,0.1272
1.2129,8,9.6199e+07,9.4613e+07,1.5858e+06,0.1244
1.3469,9,9.2592e+07,9.0946e+07,1.6454e+06,0.1264
1.4793,10,8.9063e+07,8.7347e+07,1.7161e+06,0.1252
1.6126,11,8.5918e+07,8.4126e+07,1.7929e+06,0.1262
1.7476,12,8.3397e+07,8.1530e+07,1.8670e+06,0.1276
1.8776,13,8.1429e+07,7.9498e+07,1.9308e+06,0.1228
2.0114,14,7.9777e+07,7.7798e+07,1.9789e+06,0.1266
2.1412,15,7.8269e+07,7.6252e+07,2.0165e+06,0.1226
2.2750,16,7.6816e+07,7.4771e+07,2.0458e+06,0.1264
2.4065,17,7.5367e+07,7.3296e+07,2.0712e+06,0.1244
2.5403,18,7.3935e+07,7.1841e+07,2.0935e+06,0.1267
2.6708,19,7.2553e+07,7.0440e+07,2.1133e+06,0.1234
2.8045,20,7.1187e+07,6.9055e+07,2.1329e+06,0.1265
2.9363,21,6.9767e+07,6.7614e+07,2.1525e+06,0.1247
3.0699,22,6.8279e+07,6.6106e+07,2.1730e+06,0.1265
3.2022,23,6.6729e+07,6.4536e+07,2.1922e+06,0.1251
3.3349,24,6.5135e+07,6.2925e+07,2.2097e+06,0.1255
3.4682,25,6.3549e+07,6.1323e+07,2.2261e+06,0.1262
3.5994,26,6.2007e+07,5.9765e+07,2.2418e+06,0.1242
3.7339,27,6.0519e+07,5.8262e+07,2.2570e+06,0.1273
3.8639,28,5.9092e+07,5.6820e+07,2.2718e+06,0.1231
3.9985,29,5.7729e+07,5.5443e+07,2.2867e+06,0.1275
4.1296,30,5.6427e+07,5.4125e+07,2.3015e+06,0.1241
4.2641,31,5.5167e+07,5.2852e+07,2.3155e+06,0.1271
4.3948,32,5.3943e+07,5.1614e+07,2.3289e+06,0.1236
4.5291,33,5.2757e+07,5.0416e+07,2.3410e+06,0.1268
4.6617,34,5.1610e+07,4.9258e+07,2.3520e+06,0.1255
4.7945,35,5.0502e+07,4.8140e+07,2.3616e+06,0.1256
4.9298,36,4.9451e+07,4.7081e+07,2.3705e+06,0.1281
5.0603,37,4.8447e+07,4.6069e+07,2.3782e+06,0.1234
5.1946,38,4.7474e+07,4.5090e+07,2.3847e+06,0.1271
5.3257,39,4.6544e+07,4.4153e+07,2.3903e+06,0.1238
5.4662,40,4.5644e+07,4.3249e+07,2.3953e+06,0.1330
5.5997,41,4.4771e+07,4.2372e+07,2.3991e+06,0.1221
5.7317,42,4.3928e+07,4.1526e+07,2.4018e+06,0.1247
5.8659,43,4.3118e+07,4.0714e+07,2.4043e+06,0.1270
5.9964,44,4.2335e+07,3.9928e+07,2.4063e+06,0.1235
6.1318,45,4.1581e+07,3.9173e+07,2.4079e+06,0.1284
6.2668,46,4.0856e+07,3.8446e+07,2.4099e+06,0.1255
6.3985,47,4.0167e+07,3.7755e+07,2.4117e+06,0.1245
6.5330,48,3.9502e+07,3.7089e+07,2.4128e+06,0.1274
6.6642,49,3.8852e+07,3.6438e+07,2.4143e+06,0.1242
6.7975,50,3.8219e+07,3.5804e+07,2.4157e+06,0.1261
6.9293,51,3.7604e+07,3.5187e+07,2.4169e+06,0.1248
7.0630,52,3.6998e+07,3.4580e+07,2.4185e+06,0.1266
7.1966,53,3.6409e+07,3.3989e+07,2.4199e+06,0.1266
7.3288,54,3.5834e+07,3.3413e+07,2.4211e+06,0.1234
7.4643,55,3.5274e+07,3.2852e+07,2.4224e+06,0.1282
7.5944,56,3.4725e+07,3.2302e+07,2.4235e+06,0.1231
7.7280,57,3.4187e+07,3.1762e+07,2.4246e+06,0.1263
7.8596,58,3.3661e+07,3.1237e+07,2.4247e+06,0.1246
7.9992,59,3.3149e+07,3.0725e+07,2.4244e+06,0.1323
8.1340,60,3.2652e+07,3.0228e+07,2.4239e+06,0.1274
8.2647,61,3.2163e+07,2.9740e+07,2.4234e+06,0.1236
8.3988,62,3.1688e+07,2.9265e+07,2.4225e+06,0.1270
8.5305,63,3.1223e+07,2.8801e+07,2.4216e+06,0.1245
8.6642,64,3.0765e+07,2.8344e+07,2.4211e+06,0.1266
8.7992,65,3.0318e+07,2.7898e+07,2.4205e+06,0.1274
8.9305,66,2.9880e+07,2.7459e+07,2.4203e+06,0.1244
9.0653,67,2.9450e+07,2.7030e+07,2.4205e+06,0.1270
9.1962,68,2.9030e+07,2.6609e+07,2.4207e+06,0.1239
9.3305,69,2.8618e+07,2.6198e+07,2.4205e+06,0.1272
9.4633,70,2.8217e+07,2.5797e+07,2.4204e+06,0.1256
9.5957,71,2.7826e+07,2.5406e+07,2.4200e+06,0.1254
9.7302,72,2.7440e+07,2.5020e+07,2.4202e+06,0.1274
9.8616,73,2.7062e+07,2.4641e+07,2.4205e+06,0.1244
9.9970,74,2.6694e+07,2.4273e+07,2.4209e+06,0.1282
10.1288,75,2.6335e+07,2.3914e+07,2.4211e+06,0.1248
10.2654,76,2.5982e+07,2.3561e+07,2.4212e+06,0.1289
10.4003,77,2.5636e+07,2.3215e+07,2.4212e+06,0.1275
10.5305,78,2.5300e+07,2.2879e+07,2.4206e+06,0.1230
10.6659,79,2.4971e+07,2.2552e+07,2.4196e+06,0.1282
10.7963,80,2.4651e+07,2.2233e+07,2.4182e+06,0.1235
10.9302,81,2.4337e+07,2.1920e+07,2.4167e+06,0.1268
11.0610,82,2.4030e+07,2.1615e+07,2.4150e+06,0.1239
11.1943,83,2.3728e+07,2.1315e+07,2.4131e+06,0.1258
11.3268,84,2.3434e+07,2.1023e+07,2.4110e+06,0.1250
11.4641,85,2.3147e+07,2.0738e+07,2.4087e+06,0.1302
11.5993,86,2.2866e+07,2.0460e+07,2.4062e+06,0.1279
11.7319,87,2.2590e+07,2.0187e+07,2.4036e+06,0.1254
11.8672,88,2.2320e+07,1.9919e+07,2.4012e+06,0.1275
12.0043,89,2.2053e+07,1.9654e+07,2.3984e+06,0.1289
12.1374,90,2.1788e+07,1.9393e+07,2.3956e+06,0.1252
12.2711,91,2.1528e+07,1.9136e+07,2.3928e+06,0.1263
12.4063,92,2.1272e+07,1.8882e+07,2.3902e+06,0.1279
12.5374,93,2.1020e+07,1.8633e+07,2.3875e+06,0.1237
12.6722,94,2.0773e+07,1.8388e+07,2.3848e+06,0.1277
12.8041,95,2.0527e+07,1.8145e+07,2.3822e+06,0.1248
12.9391,96,2.0286e+07,1.7906e+07,2.3796e+06,0.1278
13.0719,97,2.0048e+07,1.7671e+07,2.3773e+06,0.1257
13.2070,98,1.9813e+07,1.7438e+07,2.3749e+06,0.1280
13.3430,99,1.9582e+07,1.7209e+07,2.3723e+06,0.1267
13.4752,100,1.9354e+07,1.6984e+07,2.3697e+06,0.1251
13.6105,101,1.9130e+07,1.6763e+07,2.3670e+06,0.1235
13.7450,102,1.8911e+07,1.6547e+07,2.3639e+06,0.1271
13.8767,103,1.8696e+07,1.6335e+07,2.3606e+06,0.1245
14.0110,104,1.8483e+07,1.6126e+07,2.3571e+06,0.1274
14.1430,105,1.8274e+07,1.5920e+07,2.3536e+06,0.1248
14.2779,106,1.8068e+07,1.5718e+07,2.3500e+06,0.1278
14.4145,107,1.7865e+07,1.5519e+07,2.3464e+06,0.1293
14.5459,108,1.7667e+07,1.5324e+07,2.3428e+06,0.1244
14.6805,109,1.7472e+07,1.5133e+07,2.3390e+06,0.1270
14.8135,110,1.7282e+07,1.4947e+07,2.3351e+06,0.1261
14.9464,111,1.7095e+07,1.4764e+07,2.3310e+06,0.1259
15.0861,112,1.6911e+07,1.4585e+07,2.3268e+06,0.1320
15.2200,113,1.6730e+07,1.4408e+07,2.3225e+06,0.1265
15.3579,114,1.6552e+07,1.4234e+07,2.3182e+06,0.1244
15.4922,115,1.6377e+07,1.4063e+07,2.3139e+06,0.1271
15.6271,116,1.6202e+07,1.3892e+07,2.3097e+06,0.1275
15.7584,117,1.6031e+07,1.3725e+07,2.3057e+06,0.1240
15.8940,118,1.5863e+07,1.3561e+07,2.3017e+06,0.1284
16.0271,119,1.5697e+07,1.3399e+07,2.2979e+06,0.1259
16.1629,120,1.5533e+07,1.3239e+07,2.2943e+06,0.1256
16.2984,121,1.5372e+07,1.3082e+07,2.2907e+06,0.1282
16.4298,122,1.5213e+07,1.2926e+07,2.2870e+06,0.1243
16.5650,123,1.5056e+07,1.2772e+07,2.2833e+06,0.1277
16.7002,124,1.4900e+07,1.2620e+07,2.2798e+06,0.1272
16.8319,125,1.4746e+07,1.2470e+07,2.2762e+06,0.1246
16.9690,126,1.4594e+07,1.2321e+07,2.2729e+06,0.1281
17.1025,127,1.4445e+07,1.2175e+07,2.2695e+06,0.1260
17.2343,128,1.4298e+07,1.2032e+07,2.2660e+06,0.1249
17.3687,129,1.4152e+07,1.1889e+07,2.2627e+06,0.1272
17.5010,130,1.4007e+07,1.1748e+07,2.2594e+06,0.1250
17.6360,131,1.3864e+07,1.1608e+07,2.2561e+06,0.1277
17.7693,132,1.3722e+07,1.1469e+07,2.2528e+06,0.1260
17.9035,133,1.3582e+07,1.1332e+07,2.2496e+06,0.1270
18.0397,134,1.3444e+07,1.1197e+07,2.2467e+06,0.1291
18.1705,135,1.3307e+07,1.1063e+07,2.2437e+06,0.1238
18.3057,136,1.3172e+07,1.0931e+07,2.2407e+06,0.1278
18.4399,137,1.3038e+07,1.0800e+07,2.2378e+06,0.1267
18.5715,138,1.2906e+07,1.0671e+07,2.2348e+06,0.1246
18.7063,139,1.2775e+07,1.0543e+07,2.2320e+06,0.1269
18.8377,140,1.2645e+07,1.0416e+07,2.2293e+06,0.1243
