run_time,iteration,loss,style_loss,content_loss,time
0.1223,0,1.6368e+09,1.6368e+09,0.0000e+00,0.1223
0.2568,1,8.4113e+08,8.3978e+08,1.3512e+06,0.1237
0.3915,2,4.3426e+08,4.3156e+08,2.6934e+06,0.1274
0.5226,3,2.9691e+08,2.9337e+08,3.5397e+06,0.1238
0.6566,4,2.3978e+08,2.3589e+08,3.8985e+06,0.1265
0.7902,5,1.9109e+08,1.8713e+08,3.9558e+06,0.1264
0.9280,6,1.7585e+08,1.7194e+08,3.9053e+06,0.1304
1.0629,7,1.7117e+08,1.6729e+08,3.8801e+06,0.1272
1.1947,8,1.5737e+08,1.5345e+08,3.9177e+06,0.1244
1.3293,9,1.3838e+08,1.3436e+08,4.0209e+06,0.1271
1.4633,10,1.2367e+08,1.1951e+08,4.1640e+06,0.1260
1.5954,11,1.1619e+08,1.1188e+08,4.3073e+06,0.1242
1.7301,12,1.1095e+08,1.0653e+08,4.4188e+06,0.1270
1.8627,13,1.0297e+08,9.8491e+07,4.4837e+06,0.1251
1.9987,14,9.2655e+07,8.8151e+07,4.5039e+06,0.1285
2.1331,15,8.3531e+07,7.9036e+07,4.4952e+06,0.1270
2.2650,16,7.7981e+07,7.3502e+07,4.4790e+06,0.1245
2.3999,17,7.5331e+07,7.0859e+07,4.4713e+06,0.1274
2.5312,18,7.3381e+07,6.8899e+07,4.4817e+06,0.1240
2.6656,19,7.0611e+07,6.6100e+07,4.5117e+06,0.1267
2.7970,20,6.6999e+07,6.2442e+07,4.5573e+06,0.1241
2.9315,21,6.3510e+07,5.8901e+07,4.6088e+06,0.1267
3.0665,22,6.0949e+07,5.6294e+07,4.6558e+06,0.1274
3.1987,23,5.9375e+07,5.4685e+07,4.6902e+06,0.1247
3.3367,24,5.8271e+07,5.3565e+07,4.7061e+06,0.1304
3.4693,25,5.6932e+07,5.2228e+07,4.7046e+06,0.1249
3.6029,26,5.5091e+07,5.0404e+07,4.6865e+06,0.1260
3.7375,27,5.3042e+07,4.8386e+07,4.6563e+06,0.1269
3.8682,28,5.1275e+07,4.6654e+07,4.6206e+06,0.1233
4.0035,29,5.0126e+07,4.5542e+07,4.5848e+06,0.1270
4.1361,30,4.9540e+07,4.4986e+07,4.5540e+06,0.1249
4.2708,31,4.9171e+07,4.4637e+07,4.5346e+06,0.1272
4.4060,32,4.8643e+07,4.4116e+07,4.5275e+06,0.1272
4.5374,33,4.7792e+07,4.3261e+07,4.5308e+06,0.1240
4.6717,34,4.6689e+07,4.2146e+07,4.5431e+06,0.1267
4.8033,35,4.5534e+07,4.0972e+07,4.5623e+06,0.1239
4.9384,36,4.4536e+07,3.9951e+07,4.5842e+06,0.1273
5.0718,37,4.3774e+07,3.9171e+07,4.6035e+06,0.1256
5.2043,38,4.3168e+07,3.8551e+07,4.6171e+06,0.1250
