run_time,iteration,loss,style_loss,content_loss,time
0.1213,0,1.0434e+09,1.0434e+09,0.0000e+00,0.1213
0.2601,1,6.0910e+08,6.0803e+08,1.0689e+06,0.1293
0.3939,2,4.7619e+08,4.7432e+08,1.8638e+06,0.1257
0.5267,3,4.0841e+08,4.0620e+08,2.2086e+06,0.1254
0.6631,4,3.5856e+08,3.5624e+08,2.3184e+06,0.1288
0.7989,5,3.2245e+08,3.2013e+08,2.3189e+06,0.1283
0.9351,6,2.9785e+08,2.9554e+08,2.3065e+06,0.1291
1.0706,7,2.7645e+08,2.7412e+08,2.3271e+06,0.1271
1.2041,8,2.5543e+08,2.5306e+08,2.3762e+06,0.1251
1.3377,9,2.3701e+08,2.3457e+08,2.4344e+06,0.1260
1.4725,10,2.2260e+08,2.2012e+08,2.4854e+06,0.1274
1.6040,11,2.1118e+08,2.0866e+08,2.5210e+06,0.1242
1.7393,12,2.0123e+08,1.9869e+08,2.5404e+06,0.1275
1.8742,13,1.9218e+08,1.8963e+08,2.5490e+06,0.1276
2.0080,14,1.8409e+08,1.8153e+08,2.5550e+06,0.1267
2.1430,15,1.7682e+08,1.7426e+08,2.5648e+06,0.1275
2.2754,16,1.7001e+08,1.6743e+08,2.5822e+06,0.1250
2.4100,17,1.6330e+08,1.6069e+08,2.6071e+06,0.1273
2.5448,18,1.5679e+08,1.5416e+08,2.6359e+06,0.1273
2.6774,19,1.5064e+08,1.4797e+08,2.6651e+06,0.1252
2.8142,20,1.4501e+08,1.4232e+08,2.6911e+06,0.1284
2.9491,21,1.3989e+08,1.3718e+08,2.7138e+06,0.1277
3.0812,22,1.3520e+08,1.3246e+08,2.7333e+06,0.1249
3.2183,23,1.3090e+08,1.2814e+08,2.7520e+06,0.1294
3.3527,24,1.2695e+08,1.2418e+08,2.7713e+06,0.1259
3.4867,25,1.2329e+08,1.2050e+08,2.7913e+06,0.1264
3.6224,26,1.1985e+08,1.1704e+08,2.8118e+06,0.1281
3.7554,27,1.1662e+08,1.1378e+08,2.8325e+06,0.1255
3.8906,28,1.1357e+08,1.1071e+08,2.8534e+06,0.1278
4.0266,29,1.1068e+08,1.0781e+08,2.8732e+06,0.1285
4.1591,30,1.0793e+08,1.0504e+08,2.8904e+06,0.1251
4.2947,31,1.0531e+08,1.0241e+08,2.9034e+06,0.1279
4.4308,32,1.0281e+08,9.9893e+07,2.9137e+06,0.1281
4.5634,33,1.0043e+08,9.7511e+07,2.9214e+06,0.1252
4.6984,34,9.8187e+07,9.5260e+07,2.9276e+06,0.1276
4.8316,35,9.6051e+07,9.3118e+07,2.9330e+06,0.1257
4.9660,36,9.4006e+07,9.1067e+07,2.9391e+06,0.1272
5.1028,37,9.2022e+07,8.9076e+07,2.9469e+06,0.1293
5.2389,38,9.0081e+07,8.7125e+07,2.9559e+06,0.1286
5.3746,39,8.8204e+07,8.5239e+07,2.9649e+06,0.1259
5.5098,40,8.6411e+07,8.3437e+07,2.9738e+06,0.1277
5.6448,41,8.4696e+07,8.1715e+07,2.9815e+06,0.1277
5.7773,42,8.3035e+07,8.0048e+07,2.9872e+06,0.1246
5.9127,43,8.1412e+07,7.8421e+07,2.9910e+06,0.1278
6.0443,44,7.9846e+07,7.6853e+07,2.9931e+06,0.1244
6.1797,45,7.8326e+07,7.5332e+07,2.9944e+06,0.1275
6.3156,46,7.6852e+07,7.3856e+07,2.9962e+06,0.1281
6.4489,47,7.5422e+07,7.2422e+07,2.9995e+06,0.1259
6.5843,48,7.4025e+07,7.1021e+07,3.0043e+06,0.1278
6.7199,49,7.2666e+07,6.9655e+07,3.0107e+06,0.1279
6.8517,50,7.1341e+07,6.8322e+07,3.0190e+06,0.1245
6.9869,51,7.0052e+07,6.7024e+07,3.0285e+06,0.1277
7.1195,52,6.8807e+07,6.5769e+07,3.0386e+06,0.1252
7.2545,53,6.7617e+07,6.4568e+07,3.0492e+06,0.1277
7.4019,54,6.6480e+07,6.3420e+07,3.0599e+06,0.1351
7.5369,55,6.5386e+07,6.2315e+07,3.0704e+06,0.1271
7.6734,56,6.4326e+07,6.1246e+07,3.0800e+06,0.1289
7.8069,57,6.3299e+07,6.0210e+07,3.0889e+06,0.1251
7.9421,58,6.2296e+07,5.9200e+07,3.0967e+06,0.1274
8.0779,59,6.1317e+07,5.8214e+07,3.1036e+06,0.1280
8.2131,60,6.0348e+07,5.7238e+07,3.1102e+06,0.1278
8.3495,61,5.9388e+07,5.6272e+07,3.1166e+06,0.1250
8.4859,62,5.8435e+07,5.5312e+07,3.1230e+06,0.1288
8.6201,63,5.7488e+07,5.4359e+07,3.1291e+06,0.1266
8.7540,64,5.6563e+07,5.3427e+07,3.1353e+06,0.1266
8.8893,65,5.5667e+07,5.2526e+07,3.1412e+06,0.1279
9.0207,66,5.4796e+07,5.1650e+07,3.1464e+06,0.1242
9.1566,67,5.3952e+07,5.0801e+07,3.1510e+06,0.1283
