run_time,iteration,loss,style_loss,content_loss,time
0.1231,0,6.7586e+08,6.7586e+08,0.0000e+00,0.1231
0.2589,1,2.7695e+08,2.7571e+08,1.2368e+06,0.1252
0.3912,2,1.9663e+08,1.9434e+08,2.2931e+06,0.1252
0.5265,3,1.6633e+08,1.6371e+08,2.6247e+06,0.1273
0.6575,4,1.3215e+08,1.2952e+08,2.6304e+06,0.1237
0.7985,5,1.1796e+08,1.1537e+08,2.5909e+06,0.1335
0.9367,6,1.1023e+08,1.0760e+08,2.6263e+06,0.1307
1.0724,7,1.0108e+08,9.8347e+07,2.7352e+06,0.1284
1.2031,8,9.2547e+07,8.9675e+07,2.8720e+06,0.1233
1.3378,9,8.6102e+07,8.3114e+07,2.9885e+06,0.1272
1.4685,10,8.0442e+07,7.7378e+07,3.0646e+06,0.1234
1.6032,11,7.4629e+07,7.1530e+07,3.0993e+06,0.1272
1.7342,12,6.9301e+07,6.6194e+07,3.1070e+06,0.1237
1.8690,13,6.4991e+07,6.1885e+07,3.1062e+06,0.1273
2.0025,14,6.1283e+07,5.8170e+07,3.1130e+06,0.1260
2.1357,15,5.7637e+07,5.4502e+07,3.1349e+06,0.1257
2.2704,16,5.4043e+07,5.0873e+07,3.1699e+06,0.1272
2.4008,17,5.0854e+07,4.7644e+07,3.2094e+06,0.1229
2.5359,18,4.8253e+07,4.5007e+07,3.2457e+06,0.1274
2.6673,19,4.6040e+07,4.2769e+07,3.2705e+06,0.1239
2.8018,20,4.3894e+07,4.0616e+07,3.2788e+06,0.1266
2.9343,21,4.1776e+07,3.8504e+07,3.2722e+06,0.1250
3.0683,22,3.9896e+07,3.6638e+07,3.2584e+06,0.1267
3.2045,23,3.8454e+07,3.5210e+07,3.2443e+06,0.1285
3.3362,24,3.7391e+07,3.4154e+07,3.2372e+06,0.1243
3.4706,25,3.6437e+07,3.3197e+07,3.2406e+06,0.1270
3.6032,26,3.5385e+07,3.2128e+07,3.2572e+06,0.1250
3.7363,27,3.4242e+07,3.0958e+07,3.2842e+06,0.1255
