run_time,iteration,loss,style_loss,content_loss,time
0.1222,0,4.1691e+08,4.1691e+08,0.0000e+00,0.1222
0.2617,1,1.1694e+08,1.1601e+08,9.2389e+05,0.1249
0.3935,2,8.3113e+07,8.1741e+07,1.3725e+06,0.1236
0.5276,3,6.4513e+07,6.3093e+07,1.4203e+06,0.1265
0.6589,4,4.7647e+07,4.6305e+07,1.3411e+06,0.1237
0.7970,5,3.8283e+07,3.7011e+07,1.2716e+06,0.1306
0.9336,6,3.6546e+07,3.5282e+07,1.2641e+06,0.1290
1.0648,7,3.6073e+07,3.4766e+07,1.3065e+06,0.1236
1.1987,8,3.3472e+07,3.2088e+07,1.3839e+06,0.1259
1.3300,9,3.0323e+07,2.8840e+07,1.4832e+06,0.1239
1.4633,10,2.8603e+07,2.7019e+07,1.5843e+06,0.1258
1.6046,11,2.8213e+07,2.6543e+07,1.6702e+06,0.1339
1.7366,12,2.8031e+07,2.6298e+07,1.7333e+06,0.1247
1.8708,13,2.7289e+07,2.5516e+07,1.7734e+06,0.1268
2.0061,14,2.6026e+07,2.4230e+07,1.7953e+06,0.1273
2.1368,15,2.4790e+07,2.2985e+07,1.8054e+06,0.1232
2.2711,16,2.4042e+07,2.2231e+07,1.8110e+06,0.1266
2.4027,17,2.3835e+07,2.2017e+07,1.8180e+06,0.1236
2.5357,18,2.3780e+07,2.1950e+07,1.8301e+06,0.1256
2.6677,19,2.3405e+07,2.1560e+07,1.8450e+06,0.1243
2.8019,20,2.2569e+07,2.0708e+07,1.8618e+06,0.1266
2.9381,21,2.1511e+07,1.9630e+07,1.8810e+06,0.1278
3.0697,22,2.0544e+07,1.8641e+07,1.9027e+06,0.1241
3.2045,23,1.9875e+07,1.7950e+07,1.9253e+06,0.1268
3.3355,24,1.9515e+07,1.7566e+07,1.9490e+06,0.1237
3.4688,25,1.9313e+07,1.7340e+07,1.9721e+06,0.1258
3.6009,26,1.9101e+07,1.7107e+07,1.9938e+06,0.1245
3.7342,27,1.8790e+07,1.6776e+07,2.0135e+06,0.1257
3.8679,28,1.8401e+07,1.6371e+07,2.0299e+06,0.1261
3.9992,29,1.8006e+07,1.5962e+07,2.0437e+06,0.1236
4.1332,30,1.7688e+07,1.5632e+07,2.0557e+06,0.1264
4.2666,31,1.7486e+07,1.5420e+07,2.0659e+06,0.1259
4.4070,32,1.7361e+07,1.5287e+07,2.0741e+06,0.1205
4.5414,33,1.7229e+07,1.5148e+07,2.0811e+06,0.1266
4.6716,34,1.7004e+07,1.4916e+07,2.0876e+06,0.1227
4.8069,35,1.6644e+07,1.4550e+07,2.0940e+06,0.1277
4.9413,36,1.6180e+07,1.4079e+07,2.1005e+06,0.1250
5.0736,37,1.5690e+07,1.3583e+07,2.1068e+06,0.1246
5.2087,38,1.5251e+07,1.3137e+07,2.1136e+06,0.1275
5.3409,39,1.4903e+07,1.2782e+07,2.1211e+06,0.1246
5.4750,40,1.4641e+07,1.2512e+07,2.1287e+06,0.1265
5.6055,41,1.4431e+07,1.2295e+07,2.1362e+06,0.1231
5.7391,42,1.4237e+07,1.2093e+07,2.1435e+06,0.1260
5.8712,43,1.4034e+07,1.1883e+07,2.1505e+06,0.1248
6.0050,44,1.3821e+07,1.1664e+07,2.1567e+06,0.1262
6.1400,45,1.3611e+07,1.1449e+07,2.1619e+06,0.1276
6.2714,46,1.3421e+07,1.1255e+07,2.1660e+06,0.1240
6.4065,47,1.3264e+07,1.1095e+07,2.1692e+06,0.1253
