run_time,iteration,loss,style_loss,content_loss,time
0.1219,0,6.6785e+08,6.6785e+08,0.0000e+00,0.1219
0.2590,1,2.6210e+08,2.6108e+08,1.0175e+06,0.1273
0.3911,2,1.7608e+08,1.7440e+08,1.6788e+06,0.1245
0.5241,3,1.2583e+08,1.2394e+08,1.8950e+06,0.1258
0.6568,4,8.6735e+07,8.4765e+07,1.9698e+06,0.1241
0.7940,5,6.4950e+07,6.2942e+07,2.0086e+06,0.1300
0.9303,6,5.9300e+07,5.7249e+07,2.0507e+06,0.1290
1.0652,7,5.7842e+07,5.5739e+07,2.1030e+06,0.1278
1.1963,8,5.3403e+07,5.1244e+07,2.1598e+06,0.1230
1.3306,9,4.7863e+07,4.5644e+07,2.2193e+06,0.1270
1.4606,10,4.4264e+07,4.1982e+07,2.2817e+06,0.1228
1.5948,11,4.2608e+07,4.0267e+07,2.3414e+06,0.1268
1.7247,12,4.1509e+07,3.9117e+07,2.3914e+06,0.1229
1.8592,13,3.9990e+07,3.7559e+07,2.4304e+06,0.1271
1.9916,14,3.8054e+07,3.5596e+07,2.4587e+06,0.1252
2.1262,15,3.6273e+07,3.3795e+07,2.4774e+06,0.1271
2.2586,16,3.5114e+07,3.2623e+07,2.4917e+06,0.1252
2.3905,17,3.4639e+07,3.2136e+07,2.5033e+06,0.1247
2.5249,18,3.4438e+07,3.1924e+07,2.5137e+06,0.1272
2.6554,19,3.3999e+07,3.1475e+07,2.5243e+06,0.1232
2.7893,20,3.3106e+07,3.0568e+07,2.5376e+06,0.1265
2.9213,21,3.1906e+07,2.9353e+07,2.5534e+06,0.1248
3.0561,22,3.0714e+07,2.8142e+07,2.5719e+06,0.1276
3.1884,23,2.9759e+07,2.7165e+07,2.5936e+06,0.1250
3.3217,24,2.9075e+07,2.6458e+07,2.6170e+06,0.1260
3.4551,25,2.8592e+07,2.5952e+07,2.6398e+06,0.1258
3.5868,26,2.8153e+07,2.5493e+07,2.6603e+06,0.1246
3.7216,27,2.7650e+07,2.4973e+07,2.6766e+06,0.1275
3.8523,28,2.7057e+07,2.4368e+07,2.6886e+06,0.1234
3.9872,29,2.6412e+07,2.3716e+07,2.6959e+06,0.1273
4.1186,30,2.5800e+07,2.3102e+07,2.6985e+06,0.1243
4.2522,31,2.5279e+07,2.2581e+07,2.6979e+06,0.1262
4.3855,32,2.4858e+07,2.2163e+07,2.6954e+06,0.1261
4.5182,33,2.4499e+07,2.1806e+07,2.6927e+06,0.1254
4.6528,34,2.4123e+07,2.1433e+07,2.6905e+06,0.1274
4.7844,35,2.3668e+07,2.0979e+07,2.6895e+06,0.1244
4.9188,36,2.3119e+07,2.0429e+07,2.6898e+06,0.1272
5.0498,37,2.2497e+07,1.9805e+07,2.6917e+06,0.1237
5.1854,38,2.1854e+07,1.9159e+07,2.6953e+06,0.1282
5.3206,39,2.1247e+07,1.8547e+07,2.7002e+06,0.1278
5.4517,40,2.0716e+07,1.8010e+07,2.7061e+06,0.1240
5.5872,41,2.0266e+07,1.7554e+07,2.7121e+06,0.1282
5.7184,42,1.9885e+07,1.7166e+07,2.7186e+06,0.1240
5.8522,43,1.9545e+07,1.6821e+07,2.7246e+06,0.1264
5.9839,44,1.9224e+07,1.6496e+07,2.7286e+06,0.1246
6.1184,45,1.8901e+07,1.6171e+07,2.7305e+06,0.1272
6.2536,46,1.8577e+07,1.5848e+07,2.7294e+06,0.1271
6.3851,47,1.8264e+07,1.5538e+07,2.7261e+06,0.1242
6.5198,48,1.7972e+07,1.5251e+07,2.7209e+06,0.1275
6.6515,49,1.7716e+07,1.5001e+07,2.7145e+06,0.1244
6.7846,50,1.7490e+07,1.4783e+07,2.7075e+06,0.1260
6.9172,51,1.7281e+07,1.4581e+07,2.7000e+06,0.1253
7.0500,52,1.7070e+07,1.4377e+07,2.6928e+06,0.1256
7.1855,53,1.6839e+07,1.4152e+07,2.6866e+06,0.1277
7.3162,54,1.6579e+07,1.3898e+07,2.6812e+06,0.1235
7.4518,55,1.6296e+07,1.3619e+07,2.6771e+06,0.1279
7.5834,56,1.6002e+07,1.3327e+07,2.6744e+06,0.1244
7.7168,57,1.5712e+07,1.3039e+07,2.6729e+06,0.1261
7.8491,58,1.5439e+07,1.2767e+07,2.6722e+06,0.1251
7.9819,59,1.5193e+07,1.2520e+07,2.6722e+06,0.1256
8.1157,60,1.4970e+07,1.2298e+07,2.6728e+06,0.1263
8.2468,61,1.4764e+07,1.2091e+07,2.6734e+06,0.1238
8.3813,62,1.4564e+07,1.1890e+07,2.6740e+06,0.1271
8.5126,63,1.4363e+07,1.1689e+07,2.6740e+06,0.1240
8.6464,64,1.4159e+07,1.1486e+07,2.6734e+06,0.1266
8.7774,65,1.3959e+07,1.1287e+07,2.6716e+06,0.1236
8.9112,66,1.3767e+07,1.1098e+07,2.6688e+06,0.1265
9.0429,67,1.3590e+07,1.0925e+07,2.6652e+06,0.1245
9.1772,68,1.3428e+07,1.0767e+07,2.6609e+06,0.1271
9.3112,69,1.3278e+07,1.0622e+07,2.6564e+06,0.1266
9.4420,70,1.3134e+07,1.0482e+07,2.6519e+06,0.1236
9.5771,71,1.2986e+07,1.0339e+07,2.6477e+06,0.1278
9.7080,72,1.2829e+07,1.0185e+07,2.6439e+06,0.1238
9.8435,73,1.2662e+07,1.0022e+07,2.6403e+06,0.1283
9.9752,74,1.2487e+07,9.8502e+06,2.6369e+06,0.1246
10.1112,75,1.2311e+07,9.6765e+06,2.6340e+06,0.1288
10.2492,76,1.2140e+07,9.5082e+06,2.6315e+06,0.1307
10.3805,77,1.1978e+07,9.3489e+06,2.6290e+06,0.1240
10.5138,78,1.1827e+07,9.2001e+06,2.6266e+06,0.1261
10.6471,79,1.1685e+07,9.0609e+06,2.6241e+06,0.1259
10.7799,80,1.1550e+07,8.9281e+06,2.6215e+06,0.1255
10.9163,81,1.1418e+07,8.7992e+06,2.6185e+06,0.1291
11.0470,82,1.1288e+07,8.6728e+06,2.6154e+06,0.1234
11.1816,83,1.1160e+07,8.5484e+06,2.6120e+06,0.1268
11.3137,84,1.1036e+07,8.4277e+06,2.6081e+06,0.1247
11.4479,85,1.0916e+07,8.3122e+06,2.6039e+06,0.1269
11.5840,86,1.0801e+07,8.2017e+06,2.5993e+06,0.1288
