run_time,iteration,loss,style_loss,content_loss,time
0.1201,0,4.0649e+09,4.0649e+09,0.0000e+00,0.1201
0.2544,1,3.8661e+09,3.8658e+09,3.2110e+05,0.1228
0.3904,2,3.5729e+09,3.5722e+09,7.2130e+05,0.1273
0.5249,3,3.2680e+09,3.2669e+09,1.0961e+06,0.1253
0.6570,4,2.9994e+09,2.9980e+09,1.4140e+06,0.1238
0.7910,5,2.7825e+09,2.7808e+09,1.6844e+06,0.1252
0.9279,6,2.6112e+09,2.6093e+09,1.9036e+06,0.1283
1.0608,7,2.4674e+09,2.4654e+09,2.0696e+06,0.1246
1.1958,8,2.3358e+09,2.3336e+09,2.1944e+06,0.1265
1.3272,9,2.2108e+09,2.2085e+09,2.2976e+06,0.1231
1.4659,10,2.0929e+09,2.0905e+09,2.3883e+06,0.1273
1.6007,11,1.9839e+09,1.9814e+09,2.4728e+06,0.1261
1.7325,12,1.8846e+09,1.8821e+09,2.5590e+06,0.1227
1.8675,13,1.7947e+09,1.7921e+09,2.6496e+06,0.1261
1.9984,14,1.7123e+09,1.7095e+09,2.7406e+06,0.1225
2.1336,15,1.6365e+09,1.6337e+09,2.8315e+06,0.1266
2.2670,16,1.5670e+09,1.5641e+09,2.9192e+06,0.1249
2.4029,17,1.5029e+09,1.4999e+09,3.0007e+06,0.1268
2.5372,18,1.4441e+09,1.4410e+09,3.0772e+06,0.1257
2.6702,19,1.3902e+09,1.3870e+09,3.1457e+06,0.1246
2.8033,20,1.3405e+09,1.3373e+09,3.2056e+06,0.1241
2.9379,21,1.2944e+09,1.2912e+09,3.2581e+06,0.1262
3.0692,22,1.2514e+09,1.2481e+09,3.3039e+06,0.1230
3.2051,23,1.2108e+09,1.2074e+09,3.3438e+06,0.1273
3.3369,24,1.1725e+09,1.1691e+09,3.3811e+06,0.1235
3.4720,25,1.1362e+09,1.1328e+09,3.4147e+06,0.1264
3.6067,26,1.1017e+09,1.0983e+09,3.4445e+06,0.1260
3.7387,27,1.0688e+09,1.0653e+09,3.4711e+06,0.1232
3.8741,28,1.0373e+09,1.0339e+09,3.4953e+06,0.1265
4.0060,29,1.0074e+09,1.0039e+09,3.5180e+06,0.1233
4.1406,30,9.7868e+08,9.7514e+08,3.5392e+06,0.1251
4.2758,31,9.5135e+08,9.4779e+08,3.5606e+06,0.1266
4.4087,32,9.2525e+08,9.2166e+08,3.5828e+06,0.1243
4.5434,33,9.0027e+08,8.9666e+08,3.6053e+06,0.1251
4.6764,34,8.7617e+08,8.7255e+08,3.6277e+06,0.1243
4.8093,35,8.5302e+08,8.4937e+08,3.6488e+06,0.1242
4.9444,36,8.3080e+08,8.2713e+08,3.6689e+06,0.1263
5.0763,37,8.0951e+08,8.0582e+08,3.6879e+06,0.1232
5.2116,38,7.8916e+08,7.8546e+08,3.7060e+06,0.1266
5.3453,39,7.6960e+08,7.6588e+08,3.7241e+06,0.1251
5.4842,40,7.5082e+08,7.4707e+08,3.7417e+06,0.1299
5.6202,41,7.3279e+08,7.2903e+08,3.7589e+06,0.1268
5.7561,42,7.1541e+08,7.1163e+08,3.7748e+06,0.1266
5.8878,43,6.9872e+08,6.9493e+08,3.7899e+06,0.1226
6.0223,44,6.8267e+08,6.7887e+08,3.8046e+06,0.1253
6.1553,45,6.6726e+08,6.6344e+08,3.8184e+06,0.1242
6.2881,46,6.5236e+08,6.4853e+08,3.8318e+06,0.1242
6.4237,47,6.3794e+08,6.3410e+08,3.8455e+06,0.1266
6.5569,48,6.2396e+08,6.2010e+08,3.8583e+06,0.1243
6.6909,49,6.1041e+08,6.0653e+08,3.8705e+06,0.1250
6.8246,50,5.9717e+08,5.9329e+08,3.8823e+06,0.1245
6.9579,51,5.8441e+08,5.8051e+08,3.8933e+06,0.1246
7.0929,52,5.7218e+08,5.6828e+08,3.9043e+06,0.1259
7.2255,53,5.6044e+08,5.5653e+08,3.9142e+06,0.1239
7.3626,54,5.4913e+08,5.4521e+08,3.9239e+06,0.1280
7.4989,55,5.3831e+08,5.3437e+08,3.9330e+06,0.1247
7.6313,56,5.2786e+08,5.2392e+08,3.9422e+06,0.1237
7.7664,57,5.1777e+08,5.1382e+08,3.9508e+06,0.1255
7.9019,58,5.0797e+08,5.0401e+08,3.9590e+06,0.1264
8.0337,59,4.9845e+08,4.9448e+08,3.9657e+06,0.1231
8.1690,60,4.8923e+08,4.8526e+08,3.9713e+06,0.1263
8.3022,61,4.8029e+08,4.7631e+08,3.9759e+06,0.1240
8.4361,62,4.7163e+08,4.6765e+08,3.9798e+06,0.1252
8.5710,63,4.6329e+08,4.5931e+08,3.9837e+06,0.1258
8.7030,64,4.5518e+08,4.5119e+08,3.9875e+06,0.1230
8.8396,65,4.4731e+08,4.4332e+08,3.9910e+06,0.1275
8.9741,66,4.3966e+08,4.3567e+08,3.9935e+06,0.1258
9.1066,67,4.3218e+08,4.2819e+08,3.9956e+06,0.1236
9.2434,68,4.2488e+08,4.2089e+08,3.9972e+06,0.1264
9.3778,69,4.1779e+08,4.1379e+08,3.9990e+06,0.1251
9.5156,70,4.1091e+08,4.0691e+08,4.0008e+06,0.1234
9.6505,71,4.0424e+08,4.0024e+08,4.0026e+06,0.1259
9.7844,72,3.9782e+08,3.9381e+08,4.0046e+06,0.1250
9.9185,73,3.9161e+08,3.8760e+08,4.0065e+06,0.1256
