run_time,iteration,loss,style_loss,content_loss,time
0.0753,0,7.8480e+01,7.8480e+01,0.0000e+00,0.0753
0.2425,1,7.3268e+01,7.3263e+01,5.7646e-03,0.0752
0.3257,2,6.7944e+01,6.7921e+01,2.3732e-02,0.0757
0.4077,3,6.2776e+01,6.2723e+01,5.3171e-02,0.0743
0.4913,4,5.7837e+01,5.7744e+01,9.2753e-02,0.0767
0.5750,5,5.3138e+01,5.2997e+01,1.4155e-01,0.0767
0.6606,6,4.8671e+01,4.8473e+01,1.9861e-01,0.0779
0.7439,7,4.4419e+01,4.4156e+01,2.6286e-01,0.0749
0.8242,8,4.0364e+01,4.0031e+01,3.3361e-01,0.0731
0.9040,9,3.6491e+01,3.6081e+01,4.0989e-01,0.0726
0.9844,10,3.2788e+01,3.2297e+01,4.9069e-01,0.0731
1.0644,11,2.9253e+01,2.8679e+01,5.7400e-01,0.0733
1.1446,12,2.5888e+01,2.5229e+01,6.5952e-01,0.0724
1.2308,13,2.2700e+01,2.1954e+01,7.4649e-01,0.0795
1.3111,14,1.9701e+01,1.8866e+01,8.3430e-01,0.0734
1.3923,15,1.6906e+01,1.5983e+01,9.2281e-01,0.0738
1.4730,16,1.4329e+01,1.3316e+01,1.0130e+00,0.0737
1.5563,17,1.1990e+01,1.0884e+01,1.1056e+00,0.0760
1.6383,18,9.9086e+00,8.7083e+00,1.2003e+00,0.0741
1.7290,19,8.0991e+00,6.8028e+00,1.2963e+00,0.0826
1.8141,20,6.5734e+00,5.1798e+00,1.3936e+00,0.0776
1.8952,21,5.3401e+00,3.8503e+00,1.4898e+00,0.0733
1.9757,22,4.4027e+00,2.8185e+00,1.5842e+00,0.0731
2.0575,23,3.7578e+00,2.0812e+00,1.6766e+00,0.0747
2.1394,24,3.3947e+00,1.6297e+00,1.7650e+00,0.0744
2.2208,25,3.2941e+00,1.4468e+00,1.8473e+00,0.0742
2.3028,26,3.4303e+00,1.5075e+00,1.9228e+00,0.0745
2.3773,27,3.7708e+00,1.7790e+00,1.9918e+00,0.0736
2.4517,28,4.2764e+00,2.2221e+00,2.0542e+00,0.0736
2.5266,29,4.9041e+00,2.7943e+00,2.1097e+00,0.0740
2.6053,30,5.6090e+00,3.4513e+00,2.1577e+00,0.0778
2.6837,31,6.3476e+00,4.1491e+00,2.1985e+00,0.0775
2.7582,32,7.0824e+00,4.8494e+00,2.2330e+00,0.0737
2.8335,33,7.7811e+00,5.5208e+00,2.2604e+00,0.0743
2.9081,34,8.4207e+00,6.1391e+00,2.2816e+00,0.0738
2.9831,35,8.9846e+00,6.6874e+00,2.2973e+00,0.0739
3.0571,36,9.4623e+00,7.1549e+00,2.3074e+00,0.0730
3.1327,37,9.8489e+00,7.5366e+00,2.3123e+00,0.0744
3.2074,38,1.0143e+01,7.8309e+00,2.3124e+00,0.0738
3.2831,39,1.0347e+01,8.0392e+00,2.3077e+00,0.0747
3.3591,40,1.0463e+01,8.1641e+00,2.2985e+00,0.0751
3.4334,41,1.0495e+01,8.2098e+00,2.2853e+00,0.0735
3.5090,42,1.0449e+01,8.1808e+00,2.2683e+00,0.0745
3.5866,43,1.0330e+01,8.0822e+00,2.2478e+00,0.0766
3.6615,44,1.0144e+01,7.9197e+00,2.2240e+00,0.0741
3.7364,45,9.8975e+00,7.6996e+00,2.1979e+00,0.0740
3.8111,46,9.5984e+00,7.4291e+00,2.1693e+00,0.0738
3.8877,47,9.2543e+00,7.1160e+00,2.1384e+00,0.0757
3.9714,48,8.8746e+00,6.7689e+00,2.1058e+00,0.0824
4.0480,49,8.4681e+00,6.3966e+00,2.0715e+00,0.0758
4.1224,50,8.0446e+00,6.0085e+00,2.0361e+00,0.0736
4.1977,51,7.6130e+00,5.6136e+00,1.9994e+00,0.0744
4.2734,52,7.1828e+00,5.2210e+00,1.9618e+00,0.0747
4.3483,53,6.7624e+00,4.8389e+00,1.9235e+00,0.0740
4.4235,54,6.3598e+00,4.4750e+00,1.8848e+00,0.0744
4.4982,55,5.9820e+00,4.1360e+00,1.8459e+00,0.0738
