run_time,iteration,loss,style_loss,content_loss,time
0.0744,0,8.2645e+01,8.2645e+01,0.0000e+00,0.0744
0.2377,1,7.8360e+01,7.8350e+01,1.0090e-02,0.0751
0.3239,2,7.3791e+01,7.3749e+01,4.2375e-02,0.0770
0.4066,3,6.9194e+01,6.9097e+01,9.6595e-02,0.0748
0.4927,4,6.4642e+01,6.4471e+01,1.7139e-01,0.0779
0.5786,5,6.0152e+01,5.9886e+01,2.6574e-01,0.0777
0.6760,6,5.5722e+01,5.5344e+01,3.7807e-01,0.0896
0.7603,7,5.1346e+01,5.0839e+01,5.0739e-01,0.0769
0.8512,8,4.7026e+01,4.6373e+01,6.5227e-01,0.0825
0.9360,9,4.2773e+01,4.1961e+01,8.1170e-01,0.0773
1.0182,10,3.8610e+01,3.7624e+01,9.8638e-01,0.0741
1.1007,11,3.4561e+01,3.3386e+01,1.1755e+00,0.0749
1.1828,12,3.0657e+01,2.9279e+01,1.3775e+00,0.0742
1.2634,13,2.6933e+01,2.5341e+01,1.5917e+00,0.0736
1.3500,14,2.3425e+01,2.1610e+01,1.8147e+00,0.0740
1.4331,15,2.0166e+01,1.8121e+01,2.0441e+00,0.0742
1.5146,16,1.7187e+01,1.4908e+01,2.2783e+00,0.0739
1.5964,17,1.4520e+01,1.2007e+01,2.5134e+00,0.0739
1.6776,18,1.2194e+01,9.4453e+00,2.7484e+00,0.0732
1.7594,19,1.0227e+01,7.2465e+00,2.9802e+00,0.0740
1.8411,20,8.6346e+00,5.4272e+00,3.2075e+00,0.0744
1.9227,21,7.4241e+00,3.9959e+00,3.4283e+00,0.0736
