run_time,iteration,loss,style_loss,content_loss,time
0.1177,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1177
0.2531,1,8.2634e+08,8.2527e+08,1.0665e+06,0.1107
0.3675,2,8.2634e+08,8.2527e+08,1.0665e+06,0.1137
0.4833,3,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
0.5975,4,8.2634e+08,8.2527e+08,1.0665e+06,0.1136
0.7119,5,8.2634e+08,8.2527e+08,1.0665e+06,0.1137
0.8280,6,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
0.9463,7,8.2634e+08,8.2527e+08,1.0665e+06,0.1176
1.0632,8,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
1.1783,9,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
1.2946,10,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
1.4104,11,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
1.5257,12,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
1.6439,13,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
1.7610,14,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
1.8766,15,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
1.9915,16,8.2634e+08,8.2527e+08,1.0665e+06,0.1142
2.1077,17,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
2.2315,18,8.2634e+08,8.2527e+08,1.0665e+06,0.1232
2.3471,19,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
2.4629,20,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
2.5777,21,8.2634e+08,8.2527e+08,1.0665e+06,0.1141
2.6940,22,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
2.8100,23,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
2.9251,24,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
3.0403,25,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
3.1572,26,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
3.2722,27,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
3.3879,28,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
3.5053,29,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
3.6229,30,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
3.7398,31,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
3.8550,32,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
3.9715,33,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
4.0881,34,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
4.2034,35,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
4.3185,36,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
4.4342,37,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
4.5500,38,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
4.6644,39,8.2634e+08,8.2527e+08,1.0665e+06,0.1137
4.7811,40,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
4.8967,41,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
5.0127,42,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
5.1274,43,8.2634e+08,8.2527e+08,1.0665e+06,0.1139
5.2439,44,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
5.3591,45,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
5.4735,46,8.2634e+08,8.2527e+08,1.0665e+06,0.1138
5.5895,47,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
5.7065,48,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
5.8218,49,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
5.9370,50,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
6.0537,51,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
6.1693,52,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
6.2857,53,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
6.4016,54,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
6.5177,55,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
6.6334,56,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
6.7478,57,8.2634e+08,8.2527e+08,1.0665e+06,0.1138
6.8647,58,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
6.9801,59,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
7.0968,60,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
7.2179,61,8.2634e+08,8.2527e+08,1.0665e+06,0.1119
7.3328,62,8.2634e+08,8.2527e+08,1.0665e+06,0.1142
7.4494,63,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
7.5645,64,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
7.6788,65,8.2634e+08,8.2527e+08,1.0665e+06,0.1136
7.7953,66,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
7.9105,67,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
8.0261,68,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
8.1426,69,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
8.2605,70,8.2634e+08,8.2527e+08,1.0665e+06,0.1172
8.3767,71,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
8.4924,72,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
8.6094,73,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
8.7321,74,8.2634e+08,8.2527e+08,1.0665e+06,0.1221
8.8488,75,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
8.9663,76,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
9.0816,77,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
9.1972,78,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
9.3136,79,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
9.4289,80,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
9.5430,81,8.2634e+08,8.2527e+08,1.0665e+06,0.1135
9.6590,82,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
9.7745,83,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
9.8893,84,8.2634e+08,8.2527e+08,1.0665e+06,0.1141
10.0046,85,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
10.1208,86,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
10.2347,87,8.2634e+08,8.2527e+08,1.0665e+06,0.1133
10.3510,88,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
10.4671,89,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
10.5825,90,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
10.6967,91,8.2634e+08,8.2527e+08,1.0665e+06,0.1136
10.8132,92,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
10.9284,93,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
11.0432,94,8.2634e+08,8.2527e+08,1.0665e+06,0.1142
11.1598,95,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
11.2757,96,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
11.3906,97,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
11.5062,98,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
11.6229,99,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
11.7382,100,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
11.8697,101,8.2634e+08,8.2527e+08,1.0665e+06,0.1121
11.9864,102,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
12.1019,103,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
12.2167,104,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
12.3346,105,8.2634e+08,8.2527e+08,1.0665e+06,0.1172
12.4507,106,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
12.5654,107,8.2634e+08,8.2527e+08,1.0665e+06,0.1140
