run_time,iteration,loss,style_loss,content_loss,time
0.1204,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1204
0.2621,1,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
0.3829,2,8.2634e+08,8.2527e+08,1.0665e+06,0.1200
0.4981,3,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
0.6149,4,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
0.7347,5,8.2634e+08,8.2527e+08,1.0665e+06,0.1189
0.8515,6,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
0.9675,7,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
1.0841,8,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
1.1999,9,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
1.3186,10,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
1.4364,11,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
1.5528,12,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
1.6673,13,8.2634e+08,8.2527e+08,1.0665e+06,0.1138
1.7835,14,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
1.8996,15,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
2.0152,16,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
2.1317,17,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
2.2492,18,8.2634e+08,8.2527e+08,1.0665e+06,0.1168
2.3649,19,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
2.4809,20,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
2.5975,21,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
2.7164,22,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
2.8320,23,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
2.9471,24,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
3.0636,25,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
3.1808,26,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
3.2975,27,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
3.4124,28,8.2634e+08,8.2527e+08,1.0665e+06,0.1141
3.5289,29,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
3.6443,30,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
3.7590,31,8.2634e+08,8.2527e+08,1.0665e+06,0.1139
3.8763,32,8.2634e+08,8.2527e+08,1.0665e+06,0.1166
3.9937,33,8.2634e+08,8.2527e+08,1.0665e+06,0.1166
4.1096,34,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
4.2258,35,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
4.3435,36,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
4.4617,37,8.2634e+08,8.2527e+08,1.0665e+06,0.1173
4.5797,38,8.2634e+08,8.2527e+08,1.0665e+06,0.1172
4.6962,39,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
4.8111,40,8.2634e+08,8.2527e+08,1.0665e+06,0.1141
4.9276,41,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
5.0440,42,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
5.1592,43,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
5.2760,44,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
5.3928,45,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
5.5104,46,8.2634e+08,8.2527e+08,1.0665e+06,0.1168
5.6272,47,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
5.7441,48,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
5.8613,49,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
5.9787,50,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
6.0968,51,8.2634e+08,8.2527e+08,1.0665e+06,0.1174
6.2130,52,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
6.3308,53,8.2634e+08,8.2527e+08,1.0665e+06,0.1170
6.4488,54,8.2634e+08,8.2527e+08,1.0665e+06,0.1173
6.5647,55,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
6.6792,56,8.2634e+08,8.2527e+08,1.0665e+06,0.1138
6.7952,57,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
6.9120,58,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
7.0282,59,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
7.1441,60,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
7.2620,61,8.2634e+08,8.2527e+08,1.0665e+06,0.1172
7.3796,62,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
7.4961,63,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
7.6130,64,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
7.7297,65,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
7.8480,66,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
7.9651,67,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
8.0820,68,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
8.1973,69,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
8.3140,70,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
8.4310,71,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
8.5478,72,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
8.6635,73,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
8.7803,74,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
8.8968,75,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
9.0128,76,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
9.1281,77,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
9.2449,78,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
9.3648,79,8.2634e+08,8.2527e+08,1.0665e+06,0.1192
9.4816,80,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
9.5987,81,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
9.7166,82,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
9.8337,83,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
9.9508,84,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
10.0692,85,8.2634e+08,8.2527e+08,1.0665e+06,0.1176
10.1857,86,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
10.3054,87,8.2634e+08,8.2527e+08,1.0665e+06,0.1188
10.4238,88,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
10.5418,89,8.2634e+08,8.2527e+08,1.0665e+06,0.1172
10.6605,90,8.2634e+08,8.2527e+08,1.0665e+06,0.1180
10.7783,91,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
10.8925,92,8.2634e+08,8.2527e+08,1.0665e+06,0.1134
11.0098,93,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
11.1271,94,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
11.2426,95,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
11.3650,96,8.2634e+08,8.2527e+08,1.0665e+06,0.1217
11.4785,97,8.2634e+08,8.2527e+08,1.0665e+06,0.1127
11.5948,98,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
11.7110,99,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
11.8272,100,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
11.9570,101,8.2634e+08,8.2527e+08,1.0665e+06,0.1135
12.0731,102,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
12.1882,103,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
12.3052,104,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
12.4226,105,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
12.5388,106,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
12.6545,107,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
12.7716,108,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
12.8885,109,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
13.0040,110,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
13.1197,111,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
13.2364,112,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
13.3529,113,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
13.4676,114,8.2634e+08,8.2527e+08,1.0665e+06,0.1140
13.5844,115,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
13.7016,116,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
13.8183,117,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
13.9335,118,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
14.0513,119,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
14.1676,120,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
14.2862,121,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
14.4044,122,8.2634e+08,8.2527e+08,1.0665e+06,0.1173
14.5206,123,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
14.6386,124,8.2634e+08,8.2527e+08,1.0665e+06,0.1172
14.7579,125,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
14.8745,126,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
14.9902,127,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
15.1057,128,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
15.2227,129,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
15.3396,130,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
15.4576,131,8.2634e+08,8.2527e+08,1.0665e+06,0.1172
15.5737,132,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
15.6940,133,8.2634e+08,8.2527e+08,1.0665e+06,0.1196
15.8110,134,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
15.9268,135,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
16.0420,136,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
16.1585,137,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
16.2755,138,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
16.3931,139,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
16.5082,140,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
16.6265,141,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
16.7443,142,8.2634e+08,8.2527e+08,1.0665e+06,0.1170
16.8620,143,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
16.9789,144,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
17.0934,145,8.2634e+08,8.2527e+08,1.0665e+06,0.1137
17.2099,146,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
17.3265,147,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
17.4438,148,8.2634e+08,8.2527e+08,1.0665e+06,0.1166
17.5583,149,8.2634e+08,8.2527e+08,1.0665e+06,0.1137
17.6746,150,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
17.7915,151,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
17.9072,152,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
18.0224,153,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
18.1393,154,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
18.2551,155,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
18.3701,156,8.2634e+08,8.2527e+08,1.0665e+06,0.1142
18.4901,157,8.2634e+08,8.2527e+08,1.0665e+06,0.1193
18.6063,158,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
18.7235,159,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
18.8391,160,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
18.9545,161,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
19.0722,162,8.2634e+08,8.2527e+08,1.0665e+06,0.1170
19.1895,163,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
19.3076,164,8.2634e+08,8.2527e+08,1.0665e+06,0.1174
19.4253,165,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
19.5418,166,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
19.6602,167,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
19.7778,168,8.2634e+08,8.2527e+08,1.0665e+06,0.1166
19.8951,169,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
20.0117,170,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
20.1297,171,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
20.2493,172,8.2634e+08,8.2527e+08,1.0665e+06,0.1188
20.3677,173,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
20.4865,174,8.2634e+08,8.2527e+08,1.0665e+06,0.1180
20.6037,175,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
20.7211,176,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
20.8380,177,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
20.9550,178,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
21.0739,179,8.2634e+08,8.2527e+08,1.0665e+06,0.1182
21.1910,180,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
21.3066,181,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
21.4228,182,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
