run_time,iteration,loss,style_loss,content_loss,time
0.1165,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1165
0.3272,1,5.7769e+08,5.7769e+08,4.2930e-08,0.1206
0.4529,2,5.7769e+08,5.7769e+08,4.2930e-08,0.1249
0.5772,3,5.7769e+08,5.7769e+08,4.2930e-08,0.1237
0.7008,4,5.7769e+08,5.7769e+08,4.2930e-08,0.1230
0.8245,5,5.7769e+08,5.7769e+08,4.2930e-08,0.1231
0.9481,6,5.7769e+08,5.7769e+08,4.2930e-08,0.1230
1.0728,7,5.7769e+08,5.7769e+08,4.2930e-08,0.1240
1.2034,8,5.7769e+08,5.7769e+08,4.2930e-08,0.1300
1.3281,9,5.7769e+08,5.7769e+08,4.2930e-08,0.1240
1.4517,10,5.7769e+08,5.7769e+08,4.2930e-08,0.1230
1.5747,11,5.7769e+08,5.7769e+08,4.2930e-08,0.1224
1.6972,12,5.7769e+08,5.7769e+08,4.2930e-08,0.1219
1.8204,13,5.7769e+08,5.7769e+08,4.2930e-08,0.1225
1.9442,14,5.7769e+08,5.7769e+08,4.2930e-08,0.1233
2.0698,15,5.7769e+08,5.7769e+08,4.2930e-08,0.1249
2.1964,16,5.7769e+08,5.7769e+08,4.2930e-08,0.1260
2.3228,17,5.7769e+08,5.7769e+08,4.2930e-08,0.1256
2.4464,18,5.7769e+08,5.7769e+08,4.2930e-08,0.1229
2.5703,19,5.7769e+08,5.7769e+08,4.2930e-08,0.1232
2.6954,20,5.7769e+08,5.7769e+08,4.2930e-08,0.1244
2.8209,21,5.7769e+08,5.7769e+08,4.2930e-08,0.1248
2.9465,22,5.7769e+08,5.7769e+08,4.2930e-08,0.1250
3.0715,23,5.7769e+08,5.7769e+08,4.2930e-08,0.1243
3.1950,24,5.7769e+08,5.7769e+08,4.2930e-08,0.1228
3.3185,25,5.7769e+08,5.7769e+08,4.2930e-08,0.1229
3.4418,26,5.7769e+08,5.7769e+08,4.2930e-08,0.1227
3.5681,27,5.7769e+08,5.7769e+08,4.2930e-08,0.1257
3.6955,28,5.7769e+08,5.7769e+08,4.2930e-08,0.1266
3.8207,29,5.7769e+08,5.7769e+08,4.2930e-08,0.1244
3.9447,30,5.7769e+08,5.7769e+08,4.2930e-08,0.1233
4.0678,31,5.7769e+08,5.7769e+08,4.2930e-08,0.1224
4.1915,32,5.7769e+08,5.7769e+08,4.2930e-08,0.1231
4.3182,33,5.7769e+08,5.7769e+08,4.2930e-08,0.1260
4.4460,34,5.7769e+08,5.7769e+08,4.2930e-08,0.1270
4.5715,35,5.7769e+08,5.7769e+08,4.2930e-08,0.1248
4.6964,36,5.7769e+08,5.7769e+08,4.2930e-08,0.1242
4.8210,37,5.7769e+08,5.7769e+08,4.2930e-08,0.1238
4.9483,38,5.7769e+08,5.7769e+08,4.2930e-08,0.1267
5.0764,39,5.7769e+08,5.7769e+08,4.2930e-08,0.1273
5.2010,40,5.7769e+08,5.7769e+08,4.2930e-08,0.1239
5.3257,41,5.7769e+08,5.7769e+08,4.2930e-08,0.1240
5.4498,42,5.7769e+08,5.7769e+08,4.2930e-08,0.1235
5.5751,43,5.7769e+08,5.7769e+08,4.2930e-08,0.1246
5.7024,44,5.7769e+08,5.7769e+08,4.2930e-08,0.1267
5.8272,45,5.7769e+08,5.7769e+08,4.2930e-08,0.1240
5.9507,46,5.7769e+08,5.7769e+08,4.2930e-08,0.1228
6.0737,47,5.7769e+08,5.7769e+08,4.2930e-08,0.1223
6.1976,48,5.7769e+08,5.7769e+08,4.2930e-08,0.1232
6.3266,49,5.7769e+08,5.7769e+08,4.2930e-08,0.1283
6.4579,50,5.7769e+08,5.7769e+08,4.2930e-08,0.1198
6.5811,51,5.7769e+08,5.7769e+08,4.2930e-08,0.1225
6.7094,52,5.7769e+08,5.7769e+08,4.2930e-08,0.1275
6.8357,53,5.7769e+08,5.7769e+08,4.2930e-08,0.1256
6.9601,54,5.7769e+08,5.7769e+08,4.2930e-08,0.1237
7.0845,55,5.7769e+08,5.7769e+08,4.2930e-08,0.1238
7.2075,56,5.7769e+08,5.7769e+08,4.2930e-08,0.1224
7.3309,57,5.7769e+08,5.7769e+08,4.2930e-08,0.1228
7.4551,58,5.7769e+08,5.7769e+08,4.2930e-08,0.1235
7.5813,59,5.7769e+08,5.7769e+08,4.2930e-08,0.1256
7.7066,60,5.7769e+08,5.7769e+08,4.2930e-08,0.1248
7.8313,61,5.7769e+08,5.7769e+08,4.2930e-08,0.1241
7.9548,62,5.7769e+08,5.7769e+08,4.2930e-08,0.1228
8.0783,63,5.7769e+08,5.7769e+08,4.2930e-08,0.1229
8.2027,64,5.7769e+08,5.7769e+08,4.2930e-08,0.1238
8.3269,65,5.7769e+08,5.7769e+08,4.2930e-08,0.1235
8.4515,66,5.7769e+08,5.7769e+08,4.2930e-08,0.1240
8.5778,67,5.7769e+08,5.7769e+08,4.2930e-08,0.1257
8.7029,68,5.7769e+08,5.7769e+08,4.2930e-08,0.1245
8.8300,69,5.7769e+08,5.7769e+08,4.2930e-08,0.1265
8.9548,70,5.7769e+08,5.7769e+08,4.2930e-08,0.1241
9.0808,71,5.7769e+08,5.7769e+08,4.2930e-08,0.1254
9.2125,72,5.7769e+08,5.7769e+08,4.2930e-08,0.1311
9.3358,73,5.7769e+08,5.7769e+08,4.2930e-08,0.1226
9.4584,74,5.7769e+08,5.7769e+08,4.2930e-08,0.1219
9.5813,75,5.7769e+08,5.7769e+08,4.2930e-08,0.1222
9.7054,76,5.7769e+08,5.7769e+08,4.2930e-08,0.1236
9.8302,77,5.7769e+08,5.7769e+08,4.2930e-08,0.1241
9.9562,78,5.7769e+08,5.7769e+08,4.2930e-08,0.1254
10.0823,79,5.7769e+08,5.7769e+08,4.2930e-08,0.1255
10.2073,80,5.7769e+08,5.7769e+08,4.2930e-08,0.1243
10.3324,81,5.7769e+08,5.7769e+08,4.2930e-08,0.1244
10.4589,82,5.7769e+08,5.7769e+08,4.2930e-08,0.1254
10.5852,83,5.7769e+08,5.7769e+08,4.2930e-08,0.1257
10.7097,84,5.7769e+08,5.7769e+08,4.2930e-08,0.1239
10.8332,85,5.7769e+08,5.7769e+08,4.2930e-08,0.1229
10.9567,86,5.7769e+08,5.7769e+08,4.2930e-08,0.1229
11.0797,87,5.7769e+08,5.7769e+08,4.2930e-08,0.1223
11.2042,88,5.7769e+08,5.7769e+08,4.2930e-08,0.1238
11.3296,89,5.7769e+08,5.7769e+08,4.2930e-08,0.1248
11.4563,90,5.7769e+08,5.7769e+08,4.2930e-08,0.1261
11.5834,91,5.7769e+08,5.7769e+08,4.2930e-08,0.1263
