run_time,iteration,loss,style_loss,content_loss,time
0.1176,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1176
0.3315,1,5.7769e+08,5.7769e+08,4.2930e-08,0.1195
0.4576,2,5.7769e+08,5.7769e+08,4.2930e-08,0.1253
0.5840,3,5.7769e+08,5.7769e+08,4.2930e-08,0.1255
0.7070,4,5.7769e+08,5.7769e+08,4.2930e-08,0.1224
0.8324,5,5.7769e+08,5.7769e+08,4.2930e-08,0.1246
0.9594,6,5.7769e+08,5.7769e+08,4.2930e-08,0.1261
1.0869,7,5.7769e+08,5.7769e+08,4.2930e-08,0.1268
1.2155,8,5.7769e+08,5.7769e+08,4.2930e-08,0.1279
1.3385,9,5.7769e+08,5.7769e+08,4.2930e-08,0.1223
1.4638,10,5.7769e+08,5.7769e+08,4.2930e-08,0.1245
1.5910,11,5.7769e+08,5.7769e+08,4.2930e-08,0.1262
1.7163,12,5.7769e+08,5.7769e+08,4.2930e-08,0.1247
1.8411,13,5.7769e+08,5.7769e+08,4.2930e-08,0.1240
1.9649,14,5.7769e+08,5.7769e+08,4.2930e-08,0.1232
2.0907,15,5.7769e+08,5.7769e+08,4.2930e-08,0.1250
2.2168,16,5.7769e+08,5.7769e+08,4.2930e-08,0.1254
2.3427,17,5.7769e+08,5.7769e+08,4.2930e-08,0.1253
2.4671,18,5.7769e+08,5.7769e+08,4.2930e-08,0.1236
2.5908,19,5.7769e+08,5.7769e+08,4.2930e-08,0.1231
2.7142,20,5.7769e+08,5.7769e+08,4.2930e-08,0.1226
2.8375,21,5.7769e+08,5.7769e+08,4.2930e-08,0.1226
2.9628,22,5.7769e+08,5.7769e+08,4.2930e-08,0.1246
3.0914,23,5.7769e+08,5.7769e+08,4.2930e-08,0.1278
3.2161,24,5.7769e+08,5.7769e+08,4.2930e-08,0.1240
3.3409,25,5.7769e+08,5.7769e+08,4.2930e-08,0.1241
3.4650,26,5.7769e+08,5.7769e+08,4.2930e-08,0.1234
3.5904,27,5.7769e+08,5.7769e+08,4.2930e-08,0.1247
3.7171,28,5.7769e+08,5.7769e+08,4.2930e-08,0.1256
3.8445,29,5.7769e+08,5.7769e+08,4.2930e-08,0.1267
3.9696,30,5.7769e+08,5.7769e+08,4.2930e-08,0.1243
4.0943,31,5.7769e+08,5.7769e+08,4.2930e-08,0.1239
4.2215,32,5.7769e+08,5.7769e+08,4.2930e-08,0.1264
4.3500,33,5.7769e+08,5.7769e+08,4.2930e-08,0.1277
4.4748,34,5.7769e+08,5.7769e+08,4.2930e-08,0.1240
4.5988,35,5.7769e+08,5.7769e+08,4.2930e-08,0.1233
4.7231,36,5.7769e+08,5.7769e+08,4.2930e-08,0.1235
4.8507,37,5.7769e+08,5.7769e+08,4.2930e-08,0.1269
4.9770,38,5.7769e+08,5.7769e+08,4.2930e-08,0.1256
5.1011,39,5.7769e+08,5.7769e+08,4.2930e-08,0.1233
5.2248,40,5.7769e+08,5.7769e+08,4.2930e-08,0.1230
5.3503,41,5.7769e+08,5.7769e+08,4.2930e-08,0.1248
5.4768,42,5.7769e+08,5.7769e+08,4.2930e-08,0.1258
5.6051,43,5.7769e+08,5.7769e+08,4.2930e-08,0.1275
5.7300,44,5.7769e+08,5.7769e+08,4.2930e-08,0.1241
5.8540,45,5.7769e+08,5.7769e+08,4.2930e-08,0.1231
5.9784,46,5.7769e+08,5.7769e+08,4.2930e-08,0.1236
6.1060,47,5.7769e+08,5.7769e+08,4.2930e-08,0.1267
6.2326,48,5.7769e+08,5.7769e+08,4.2930e-08,0.1258
6.3591,49,5.7769e+08,5.7769e+08,4.2930e-08,0.1257
6.4836,50,5.7769e+08,5.7769e+08,4.2930e-08,0.1237
6.6103,51,5.7769e+08,5.7769e+08,4.2930e-08,0.1259
6.7379,52,5.7769e+08,5.7769e+08,4.2930e-08,0.1267
6.8628,53,5.7769e+08,5.7769e+08,4.2930e-08,0.1240
6.9866,54,5.7769e+08,5.7769e+08,4.2930e-08,0.1230
7.1101,55,5.7769e+08,5.7769e+08,4.2930e-08,0.1227
7.2352,56,5.7769e+08,5.7769e+08,4.2930e-08,0.1243
7.3654,57,5.7769e+08,5.7769e+08,4.2930e-08,0.1292
7.4904,58,5.7769e+08,5.7769e+08,4.2930e-08,0.1241
7.6153,59,5.7769e+08,5.7769e+08,4.2930e-08,0.1241
7.7406,60,5.7769e+08,5.7769e+08,4.2930e-08,0.1245
7.8692,61,5.7769e+08,5.7769e+08,4.2930e-08,0.1277
7.9982,62,5.7769e+08,5.7769e+08,4.2930e-08,0.1282
8.1227,63,5.7769e+08,5.7769e+08,4.2930e-08,0.1236
8.2478,64,5.7769e+08,5.7769e+08,4.2930e-08,0.1244
8.3753,65,5.7769e+08,5.7769e+08,4.2930e-08,0.1266
8.5026,66,5.7769e+08,5.7769e+08,4.2930e-08,0.1265
8.6273,67,5.7769e+08,5.7769e+08,4.2930e-08,0.1238
8.7520,68,5.7769e+08,5.7769e+08,4.2930e-08,0.1239
8.8789,69,5.7769e+08,5.7769e+08,4.2930e-08,0.1261
9.0065,70,5.7769e+08,5.7769e+08,4.2930e-08,0.1267
9.1314,71,5.7769e+08,5.7769e+08,4.2930e-08,0.1241
9.2550,72,5.7769e+08,5.7769e+08,4.2930e-08,0.1228
9.3786,73,5.7769e+08,5.7769e+08,4.2930e-08,0.1228
9.5036,74,5.7769e+08,5.7769e+08,4.2930e-08,0.1242
9.6314,75,5.7769e+08,5.7769e+08,4.2930e-08,0.1268
9.7613,76,5.7769e+08,5.7769e+08,4.2930e-08,0.1290
9.8890,77,5.7769e+08,5.7769e+08,4.2930e-08,0.1269
10.0175,78,5.7769e+08,5.7769e+08,4.2930e-08,0.1276
10.1456,79,5.7769e+08,5.7769e+08,4.2930e-08,0.1272
10.2721,80,5.7769e+08,5.7769e+08,4.2930e-08,0.1256
10.3973,81,5.7769e+08,5.7769e+08,4.2930e-08,0.1243
10.5258,82,5.7769e+08,5.7769e+08,4.2930e-08,0.1252
10.6516,83,5.7769e+08,5.7769e+08,4.2930e-08,0.1250
10.7761,84,5.7769e+08,5.7769e+08,4.2930e-08,0.1238
10.9000,85,5.7769e+08,5.7769e+08,4.2930e-08,0.1230
11.0259,86,5.7769e+08,5.7769e+08,4.2930e-08,0.1252
11.1546,87,5.7769e+08,5.7769e+08,4.2930e-08,0.1277
11.2803,88,5.7769e+08,5.7769e+08,4.2930e-08,0.1250
11.4041,89,5.7769e+08,5.7769e+08,4.2930e-08,0.1232
11.5274,90,5.7769e+08,5.7769e+08,4.2930e-08,0.1225
11.6528,91,5.7769e+08,5.7769e+08,4.2930e-08,0.1247
11.7796,92,5.7769e+08,5.7769e+08,4.2930e-08,0.1261
11.9056,93,5.7769e+08,5.7769e+08,4.2930e-08,0.1253
12.0324,94,5.7769e+08,5.7769e+08,4.2930e-08,0.1259
12.1572,95,5.7769e+08,5.7769e+08,4.2930e-08,0.1241
12.2844,96,5.7769e+08,5.7769e+08,4.2930e-08,0.1264
12.4132,97,5.7769e+08,5.7769e+08,4.2930e-08,0.1281
12.5380,98,5.7769e+08,5.7769e+08,4.2930e-08,0.1240
12.6612,99,5.7769e+08,5.7769e+08,4.2930e-08,0.1225
12.7852,100,5.7769e+08,5.7769e+08,4.2930e-08,0.1232
12.9860,101,5.7769e+08,5.7769e+08,4.2930e-08,0.1176
13.1095,102,5.7769e+08,5.7769e+08,4.2930e-08,0.1228
13.2342,103,5.7769e+08,5.7769e+08,4.2930e-08,0.1240
13.3654,104,5.7769e+08,5.7769e+08,4.2930e-08,0.1302
13.4894,105,5.7769e+08,5.7769e+08,4.2930e-08,0.1231
13.6133,106,5.7769e+08,5.7769e+08,4.2930e-08,0.1232
13.7379,107,5.7769e+08,5.7769e+08,4.2930e-08,0.1239
