run_time,iteration,loss,style_loss,content_loss,time
0.1189,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1189
0.3355,1,5.3960e+08,5.3954e+08,5.8325e+04,0.1237
0.4695,2,4.9712e+08,4.9695e+08,1.6742e+05,0.1248
0.5987,3,4.5431e+08,4.5403e+08,2.8110e+05,0.1216
0.7295,4,4.1484e+08,4.1445e+08,3.8654e+05,0.1229
0.8577,5,3.7903e+08,3.7855e+08,4.8367e+05,0.1210
0.9873,6,3.4667e+08,3.4609e+08,5.7383e+05,0.1221
1.1197,7,3.1763e+08,3.1697e+08,6.5792e+05,0.1247
1.2498,8,2.9197e+08,2.9123e+08,7.3692e+05,0.1226
1.3813,9,2.6972e+08,2.6890e+08,8.1200e+05,0.1237
1.5105,10,2.5092e+08,2.5004e+08,8.8452e+05,0.1216
1.6435,11,2.3567e+08,2.3472e+08,9.5391e+05,0.1231
1.7716,12,2.2404e+08,2.2302e+08,1.0199e+06,0.1206
1.9034,13,2.1604e+08,2.1496e+08,1.0820e+06,0.1241
2.0329,14,2.1160e+08,2.1046e+08,1.1401e+06,0.1220
2.1627,15,2.1039e+08,2.0919e+08,1.1934e+06,0.1224
2.2945,16,2.1193e+08,2.1069e+08,1.2405e+06,0.1239
2.4191,17,2.1554e+08,2.1426e+08,1.2803e+06,0.1239
2.5428,18,2.2044e+08,2.1913e+08,1.3127e+06,0.1229
2.6674,19,2.2604e+08,2.2470e+08,1.3389e+06,0.1240
2.7954,20,2.3187e+08,2.3051e+08,1.3590e+06,0.1273
2.9225,21,2.3774e+08,2.3636e+08,1.3744e+06,0.1263
3.0472,22,2.4356e+08,2.4217e+08,1.3868e+06,0.1240
3.1709,23,2.4927e+08,2.4787e+08,1.3968e+06,0.1230
3.2951,24,2.5486e+08,2.5345e+08,1.4046e+06,0.1235
3.4214,25,2.6041e+08,2.5900e+08,1.4107e+06,0.1255
3.5485,26,2.6594e+08,2.6453e+08,1.4157e+06,0.1262
3.6725,27,2.7155e+08,2.7013e+08,1.4207e+06,0.1233
3.7977,28,2.7723e+08,2.7581e+08,1.4260e+06,0.1245
3.9213,29,2.8306e+08,2.8163e+08,1.4319e+06,0.1229
4.0496,30,2.8908e+08,2.8764e+08,1.4385e+06,0.1276
4.1784,31,2.9527e+08,2.9382e+08,1.4459e+06,0.1280
4.3030,32,3.0165e+08,3.0020e+08,1.4541e+06,0.1239
4.4284,33,3.0825e+08,3.0679e+08,1.4634e+06,0.1246
4.5561,34,3.1510e+08,3.1363e+08,1.4738e+06,0.1268
4.6834,35,3.2216e+08,3.2067e+08,1.4852e+06,0.1266
4.8082,36,3.2946e+08,3.2796e+08,1.4978e+06,0.1241
4.9332,37,3.3702e+08,3.3551e+08,1.5112e+06,0.1243
5.0582,38,3.4482e+08,3.4329e+08,1.5251e+06,0.1241
5.1850,39,3.5287e+08,3.5133e+08,1.5396e+06,0.1261
5.3136,40,3.6121e+08,3.5965e+08,1.5552e+06,0.1279
5.4430,41,3.6982e+08,3.6825e+08,1.5715e+06,0.1286
5.5693,42,3.7867e+08,3.7708e+08,1.5882e+06,0.1255
5.6982,43,3.8781e+08,3.8620e+08,1.6052e+06,0.1281
5.8235,44,3.9724e+08,3.9562e+08,1.6228e+06,0.1246
5.9494,45,4.0694e+08,4.0530e+08,1.6407e+06,0.1250
6.0779,46,4.1685e+08,4.1519e+08,1.6589e+06,0.1276
6.2052,47,4.2698e+08,4.2530e+08,1.6770e+06,0.1265
6.3321,48,4.3732e+08,4.3562e+08,1.6951e+06,0.1259
6.4593,49,4.4790e+08,4.4619e+08,1.7130e+06,0.1264
6.5884,50,4.5871e+08,4.5698e+08,1.7308e+06,0.1282
6.7140,51,4.6972e+08,4.6798e+08,1.7483e+06,0.1249
6.8409,52,4.8093e+08,4.7917e+08,1.7653e+06,0.1260
6.9686,53,4.9233e+08,4.9055e+08,1.7819e+06,0.1269
7.0968,54,5.0391e+08,5.0211e+08,1.7984e+06,0.1274
7.2217,55,5.1567e+08,5.1385e+08,1.8147e+06,0.1241
7.3449,56,5.2761e+08,5.2577e+08,1.8306e+06,0.1225
7.4694,57,5.3972e+08,5.3788e+08,1.8458e+06,0.1238
7.5953,58,5.5199e+08,5.5013e+08,1.8608e+06,0.1252
7.7228,59,5.6443e+08,5.6255e+08,1.8753e+06,0.1267
7.8482,60,5.7701e+08,5.7512e+08,1.8894e+06,0.1247
7.9733,61,5.8971e+08,5.8781e+08,1.9030e+06,0.1243
8.0989,62,6.0255e+08,6.0063e+08,1.9163e+06,0.1247
8.2271,63,6.1550e+08,6.1357e+08,1.9295e+06,0.1275
8.3525,64,6.2857e+08,6.2663e+08,1.9423e+06,0.1246
8.4766,65,6.4170e+08,6.3975e+08,1.9546e+06,0.1235
8.6004,66,6.5493e+08,6.5296e+08,1.9665e+06,0.1231
8.7257,67,6.6826e+08,6.6628e+08,1.9777e+06,0.1245
8.8524,68,6.8167e+08,6.7968e+08,1.9882e+06,0.1260
8.9803,69,6.9517e+08,6.9317e+08,1.9985e+06,0.1272
9.1056,70,7.0876e+08,7.0675e+08,2.0087e+06,0.1245
9.2297,71,7.2242e+08,7.2040e+08,2.0187e+06,0.1235
9.3550,72,7.3613e+08,7.3410e+08,2.0285e+06,0.1246
9.4821,73,7.4991e+08,7.4787e+08,2.0378e+06,0.1265
9.6088,74,7.6374e+08,7.6170e+08,2.0470e+06,0.1260
