run_time,iteration,loss,style_loss,content_loss,time
0.1170,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1170
0.3307,1,5.3960e+08,5.3954e+08,5.8328e+04,0.1193
0.4606,2,4.9637e+08,4.9620e+08,1.6977e+05,0.1223
0.5886,3,4.5247e+08,4.5218e+08,2.8722e+05,0.1209
0.7200,4,4.1165e+08,4.1126e+08,3.9684e+05,0.1241
0.8491,5,3.7456e+08,3.7406e+08,4.9853e+05,0.1219
0.9797,6,3.4111e+08,3.4051e+08,5.9280e+05,0.1229
1.1151,7,3.1134e+08,3.1066e+08,6.8033e+05,0.1285
1.2479,8,2.8537e+08,2.8461e+08,7.6153e+05,0.1254
1.3762,9,2.6321e+08,2.6237e+08,8.3711e+05,0.1210
1.5061,10,2.4480e+08,2.4389e+08,9.0743e+05,0.1229
1.6360,11,2.3002e+08,2.2905e+08,9.7152e+05,0.1225
1.7630,12,2.1865e+08,2.1762e+08,1.0298e+06,0.1199
1.8946,13,2.1032e+08,2.0924e+08,1.0816e+06,0.1244
2.0228,14,2.0462e+08,2.0349e+08,1.1267e+06,0.1212
2.1538,15,2.0107e+08,1.9990e+08,1.1661e+06,0.1222
2.2853,16,1.9920e+08,1.9800e+08,1.1998e+06,0.1243
2.4158,17,1.9860e+08,1.9737e+08,1.2278e+06,0.1234
2.5480,18,1.9887e+08,1.9762e+08,1.2508e+06,0.1248
2.6726,19,1.9976e+08,1.9849e+08,1.2694e+06,0.1239
2.7957,20,2.0108e+08,1.9980e+08,1.2848e+06,0.1223
2.9199,21,2.0272e+08,2.0143e+08,1.2970e+06,0.1235
3.0478,22,2.0462e+08,2.0331e+08,1.3068e+06,0.1273
3.1732,23,2.0676e+08,2.0544e+08,1.3145e+06,0.1244
3.2993,24,2.0914e+08,2.0782e+08,1.3212e+06,0.1256
3.4225,25,2.1178e+08,2.1045e+08,1.3270e+06,0.1225
3.5461,26,2.1471e+08,2.1337e+08,1.3320e+06,0.1229
3.6714,27,2.1794e+08,2.1660e+08,1.3363e+06,0.1247
3.7980,28,2.2152e+08,2.2018e+08,1.3400e+06,0.1261
3.9242,29,2.2547e+08,2.2412e+08,1.3436e+06,0.1254
4.0490,30,2.2978e+08,2.2844e+08,1.3475e+06,0.1240
4.1736,31,2.3447e+08,2.3312e+08,1.3512e+06,0.1239
4.3003,32,2.3956e+08,2.3821e+08,1.3549e+06,0.1260
4.4287,33,2.4506e+08,2.4370e+08,1.3590e+06,0.1277
4.5547,34,2.5095e+08,2.4959e+08,1.3634e+06,0.1253
4.6794,35,2.5724e+08,2.5588e+08,1.3683e+06,0.1239
4.8031,36,2.6393e+08,2.6256e+08,1.3735e+06,0.1231
4.9332,37,2.7099e+08,2.6961e+08,1.3794e+06,0.1294
5.0609,38,2.7843e+08,2.7704e+08,1.3860e+06,0.1204
5.1845,39,2.8621e+08,2.8482e+08,1.3928e+06,0.1230
5.3080,40,2.9435e+08,2.9295e+08,1.4001e+06,0.1228
5.4322,41,3.0286e+08,3.0145e+08,1.4077e+06,0.1236
5.5587,42,3.1172e+08,3.1031e+08,1.4158e+06,0.1258
5.6849,43,3.2092e+08,3.1950e+08,1.4243e+06,0.1255
5.8092,44,3.3046e+08,3.2902e+08,1.4332e+06,0.1236
5.9336,45,3.4031e+08,3.3887e+08,1.4424e+06,0.1239
6.0585,46,3.5049e+08,3.4903e+08,1.4520e+06,0.1243
6.1859,47,3.6097e+08,3.5951e+08,1.4617e+06,0.1267
6.3126,48,3.7174e+08,3.7027e+08,1.4718e+06,0.1259
6.4382,49,3.8282e+08,3.8133e+08,1.4821e+06,0.1248
6.5633,50,3.9417e+08,3.9268e+08,1.4927e+06,0.1244
6.6974,51,4.0582e+08,4.0431e+08,1.5034e+06,0.1333
6.8225,52,4.1776e+08,4.1625e+08,1.5143e+06,0.1245
6.9473,53,4.2999e+08,4.2846e+08,1.5253e+06,0.1241
7.0725,54,4.4248e+08,4.4094e+08,1.5364e+06,0.1245
7.2008,55,4.5524e+08,4.5369e+08,1.5476e+06,0.1275
7.3273,56,4.6827e+08,4.6671e+08,1.5591e+06,0.1257
7.4523,57,4.8159e+08,4.8002e+08,1.5707e+06,0.1242
7.5755,58,4.9517e+08,4.9358e+08,1.5825e+06,0.1226
7.6994,59,5.0900e+08,5.0741e+08,1.5945e+06,0.1232
7.8259,60,5.2309e+08,5.2149e+08,1.6065e+06,0.1258
7.9542,61,5.3743e+08,5.3581e+08,1.6187e+06,0.1276
8.0804,62,5.5203e+08,5.5040e+08,1.6311e+06,0.1255
8.2081,63,5.6688e+08,5.6524e+08,1.6436e+06,0.1270
8.3370,64,5.8195e+08,5.8030e+08,1.6562e+06,0.1244
8.4625,65,5.9723e+08,5.9556e+08,1.6687e+06,0.1250
8.5871,66,6.1274e+08,6.1106e+08,1.6812e+06,0.1240
8.7104,67,6.2847e+08,6.2678e+08,1.6940e+06,0.1226
8.8337,68,6.4443e+08,6.4272e+08,1.7068e+06,0.1227
8.9593,69,6.6061e+08,6.5889e+08,1.7197e+06,0.1250
9.0861,70,6.7699e+08,6.7526e+08,1.7327e+06,0.1262
9.2143,71,6.9358e+08,6.9183e+08,1.7458e+06,0.1276
9.3371,72,7.1037e+08,7.0861e+08,1.7589e+06,0.1221
9.4610,73,7.2735e+08,7.2558e+08,1.7722e+06,0.1233
9.5875,74,7.4452e+08,7.4274e+08,1.7855e+06,0.1258
9.7146,75,7.6186e+08,7.6006e+08,1.7990e+06,0.1265
9.8391,76,7.7937e+08,7.7756e+08,1.8126e+06,0.1239
9.9630,77,7.9706e+08,7.9523e+08,1.8264e+06,0.1232
10.0860,78,8.1492e+08,8.1308e+08,1.8402e+06,0.1224
10.2099,79,8.3294e+08,8.3108e+08,1.8541e+06,0.1233
10.3343,80,8.5111e+08,8.4924e+08,1.8681e+06,0.1237
10.4594,81,8.6942e+08,8.6754e+08,1.8821e+06,0.1246
10.5864,82,8.8787e+08,8.8597e+08,1.8961e+06,0.1263
10.7110,83,9.0646e+08,9.0455e+08,1.9102e+06,0.1240
10.8359,84,9.2522e+08,9.2329e+08,1.9243e+06,0.1242
10.9610,85,9.4412e+08,9.4218e+08,1.9383e+06,0.1244
11.0875,86,9.6315e+08,9.6120e+08,1.9524e+06,0.1257
11.2144,87,9.8232e+08,9.8035e+08,1.9663e+06,0.1263
11.3380,88,1.0016e+09,9.9963e+08,1.9802e+06,0.1230
11.4612,89,1.0210e+09,1.0190e+09,1.9941e+06,0.1226
11.5840,90,1.0405e+09,1.0385e+09,2.0077e+06,0.1222
11.7081,91,1.0602e+09,1.0581e+09,2.0212e+06,0.1235
11.8357,92,1.0799e+09,1.0778e+09,2.0345e+06,0.1268
11.9626,93,1.0997e+09,1.0976e+09,2.0477e+06,0.1262
12.0879,94,1.1196e+09,1.1175e+09,2.0607e+06,0.1245
12.2123,95,1.1396e+09,1.1375e+09,2.0734e+06,0.1236
12.3366,96,1.1596e+09,1.1575e+09,2.0859e+06,0.1236
12.4608,97,1.1798e+09,1.1777e+09,2.0983e+06,0.1236
12.5879,98,1.2000e+09,1.1979e+09,2.1104e+06,0.1261
12.7126,99,1.2202e+09,1.2181e+09,2.1224e+06,0.1241
12.8373,100,1.2406e+09,1.2384e+09,2.1342e+06,0.1241
13.0311,101,1.2610e+09,1.2588e+09,2.1459e+06,0.1188
13.1561,102,1.2814e+09,1.2793e+09,2.1572e+06,0.1244
13.2830,103,1.3019e+09,1.2997e+09,2.1684e+06,0.1262
13.4074,104,1.3224e+09,1.3203e+09,2.1793e+06,0.1237
13.5327,105,1.3430e+09,1.3408e+09,2.1899e+06,0.1246
13.6576,106,1.3636e+09,1.3614e+09,2.2004e+06,0.1241
13.7843,107,1.3842e+09,1.3820e+09,2.2108e+06,0.1260
13.9153,108,1.4049e+09,1.4026e+09,2.2209e+06,0.1304
14.0397,109,1.4255e+09,1.4233e+09,2.2308e+06,0.1238
14.1655,110,1.4462e+09,1.4440e+09,2.2405e+06,0.1252
14.2929,111,1.4670e+09,1.4647e+09,2.2501e+06,0.1269
14.4169,112,1.4877e+09,1.4855e+09,2.2594e+06,0.1234
14.5401,113,1.5085e+09,1.5062e+09,2.2686e+06,0.1225
14.6649,114,1.5293e+09,1.5270e+09,2.2775e+06,0.1240
14.7909,115,1.5501e+09,1.5478e+09,2.2862e+06,0.1253
14.9178,116,1.5709e+09,1.5686e+09,2.2946e+06,0.1262
15.0423,117,1.5917e+09,1.5894e+09,2.3027e+06,0.1239
15.1663,118,1.6124e+09,1.6101e+09,2.3107e+06,0.1234
