run_time,iteration,loss,style_loss,content_loss,time
0.1173,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1173
0.2526,1,8.2634e+08,8.2527e+08,1.0665e+06,0.1106
0.3675,2,8.2634e+08,8.2527e+08,1.0665e+06,0.1142
0.4836,3,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
0.5981,4,8.2634e+08,8.2527e+08,1.0665e+06,0.1138
0.7123,5,8.2634e+08,8.2527e+08,1.0665e+06,0.1135
0.8280,6,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
0.9447,7,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
1.0627,8,8.2634e+08,8.2527e+08,1.0665e+06,0.1173
1.1775,9,8.2634e+08,8.2527e+08,1.0665e+06,0.1142
1.2939,10,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
1.4079,11,8.2634e+08,8.2527e+08,1.0665e+06,0.1134
1.5218,12,8.2634e+08,8.2527e+08,1.0665e+06,0.1132
1.6370,13,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
1.7522,14,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
1.8668,15,8.2634e+08,8.2527e+08,1.0665e+06,0.1140
1.9838,16,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
2.0995,17,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
2.2136,18,8.2634e+08,8.2527e+08,1.0665e+06,0.1135
2.3295,19,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
2.4444,20,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
2.5583,21,8.2634e+08,8.2527e+08,1.0665e+06,0.1133
2.6737,22,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
2.7883,23,8.2634e+08,8.2527e+08,1.0665e+06,0.1140
2.9033,24,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
3.0208,25,8.2634e+08,8.2527e+08,1.0665e+06,0.1168
3.1383,26,8.2634e+08,8.2527e+08,1.0665e+06,0.1168
3.2541,27,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
3.3704,28,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
3.4879,29,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
3.6052,30,8.2634e+08,8.2527e+08,1.0665e+06,0.1166
3.7201,31,8.2634e+08,8.2527e+08,1.0665e+06,0.1142
3.8360,32,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
3.9530,33,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
4.0691,34,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
4.1858,35,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
4.3017,36,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
4.4174,37,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
4.5336,38,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
4.6472,39,8.2634e+08,8.2527e+08,1.0665e+06,0.1129
4.7642,40,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
4.8796,41,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
4.9937,42,8.2634e+08,8.2527e+08,1.0665e+06,0.1134
5.1088,43,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
5.2260,44,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
5.3415,45,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
5.4563,46,8.2634e+08,8.2527e+08,1.0665e+06,0.1141
5.5731,47,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
5.6878,48,8.2634e+08,8.2527e+08,1.0665e+06,0.1140
5.8023,49,8.2634e+08,8.2527e+08,1.0665e+06,0.1138
5.9185,50,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
