run_time,iteration,loss,style_loss,content_loss,time
0.1190,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1190
0.2580,1,8.2634e+08,8.2527e+08,1.0665e+06,0.1129
0.3758,2,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
0.4931,3,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
0.6086,4,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
0.7246,5,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
0.8403,6,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
0.9586,7,8.2634e+08,8.2527e+08,1.0665e+06,0.1177
1.0727,8,8.2634e+08,8.2527e+08,1.0665e+06,0.1135
1.1881,9,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
1.3033,10,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
1.4168,11,8.2634e+08,8.2527e+08,1.0665e+06,0.1128
1.5329,12,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
1.6482,13,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
1.7641,14,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
1.8803,15,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
1.9974,16,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
2.1125,17,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
2.2267,18,8.2634e+08,8.2527e+08,1.0665e+06,0.1135
2.3429,19,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
2.4581,20,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
2.5721,21,8.2634e+08,8.2527e+08,1.0665e+06,0.1134
2.6875,22,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
2.8029,23,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
2.9172,24,8.2634e+08,8.2527e+08,1.0665e+06,0.1136
3.0352,25,8.2634e+08,8.2527e+08,1.0665e+06,0.1173
3.1519,26,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
3.2673,27,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
3.3845,28,8.2634e+08,8.2527e+08,1.0665e+06,0.1166
3.5010,29,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
3.6182,30,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
3.7326,31,8.2634e+08,8.2527e+08,1.0665e+06,0.1136
3.8468,32,8.2634e+08,8.2527e+08,1.0665e+06,0.1135
3.9632,33,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
4.0780,34,8.2634e+08,8.2527e+08,1.0665e+06,0.1142
4.1934,35,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
4.3116,36,8.2634e+08,8.2527e+08,1.0665e+06,0.1174
4.4295,37,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
4.5467,38,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
4.6626,39,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
4.7781,40,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
4.8937,41,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
5.0086,42,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
5.1234,43,8.2634e+08,8.2527e+08,1.0665e+06,0.1141
5.2398,44,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
5.3564,45,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
5.4705,46,8.2634e+08,8.2527e+08,1.0665e+06,0.1134
5.5864,47,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
5.7023,48,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
5.8160,49,8.2634e+08,8.2527e+08,1.0665e+06,0.1131
5.9313,50,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
6.0470,51,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
6.1615,52,8.2634e+08,8.2527e+08,1.0665e+06,0.1138
6.2788,53,8.2634e+08,8.2527e+08,1.0665e+06,0.1166
6.3953,54,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
6.5110,55,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
6.6257,56,8.2634e+08,8.2527e+08,1.0665e+06,0.1140
6.7416,57,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
6.8569,58,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
6.9712,59,8.2634e+08,8.2527e+08,1.0665e+06,0.1137
7.0873,60,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
7.2035,61,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
7.3189,62,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
7.4348,63,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
7.5519,64,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
7.6677,65,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
7.7815,66,8.2634e+08,8.2527e+08,1.0665e+06,0.1131
7.8977,67,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
8.0137,68,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
8.1291,69,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
8.2442,70,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
8.3615,71,8.2634e+08,8.2527e+08,1.0665e+06,0.1166
8.4785,72,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
8.5946,73,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
8.7108,74,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
8.8286,75,8.2634e+08,8.2527e+08,1.0665e+06,0.1170
8.9439,76,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
9.0582,77,8.2634e+08,8.2527e+08,1.0665e+06,0.1137
9.1750,78,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
9.2929,79,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
9.4104,80,8.2634e+08,8.2527e+08,1.0665e+06,0.1168
9.5257,81,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
9.6415,82,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
9.7572,83,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
9.8726,84,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
9.9882,85,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
10.1050,86,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
10.2205,87,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
10.3357,88,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
10.4521,89,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
10.5691,90,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
10.6840,91,8.2634e+08,8.2527e+08,1.0665e+06,0.1142
10.7981,92,8.2634e+08,8.2527e+08,1.0665e+06,0.1134
10.9138,93,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
11.0294,94,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
11.1433,95,8.2634e+08,8.2527e+08,1.0665e+06,0.1133
11.2594,96,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
11.3755,97,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
11.4901,98,8.2634e+08,8.2527e+08,1.0665e+06,0.1139
11.6063,99,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
11.7225,100,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
11.8538,101,8.2634e+08,8.2527e+08,1.0665e+06,0.1109
11.9694,102,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
12.0851,103,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
12.2002,104,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
12.3157,105,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
12.4324,106,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
12.5470,107,8.2634e+08,8.2527e+08,1.0665e+06,0.1140
12.6652,108,8.2634e+08,8.2527e+08,1.0665e+06,0.1176
12.7820,109,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
12.8976,110,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
13.0123,111,8.2634e+08,8.2527e+08,1.0665e+06,0.1140
13.1281,112,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
13.2440,113,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
13.3588,114,8.2634e+08,8.2527e+08,1.0665e+06,0.1142
13.4731,115,8.2634e+08,8.2527e+08,1.0665e+06,0.1135
13.5939,116,8.2634e+08,8.2527e+08,1.0665e+06,0.1201
13.7098,117,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
13.8258,118,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
13.9397,119,8.2634e+08,8.2527e+08,1.0665e+06,0.1132
14.0555,120,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
14.1706,121,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
14.2846,122,8.2634e+08,8.2527e+08,1.0665e+06,0.1134
14.4007,123,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
14.5181,124,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
14.6335,125,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
14.7480,126,8.2634e+08,8.2527e+08,1.0665e+06,0.1139
14.8641,127,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
14.9788,128,8.2634e+08,8.2527e+08,1.0665e+06,0.1140
15.0937,129,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
15.2098,130,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
15.3273,131,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
15.4421,132,8.2634e+08,8.2527e+08,1.0665e+06,0.1142
15.5572,133,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
15.6741,134,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
15.7894,135,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
15.9038,136,8.2634e+08,8.2527e+08,1.0665e+06,0.1138
16.0195,137,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
16.1349,138,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
16.2492,139,8.2634e+08,8.2527e+08,1.0665e+06,0.1136
16.3656,140,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
16.4808,141,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
16.5952,142,8.2634e+08,8.2527e+08,1.0665e+06,0.1137
16.7110,143,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
16.8291,144,8.2634e+08,8.2527e+08,1.0665e+06,0.1174
16.9446,145,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
17.0592,146,8.2634e+08,8.2527e+08,1.0665e+06,0.1140
17.1756,147,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
17.2909,148,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
17.4055,149,8.2634e+08,8.2527e+08,1.0665e+06,0.1139
17.5211,150,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
17.6408,151,8.2634e+08,8.2527e+08,1.0665e+06,0.1190
17.7561,152,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
17.8702,153,8.2634e+08,8.2527e+08,1.0665e+06,0.1134
17.9870,154,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
18.1036,155,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
18.2193,156,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
18.3341,157,8.2634e+08,8.2527e+08,1.0665e+06,0.1141
