run_time,iteration,loss,style_loss,content_loss,time
0.1208,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1208
0.2669,1,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
0.3874,2,8.2634e+08,8.2527e+08,1.0665e+06,0.1198
0.5071,3,8.2634e+08,8.2527e+08,1.0665e+06,0.1190
0.6267,4,8.2634e+08,8.2527e+08,1.0665e+06,0.1187
0.7472,5,8.2634e+08,8.2527e+08,1.0665e+06,0.1198
0.8685,6,8.2634e+08,8.2527e+08,1.0665e+06,0.1206
0.9913,7,8.2634e+08,8.2527e+08,1.0665e+06,0.1220
1.1123,8,8.2634e+08,8.2527e+08,1.0665e+06,0.1204
1.2323,9,8.2634e+08,8.2527e+08,1.0665e+06,0.1193
1.3499,10,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
1.4673,11,8.2634e+08,8.2527e+08,1.0665e+06,0.1168
1.5858,12,8.2634e+08,8.2527e+08,1.0665e+06,0.1177
1.7048,13,8.2634e+08,8.2527e+08,1.0665e+06,0.1184
1.8245,14,8.2634e+08,8.2527e+08,1.0665e+06,0.1190
1.9450,15,8.2634e+08,8.2527e+08,1.0665e+06,0.1197
2.0649,16,8.2634e+08,8.2527e+08,1.0665e+06,0.1192
2.1845,17,8.2634e+08,8.2527e+08,1.0665e+06,0.1189
2.3041,18,8.2634e+08,8.2527e+08,1.0665e+06,0.1189
2.4222,19,8.2634e+08,8.2527e+08,1.0665e+06,0.1174
2.5400,20,8.2634e+08,8.2527e+08,1.0665e+06,0.1172
2.6587,21,8.2634e+08,8.2527e+08,1.0665e+06,0.1181
2.7782,22,8.2634e+08,8.2527e+08,1.0665e+06,0.1189
2.8980,23,8.2634e+08,8.2527e+08,1.0665e+06,0.1192
3.0186,24,8.2634e+08,8.2527e+08,1.0665e+06,0.1198
3.1390,25,8.2634e+08,8.2527e+08,1.0665e+06,0.1198
3.2602,26,8.2634e+08,8.2527e+08,1.0665e+06,0.1205
3.3806,27,8.2634e+08,8.2527e+08,1.0665e+06,0.1196
3.5004,28,8.2634e+08,8.2527e+08,1.0665e+06,0.1191
3.6187,29,8.2634e+08,8.2527e+08,1.0665e+06,0.1176
3.7364,30,8.2634e+08,8.2527e+08,1.0665e+06,0.1170
3.8551,31,8.2634e+08,8.2527e+08,1.0665e+06,0.1180
3.9751,32,8.2634e+08,8.2527e+08,1.0665e+06,0.1193
4.0948,33,8.2634e+08,8.2527e+08,1.0665e+06,0.1190
4.2149,34,8.2634e+08,8.2527e+08,1.0665e+06,0.1194
4.3344,35,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
4.4551,36,8.2634e+08,8.2527e+08,1.0665e+06,0.1200
4.5755,37,8.2634e+08,8.2527e+08,1.0665e+06,0.1197
4.6958,38,8.2634e+08,8.2527e+08,1.0665e+06,0.1196
4.8144,39,8.2634e+08,8.2527e+08,1.0665e+06,0.1178
4.9313,40,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
5.0497,41,8.2634e+08,8.2527e+08,1.0665e+06,0.1177
5.1702,42,8.2634e+08,8.2527e+08,1.0665e+06,0.1198
5.2904,43,8.2634e+08,8.2527e+08,1.0665e+06,0.1195
5.4104,44,8.2634e+08,8.2527e+08,1.0665e+06,0.1193
5.5307,45,8.2634e+08,8.2527e+08,1.0665e+06,0.1196
5.6513,46,8.2634e+08,8.2527e+08,1.0665e+06,0.1192
5.7715,47,8.2634e+08,8.2527e+08,1.0665e+06,0.1195
5.8916,48,8.2634e+08,8.2527e+08,1.0665e+06,0.1194
6.0113,49,8.2634e+08,8.2527e+08,1.0665e+06,0.1191
6.1301,50,8.2634e+08,8.2527e+08,1.0665e+06,0.1181
6.2478,51,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
6.3671,52,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
6.4863,53,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
6.6065,54,8.2634e+08,8.2527e+08,1.0665e+06,0.1195
6.7270,55,8.2634e+08,8.2527e+08,1.0665e+06,0.1199
6.8476,56,8.2634e+08,8.2527e+08,1.0665e+06,0.1198
6.9688,57,8.2634e+08,8.2527e+08,1.0665e+06,0.1201
7.0901,58,8.2634e+08,8.2527e+08,1.0665e+06,0.1206
7.2104,59,8.2634e+08,8.2527e+08,1.0665e+06,0.1195
7.3312,60,8.2634e+08,8.2527e+08,1.0665e+06,0.1200
7.4519,61,8.2634e+08,8.2527e+08,1.0665e+06,0.1200
7.5712,62,8.2634e+08,8.2527e+08,1.0665e+06,0.1185
7.6903,63,8.2634e+08,8.2527e+08,1.0665e+06,0.1183
7.8186,64,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
7.9399,65,8.2634e+08,8.2527e+08,1.0665e+06,0.1205
8.0603,66,8.2634e+08,8.2527e+08,1.0665e+06,0.1197
8.1849,67,8.2634e+08,8.2527e+08,1.0665e+06,0.1238
8.3046,68,8.2634e+08,8.2527e+08,1.0665e+06,0.1190
8.4249,69,8.2634e+08,8.2527e+08,1.0665e+06,0.1195
8.5455,70,8.2634e+08,8.2527e+08,1.0665e+06,0.1197
8.6642,71,8.2634e+08,8.2527e+08,1.0665e+06,0.1180
8.7826,72,8.2634e+08,8.2527e+08,1.0665e+06,0.1176
8.9011,73,8.2634e+08,8.2527e+08,1.0665e+06,0.1178
9.0217,74,8.2634e+08,8.2527e+08,1.0665e+06,0.1199
9.1427,75,8.2634e+08,8.2527e+08,1.0665e+06,0.1203
9.2629,76,8.2634e+08,8.2527e+08,1.0665e+06,0.1195
9.3828,77,8.2634e+08,8.2527e+08,1.0665e+06,0.1191
9.5038,78,8.2634e+08,8.2527e+08,1.0665e+06,0.1202
9.6249,79,8.2634e+08,8.2527e+08,1.0665e+06,0.1203
9.7456,80,8.2634e+08,8.2527e+08,1.0665e+06,0.1197
9.8649,81,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
9.9850,82,8.2634e+08,8.2527e+08,1.0665e+06,0.1194
10.1046,83,8.2634e+08,8.2527e+08,1.0665e+06,0.1189
10.2236,84,8.2634e+08,8.2527e+08,1.0665e+06,0.1182
10.3416,85,8.2634e+08,8.2527e+08,1.0665e+06,0.1173
10.4617,86,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
10.5810,87,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
10.7007,88,8.2634e+08,8.2527e+08,1.0665e+06,0.1190
10.8218,89,8.2634e+08,8.2527e+08,1.0665e+06,0.1203
10.9419,90,8.2634e+08,8.2527e+08,1.0665e+06,0.1193
11.0622,91,8.2634e+08,8.2527e+08,1.0665e+06,0.1195
11.1830,92,8.2634e+08,8.2527e+08,1.0665e+06,0.1201
11.3035,93,8.2634e+08,8.2527e+08,1.0665e+06,0.1197
11.4248,94,8.2634e+08,8.2527e+08,1.0665e+06,0.1207
11.5430,95,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
11.6601,96,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
11.7783,97,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
11.8983,98,8.2634e+08,8.2527e+08,1.0665e+06,0.1194
12.0182,99,8.2634e+08,8.2527e+08,1.0665e+06,0.1192
12.1384,100,8.2634e+08,8.2527e+08,1.0665e+06,0.1196
12.2748,101,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
12.3929,102,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
12.5109,103,8.2634e+08,8.2527e+08,1.0665e+06,0.1174
12.6302,104,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
12.7537,105,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
12.8728,106,8.2634e+08,8.2527e+08,1.0665e+06,0.1185
12.9924,107,8.2634e+08,8.2527e+08,1.0665e+06,0.1189
13.1150,108,8.2634e+08,8.2527e+08,1.0665e+06,0.1220
13.2344,109,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
13.3540,110,8.2634e+08,8.2527e+08,1.0665e+06,0.1189
13.4741,111,8.2634e+08,8.2527e+08,1.0665e+06,0.1191
13.5953,112,8.2634e+08,8.2527e+08,1.0665e+06,0.1205
13.7164,113,8.2634e+08,8.2527e+08,1.0665e+06,0.1204
13.8365,114,8.2634e+08,8.2527e+08,1.0665e+06,0.1193
13.9559,115,8.2634e+08,8.2527e+08,1.0665e+06,0.1187
14.0742,116,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
14.1934,117,8.2634e+08,8.2527e+08,1.0665e+06,0.1185
14.3125,118,8.2634e+08,8.2527e+08,1.0665e+06,0.1181
14.4330,119,8.2634e+08,8.2527e+08,1.0665e+06,0.1198
14.5529,120,8.2634e+08,8.2527e+08,1.0665e+06,0.1192
14.6725,121,8.2634e+08,8.2527e+08,1.0665e+06,0.1189
14.7926,122,8.2634e+08,8.2527e+08,1.0665e+06,0.1194
14.9127,123,8.2634e+08,8.2527e+08,1.0665e+06,0.1194
15.0340,124,8.2634e+08,8.2527e+08,1.0665e+06,0.1207
15.1561,125,8.2634e+08,8.2527e+08,1.0665e+06,0.1213
15.2775,126,8.2634e+08,8.2527e+08,1.0665e+06,0.1207
15.3975,127,8.2634e+08,8.2527e+08,1.0665e+06,0.1193
15.5163,128,8.2634e+08,8.2527e+08,1.0665e+06,0.1181
15.6336,129,8.2634e+08,8.2527e+08,1.0665e+06,0.1166
15.7522,130,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
15.8718,131,8.2634e+08,8.2527e+08,1.0665e+06,0.1188
15.9920,132,8.2634e+08,8.2527e+08,1.0665e+06,0.1194
16.1125,133,8.2634e+08,8.2527e+08,1.0665e+06,0.1199
16.2330,134,8.2634e+08,8.2527e+08,1.0665e+06,0.1198
16.3538,135,8.2634e+08,8.2527e+08,1.0665e+06,0.1200
16.4800,136,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
16.6005,137,8.2634e+08,8.2527e+08,1.0665e+06,0.1198
16.7211,138,8.2634e+08,8.2527e+08,1.0665e+06,0.1200
16.8410,139,8.2634e+08,8.2527e+08,1.0665e+06,0.1192
16.9606,140,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
17.0810,141,8.2634e+08,8.2527e+08,1.0665e+06,0.1197
17.2013,142,8.2634e+08,8.2527e+08,1.0665e+06,0.1196
17.3214,143,8.2634e+08,8.2527e+08,1.0665e+06,0.1195
17.4402,144,8.2634e+08,8.2527e+08,1.0665e+06,0.1181
17.5576,145,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
17.6766,146,8.2634e+08,8.2527e+08,1.0665e+06,0.1184
17.7953,147,8.2634e+08,8.2527e+08,1.0665e+06,0.1180
17.9182,148,8.2634e+08,8.2527e+08,1.0665e+06,0.1223
18.0383,149,8.2634e+08,8.2527e+08,1.0665e+06,0.1193
18.1585,150,8.2634e+08,8.2527e+08,1.0665e+06,0.1195
18.2794,151,8.2634e+08,8.2527e+08,1.0665e+06,0.1202
18.4010,152,8.2634e+08,8.2527e+08,1.0665e+06,0.1208
18.5217,153,8.2634e+08,8.2527e+08,1.0665e+06,0.1200
18.6417,154,8.2634e+08,8.2527e+08,1.0665e+06,0.1193
