run_time,iteration,loss,style_loss,content_loss,time
0.1213,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1213
0.2713,1,8.2634e+08,8.2527e+08,1.0665e+06,0.1141
0.3905,2,8.2634e+08,8.2527e+08,1.0665e+06,0.1185
0.5096,3,8.2634e+08,8.2527e+08,1.0665e+06,0.1184
0.6289,4,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
0.7471,5,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
0.8654,6,8.2634e+08,8.2527e+08,1.0665e+06,0.1176
0.9846,7,8.2634e+08,8.2527e+08,1.0665e+06,0.1184
1.1039,8,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
1.2252,9,8.2634e+08,8.2527e+08,1.0665e+06,0.1206
1.3446,10,8.2634e+08,8.2527e+08,1.0665e+06,0.1187
1.4641,11,8.2634e+08,8.2527e+08,1.0665e+06,0.1188
1.5837,12,8.2634e+08,8.2527e+08,1.0665e+06,0.1189
1.7030,13,8.2634e+08,8.2527e+08,1.0665e+06,0.1183
1.8216,14,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
1.9410,15,8.2634e+08,8.2527e+08,1.0665e+06,0.1187
2.0589,16,8.2634e+08,8.2527e+08,1.0665e+06,0.1172
2.1784,17,8.2634e+08,8.2527e+08,1.0665e+06,0.1188
2.2969,18,8.2634e+08,8.2527e+08,1.0665e+06,0.1177
2.4159,19,8.2634e+08,8.2527e+08,1.0665e+06,0.1182
2.5351,20,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
2.6550,21,8.2634e+08,8.2527e+08,1.0665e+06,0.1192
2.7744,22,8.2634e+08,8.2527e+08,1.0665e+06,0.1187
2.8930,23,8.2634e+08,8.2527e+08,1.0665e+06,0.1178
3.0107,24,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
3.1292,25,8.2634e+08,8.2527e+08,1.0665e+06,0.1178
3.2521,26,8.2634e+08,8.2527e+08,1.0665e+06,0.1221
3.3716,27,8.2634e+08,8.2527e+08,1.0665e+06,0.1187
3.4904,28,8.2634e+08,8.2527e+08,1.0665e+06,0.1181
3.6096,29,8.2634e+08,8.2527e+08,1.0665e+06,0.1185
3.7298,30,8.2634e+08,8.2527e+08,1.0665e+06,0.1192
3.8493,31,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
3.9688,32,8.2634e+08,8.2527e+08,1.0665e+06,0.1188
4.0864,33,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
4.2042,34,8.2634e+08,8.2527e+08,1.0665e+06,0.1172
4.3238,35,8.2634e+08,8.2527e+08,1.0665e+06,0.1188
4.4460,36,8.2634e+08,8.2527e+08,1.0665e+06,0.1214
4.5653,37,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
4.6842,38,8.2634e+08,8.2527e+08,1.0665e+06,0.1182
