run_time,iteration,loss,style_loss,content_loss,time
0.1194,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1194
0.2552,1,8.2634e+08,8.2527e+08,1.0665e+06,0.1110
0.3717,2,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
0.4901,3,8.2634e+08,8.2527e+08,1.0665e+06,0.1178
0.6078,4,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
0.7254,5,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
0.8427,6,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
0.9609,7,8.2634e+08,8.2527e+08,1.0665e+06,0.1176
1.0811,8,8.2634e+08,8.2527e+08,1.0665e+06,0.1196
1.2008,9,8.2634e+08,8.2527e+08,1.0665e+06,0.1191
1.3178,10,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
1.4354,11,8.2634e+08,8.2527e+08,1.0665e+06,0.1170
1.5530,12,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
1.6690,13,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
1.7869,14,8.2634e+08,8.2527e+08,1.0665e+06,0.1174
1.9050,15,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
2.0243,16,8.2634e+08,8.2527e+08,1.0665e+06,0.1188
2.1424,17,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
2.2589,18,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
2.3755,19,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
2.4940,20,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
2.6122,21,8.2634e+08,8.2527e+08,1.0665e+06,0.1177
2.7284,22,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
2.8464,23,8.2634e+08,8.2527e+08,1.0665e+06,0.1173
2.9635,24,8.2634e+08,8.2527e+08,1.0665e+06,0.1166
3.0817,25,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
3.2003,26,8.2634e+08,8.2527e+08,1.0665e+06,0.1180
3.3184,27,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
3.4360,28,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
3.5528,29,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
3.6705,30,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
3.7889,31,8.2634e+08,8.2527e+08,1.0665e+06,0.1178
3.9075,32,8.2634e+08,8.2527e+08,1.0665e+06,0.1180
4.0249,33,8.2634e+08,8.2527e+08,1.0665e+06,0.1168
4.1414,34,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
4.2581,35,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
4.3768,36,8.2634e+08,8.2527e+08,1.0665e+06,0.1180
4.4952,37,8.2634e+08,8.2527e+08,1.0665e+06,0.1178
4.6137,38,8.2634e+08,8.2527e+08,1.0665e+06,0.1180
4.7314,39,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
4.8475,40,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
4.9655,41,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
5.0846,42,8.2634e+08,8.2527e+08,1.0665e+06,0.1184
5.2029,43,8.2634e+08,8.2527e+08,1.0665e+06,0.1177
5.3202,44,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
5.4361,45,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
5.5531,46,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
5.6710,47,8.2634e+08,8.2527e+08,1.0665e+06,0.1173
5.7896,48,8.2634e+08,8.2527e+08,1.0665e+06,0.1176
5.9073,49,8.2634e+08,8.2527e+08,1.0665e+06,0.1172
6.0227,50,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
6.1429,51,8.2634e+08,8.2527e+08,1.0665e+06,0.1196
6.2611,52,8.2634e+08,8.2527e+08,1.0665e+06,0.1177
6.3803,53,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
6.4986,54,8.2634e+08,8.2527e+08,1.0665e+06,0.1174
6.6168,55,8.2634e+08,8.2527e+08,1.0665e+06,0.1176
6.7322,56,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
6.8495,57,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
6.9676,58,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
7.0857,59,8.2634e+08,8.2527e+08,1.0665e+06,0.1173
7.2037,60,8.2634e+08,8.2527e+08,1.0665e+06,0.1174
7.3214,61,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
7.4391,62,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
7.5582,63,8.2634e+08,8.2527e+08,1.0665e+06,0.1183
7.6761,64,8.2634e+08,8.2527e+08,1.0665e+06,0.1173
7.7939,65,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
7.9111,66,8.2634e+08,8.2527e+08,1.0665e+06,0.1166
8.0275,67,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
8.1455,68,8.2634e+08,8.2527e+08,1.0665e+06,0.1174
8.2646,69,8.2634e+08,8.2527e+08,1.0665e+06,0.1185
8.3830,70,8.2634e+08,8.2527e+08,1.0665e+06,0.1178
8.5016,71,8.2634e+08,8.2527e+08,1.0665e+06,0.1180
8.6184,72,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
8.7346,73,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
8.8532,74,8.2634e+08,8.2527e+08,1.0665e+06,0.1180
8.9716,75,8.2634e+08,8.2527e+08,1.0665e+06,0.1178
9.0905,76,8.2634e+08,8.2527e+08,1.0665e+06,0.1183
9.2078,77,8.2634e+08,8.2527e+08,1.0665e+06,0.1168
9.3245,78,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
9.4428,79,8.2634e+08,8.2527e+08,1.0665e+06,0.1177
9.5612,80,8.2634e+08,8.2527e+08,1.0665e+06,0.1178
9.6790,81,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
9.7971,82,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
9.9139,83,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
10.0308,84,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
10.1495,85,8.2634e+08,8.2527e+08,1.0665e+06,0.1181
10.2693,86,8.2634e+08,8.2527e+08,1.0665e+06,0.1191
10.3875,87,8.2634e+08,8.2527e+08,1.0665e+06,0.1174
10.5060,88,8.2634e+08,8.2527e+08,1.0665e+06,0.1178
10.6223,89,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
10.7398,90,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
10.8581,91,8.2634e+08,8.2527e+08,1.0665e+06,0.1177
