run_time,iteration,loss,style_loss,content_loss,time
0.1206,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1206
0.3279,1,5.7769e+08,5.7769e+08,4.2930e-08,0.1205
0.4546,2,5.7769e+08,5.7769e+08,4.2930e-08,0.1260
0.5823,3,5.7769e+08,5.7769e+08,4.2930e-08,0.1272
0.7114,4,5.7769e+08,5.7769e+08,4.2930e-08,0.1284
0.8385,5,5.7769e+08,5.7769e+08,4.2930e-08,0.1265
0.9665,6,5.7769e+08,5.7769e+08,4.2930e-08,0.1274
1.0993,7,5.7769e+08,5.7769e+08,4.2930e-08,0.1321
1.2324,8,5.7769e+08,5.7769e+08,4.2930e-08,0.1325
1.3605,9,5.7769e+08,5.7769e+08,4.2930e-08,0.1275
1.4870,10,5.7769e+08,5.7769e+08,4.2930e-08,0.1258
1.6160,11,5.7769e+08,5.7769e+08,4.2930e-08,0.1284
1.7440,12,5.7769e+08,5.7769e+08,4.2930e-08,0.1274
1.8702,13,5.7769e+08,5.7769e+08,4.2930e-08,0.1255
1.9979,14,5.7769e+08,5.7769e+08,4.2930e-08,0.1272
2.1297,15,5.7769e+08,5.7769e+08,4.2930e-08,0.1311
2.2567,16,5.7769e+08,5.7769e+08,4.2930e-08,0.1264
2.3852,17,5.7769e+08,5.7769e+08,4.2930e-08,0.1280
2.5134,18,5.7769e+08,5.7769e+08,4.2930e-08,0.1276
2.6393,19,5.7769e+08,5.7769e+08,4.2930e-08,0.1253
2.7677,20,5.7769e+08,5.7769e+08,4.2930e-08,0.1278
2.8971,21,5.7769e+08,5.7769e+08,4.2930e-08,0.1288
3.0239,22,5.7769e+08,5.7769e+08,4.2930e-08,0.1261
3.1530,23,5.7769e+08,5.7769e+08,4.2930e-08,0.1285
3.2825,24,5.7769e+08,5.7769e+08,4.2930e-08,0.1289
3.4091,25,5.7769e+08,5.7769e+08,4.2930e-08,0.1260
3.5378,26,5.7769e+08,5.7769e+08,4.2930e-08,0.1281
3.6668,27,5.7769e+08,5.7769e+08,4.2930e-08,0.1283
3.7929,28,5.7769e+08,5.7769e+08,4.2930e-08,0.1255
3.9215,29,5.7769e+08,5.7769e+08,4.2930e-08,0.1280
4.0515,30,5.7769e+08,5.7769e+08,4.2930e-08,0.1294
4.1789,31,5.7769e+08,5.7769e+08,4.2930e-08,0.1268
4.3081,32,5.7769e+08,5.7769e+08,4.2930e-08,0.1286
4.4374,33,5.7769e+08,5.7769e+08,4.2930e-08,0.1287
4.5634,34,5.7769e+08,5.7769e+08,4.2930e-08,0.1254
4.6919,35,5.7769e+08,5.7769e+08,4.2930e-08,0.1280
4.8213,36,5.7769e+08,5.7769e+08,4.2930e-08,0.1288
4.9485,37,5.7769e+08,5.7769e+08,4.2930e-08,0.1265
5.0767,38,5.7769e+08,5.7769e+08,4.2930e-08,0.1276
5.2072,39,5.7769e+08,5.7769e+08,4.2930e-08,0.1299
5.3339,40,5.7769e+08,5.7769e+08,4.2930e-08,0.1261
5.4628,41,5.7769e+08,5.7769e+08,4.2930e-08,0.1283
5.5922,42,5.7769e+08,5.7769e+08,4.2930e-08,0.1288
5.7195,43,5.7769e+08,5.7769e+08,4.2930e-08,0.1266
5.8535,44,5.7769e+08,5.7769e+08,4.2930e-08,0.1332
5.9815,45,5.7769e+08,5.7769e+08,4.2930e-08,0.1271
6.1107,46,5.7769e+08,5.7769e+08,4.2930e-08,0.1284
6.2413,47,5.7769e+08,5.7769e+08,4.2930e-08,0.1298
6.3686,48,5.7769e+08,5.7769e+08,4.2930e-08,0.1265
6.4980,49,5.7769e+08,5.7769e+08,4.2930e-08,0.1287
6.6279,50,5.7769e+08,5.7769e+08,4.2930e-08,0.1293
6.7573,51,5.7769e+08,5.7769e+08,4.2930e-08,0.1285
6.8882,52,5.7769e+08,5.7769e+08,4.2930e-08,0.1302
7.0156,53,5.7769e+08,5.7769e+08,4.2930e-08,0.1268
7.1440,54,5.7769e+08,5.7769e+08,4.2930e-08,0.1277
7.2740,55,5.7769e+08,5.7769e+08,4.2930e-08,0.1293
7.4006,56,5.7769e+08,5.7769e+08,4.2930e-08,0.1259
7.5292,57,5.7769e+08,5.7769e+08,4.2930e-08,0.1280
7.6590,58,5.7769e+08,5.7769e+08,4.2930e-08,0.1291
7.7886,59,5.7769e+08,5.7769e+08,4.2930e-08,0.1288
7.9184,60,5.7769e+08,5.7769e+08,4.2930e-08,0.1291
8.0468,61,5.7769e+08,5.7769e+08,4.2930e-08,0.1277
8.1759,62,5.7769e+08,5.7769e+08,4.2930e-08,0.1284
8.3052,63,5.7769e+08,5.7769e+08,4.2930e-08,0.1286
8.4316,64,5.7769e+08,5.7769e+08,4.2930e-08,0.1257
8.5609,65,5.7769e+08,5.7769e+08,4.2930e-08,0.1286
