run_time,iteration,loss,style_loss,content_loss,time
0.1186,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1186
0.2556,1,8.2634e+08,8.2527e+08,1.0665e+06,0.1120
0.3724,2,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
0.4909,3,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
0.6090,4,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
0.7259,5,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
0.8422,6,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
0.9622,7,8.2634e+08,8.2527e+08,1.0665e+06,0.1194
1.0807,8,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
1.1994,9,8.2634e+08,8.2527e+08,1.0665e+06,0.1181
1.3189,10,8.2634e+08,8.2527e+08,1.0665e+06,0.1188
1.4380,11,8.2634e+08,8.2527e+08,1.0665e+06,0.1184
1.5555,12,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
1.6723,13,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
1.7903,14,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
1.9084,15,8.2634e+08,8.2527e+08,1.0665e+06,0.1173
2.0279,16,8.2634e+08,8.2527e+08,1.0665e+06,0.1185
2.1461,17,8.2634e+08,8.2527e+08,1.0665e+06,0.1176
2.2652,18,8.2634e+08,8.2527e+08,1.0665e+06,0.1184
2.3817,19,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
2.4999,20,8.2634e+08,8.2527e+08,1.0665e+06,0.1177
2.6193,21,8.2634e+08,8.2527e+08,1.0665e+06,0.1188
2.7370,22,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
2.8539,23,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
2.9704,24,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
3.0887,25,8.2634e+08,8.2527e+08,1.0665e+06,0.1178
3.2071,26,8.2634e+08,8.2527e+08,1.0665e+06,0.1178
3.3246,27,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
3.4427,28,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
3.5594,29,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
3.6761,30,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
3.7949,31,8.2634e+08,8.2527e+08,1.0665e+06,0.1183
3.9141,32,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
4.0342,33,8.2634e+08,8.2527e+08,1.0665e+06,0.1191
4.1528,34,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
4.2703,35,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
4.3871,36,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
4.5057,37,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
4.6244,38,8.2634e+08,8.2527e+08,1.0665e+06,0.1180
4.7433,39,8.2634e+08,8.2527e+08,1.0665e+06,0.1182
4.8618,40,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
4.9783,41,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
5.0958,42,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
5.2165,43,8.2634e+08,8.2527e+08,1.0665e+06,0.1201
5.3352,44,8.2634e+08,8.2527e+08,1.0665e+06,0.1180
5.4538,45,8.2634e+08,8.2527e+08,1.0665e+06,0.1180
5.5713,46,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
5.6887,47,8.2634e+08,8.2527e+08,1.0665e+06,0.1168
5.8058,48,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
5.9244,49,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
6.0434,50,8.2634e+08,8.2527e+08,1.0665e+06,0.1185
6.1616,51,8.2634e+08,8.2527e+08,1.0665e+06,0.1176
6.2806,52,8.2634e+08,8.2527e+08,1.0665e+06,0.1184
6.3987,53,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
6.5156,54,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
6.6339,55,8.2634e+08,8.2527e+08,1.0665e+06,0.1178
6.7521,56,8.2634e+08,8.2527e+08,1.0665e+06,0.1177
6.8703,57,8.2634e+08,8.2527e+08,1.0665e+06,0.1176
6.9888,58,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
7.1050,59,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
7.2225,60,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
7.3411,61,8.2634e+08,8.2527e+08,1.0665e+06,0.1180
7.4606,62,8.2634e+08,8.2527e+08,1.0665e+06,0.1189
7.5793,63,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
7.6969,64,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
7.8139,65,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
7.9326,66,8.2634e+08,8.2527e+08,1.0665e+06,0.1181
8.0507,67,8.2634e+08,8.2527e+08,1.0665e+06,0.1174
8.1689,68,8.2634e+08,8.2527e+08,1.0665e+06,0.1176
8.2863,69,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
8.4033,70,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
8.5204,71,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
8.6393,72,8.2634e+08,8.2527e+08,1.0665e+06,0.1184
8.7578,73,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
8.8771,74,8.2634e+08,8.2527e+08,1.0665e+06,0.1185
8.9948,75,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
9.1113,76,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
9.2285,77,8.2634e+08,8.2527e+08,1.0665e+06,0.1166
9.3486,78,8.2634e+08,8.2527e+08,1.0665e+06,0.1195
9.4674,79,8.2634e+08,8.2527e+08,1.0665e+06,0.1183
9.5864,80,8.2634e+08,8.2527e+08,1.0665e+06,0.1184
9.7046,81,8.2634e+08,8.2527e+08,1.0665e+06,0.1176
