run_time,iteration,loss,style_loss,content_loss,time
0.1207,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1207
0.3284,1,5.7769e+08,5.7769e+08,4.2930e-08,0.1221
0.4545,2,5.7769e+08,5.7769e+08,4.2930e-08,0.1254
0.5815,3,5.7769e+08,5.7769e+08,4.2930e-08,0.1264
0.7100,4,5.7769e+08,5.7769e+08,4.2930e-08,0.1279
0.8371,5,5.7769e+08,5.7769e+08,4.2930e-08,0.1265
0.9647,6,5.7769e+08,5.7769e+08,4.2930e-08,0.1270
1.0996,7,5.7769e+08,5.7769e+08,4.2930e-08,0.1338
1.2328,8,5.7769e+08,5.7769e+08,4.2930e-08,0.1326
1.3613,9,5.7769e+08,5.7769e+08,4.2930e-08,0.1279
1.4890,10,5.7769e+08,5.7769e+08,4.2930e-08,0.1271
1.6176,11,5.7769e+08,5.7769e+08,4.2930e-08,0.1280
1.7452,12,5.7769e+08,5.7769e+08,4.2930e-08,0.1269
1.8710,13,5.7769e+08,5.7769e+08,4.2930e-08,0.1252
1.9984,14,5.7769e+08,5.7769e+08,4.2930e-08,0.1268
2.1267,15,5.7769e+08,5.7769e+08,4.2930e-08,0.1277
2.2542,16,5.7769e+08,5.7769e+08,4.2930e-08,0.1269
2.3814,17,5.7769e+08,5.7769e+08,4.2930e-08,0.1267
2.5115,18,5.7769e+08,5.7769e+08,4.2930e-08,0.1295
2.6387,19,5.7769e+08,5.7769e+08,4.2930e-08,0.1265
2.7700,20,5.7769e+08,5.7769e+08,4.2930e-08,0.1307
2.8979,21,5.7769e+08,5.7769e+08,4.2930e-08,0.1272
3.0244,22,5.7769e+08,5.7769e+08,4.2930e-08,0.1259
3.1504,23,5.7769e+08,5.7769e+08,4.2930e-08,0.1254
3.2791,24,5.7769e+08,5.7769e+08,4.2930e-08,0.1280
3.4081,25,5.7769e+08,5.7769e+08,4.2930e-08,0.1284
3.5343,26,5.7769e+08,5.7769e+08,4.2930e-08,0.1255
3.6624,27,5.7769e+08,5.7769e+08,4.2930e-08,0.1276
3.7921,28,5.7769e+08,5.7769e+08,4.2930e-08,0.1291
3.9188,29,5.7769e+08,5.7769e+08,4.2930e-08,0.1260
4.0463,30,5.7769e+08,5.7769e+08,4.2930e-08,0.1268
4.1760,31,5.7769e+08,5.7769e+08,4.2930e-08,0.1292
4.3022,32,5.7769e+08,5.7769e+08,4.2930e-08,0.1255
4.4301,33,5.7769e+08,5.7769e+08,4.2930e-08,0.1273
4.5591,34,5.7769e+08,5.7769e+08,4.2930e-08,0.1284
4.6863,35,5.7769e+08,5.7769e+08,4.2930e-08,0.1265
4.8124,36,5.7769e+08,5.7769e+08,4.2930e-08,0.1256
4.9401,37,5.7769e+08,5.7769e+08,4.2930e-08,0.1270
5.0679,38,5.7769e+08,5.7769e+08,4.2930e-08,0.1272
5.1952,39,5.7769e+08,5.7769e+08,4.2930e-08,0.1267
5.3230,40,5.7769e+08,5.7769e+08,4.2930e-08,0.1273
5.4519,41,5.7769e+08,5.7769e+08,4.2930e-08,0.1282
5.5791,42,5.7769e+08,5.7769e+08,4.2930e-08,0.1266
5.7071,43,5.7769e+08,5.7769e+08,4.2930e-08,0.1273
5.8357,44,5.7769e+08,5.7769e+08,4.2930e-08,0.1280
5.9634,45,5.7769e+08,5.7769e+08,4.2930e-08,0.1270
6.0988,46,5.7769e+08,5.7769e+08,4.2930e-08,0.1348
6.2267,47,5.7769e+08,5.7769e+08,4.2930e-08,0.1272
6.3530,48,5.7769e+08,5.7769e+08,4.2930e-08,0.1257
6.4805,49,5.7769e+08,5.7769e+08,4.2930e-08,0.1269
6.6088,50,5.7769e+08,5.7769e+08,4.2930e-08,0.1278
6.7343,51,5.7769e+08,5.7769e+08,4.2930e-08,0.1249
6.8614,52,5.7769e+08,5.7769e+08,4.2930e-08,0.1264
6.9926,53,5.7769e+08,5.7769e+08,4.2930e-08,0.1302
7.1196,54,5.7769e+08,5.7769e+08,4.2930e-08,0.1264
7.2472,55,5.7769e+08,5.7769e+08,4.2930e-08,0.1269
7.3764,56,5.7769e+08,5.7769e+08,4.2930e-08,0.1285
7.5027,57,5.7769e+08,5.7769e+08,4.2930e-08,0.1257
7.6284,58,5.7769e+08,5.7769e+08,4.2930e-08,0.1250
7.7562,59,5.7769e+08,5.7769e+08,4.2930e-08,0.1273
7.8857,60,5.7769e+08,5.7769e+08,4.2930e-08,0.1289
8.0122,61,5.7769e+08,5.7769e+08,4.2930e-08,0.1259
8.1405,62,5.7769e+08,5.7769e+08,4.2930e-08,0.1277
8.2697,63,5.7769e+08,5.7769e+08,4.2930e-08,0.1286
8.3964,64,5.7769e+08,5.7769e+08,4.2930e-08,0.1260
8.5248,65,5.7769e+08,5.7769e+08,4.2930e-08,0.1278
8.6528,66,5.7769e+08,5.7769e+08,4.2930e-08,0.1273
8.7805,67,5.7769e+08,5.7769e+08,4.2930e-08,0.1271
8.9081,68,5.7769e+08,5.7769e+08,4.2930e-08,0.1270
9.0395,69,5.7769e+08,5.7769e+08,4.2930e-08,0.1264
9.1663,70,5.7769e+08,5.7769e+08,4.2930e-08,0.1262
9.2934,71,5.7769e+08,5.7769e+08,4.2930e-08,0.1264
9.4226,72,5.7769e+08,5.7769e+08,4.2930e-08,0.1282
9.5502,73,5.7769e+08,5.7769e+08,4.2930e-08,0.1270
9.6770,74,5.7769e+08,5.7769e+08,4.2930e-08,0.1262
9.8061,75,5.7769e+08,5.7769e+08,4.2930e-08,0.1284
9.9375,76,5.7769e+08,5.7769e+08,4.2930e-08,0.1309
10.0667,77,5.7769e+08,5.7769e+08,4.2930e-08,0.1285
10.1961,78,5.7769e+08,5.7769e+08,4.2930e-08,0.1288
10.3213,79,5.7769e+08,5.7769e+08,4.2930e-08,0.1245
10.4481,80,5.7769e+08,5.7769e+08,4.2930e-08,0.1262
10.5775,81,5.7769e+08,5.7769e+08,4.2930e-08,0.1286
10.7049,82,5.7769e+08,5.7769e+08,4.2930e-08,0.1268
10.8322,83,5.7769e+08,5.7769e+08,4.2930e-08,0.1267
10.9634,84,5.7769e+08,5.7769e+08,4.2930e-08,0.1306
11.0906,85,5.7769e+08,5.7769e+08,4.2930e-08,0.1265
