run_time,iteration,loss,style_loss,content_loss,time
0.1200,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1200
0.3306,1,5.3960e+08,5.3954e+08,5.8327e+04,0.1201
0.4641,2,4.9526e+08,4.9509e+08,1.7227e+05,0.1260
0.5946,3,4.5000e+08,4.4971e+08,2.9353e+05,0.1235
0.7278,4,4.0767e+08,4.0726e+08,4.0804e+05,0.1261
0.8592,5,3.6885e+08,3.6834e+08,5.1571e+05,0.1244
0.9929,6,3.3357e+08,3.3295e+08,6.1629e+05,0.1258
1.1284,7,3.0228e+08,3.0157e+08,7.0966e+05,0.1285
1.2604,8,2.7522e+08,2.7443e+08,7.9573e+05,0.1250
1.3941,9,2.5248e+08,2.5160e+08,8.7473e+05,0.1264
1.5249,10,2.3390e+08,2.3295e+08,9.4500e+05,0.1239
1.6584,11,2.1916e+08,2.1815e+08,1.0058e+06,0.1264
1.7891,12,2.0765e+08,2.0660e+08,1.0566e+06,0.1236
1.9218,13,1.9852e+08,1.9742e+08,1.0969e+06,0.1258
2.0535,14,1.9086e+08,1.8973e+08,1.1273e+06,0.1248
2.1886,15,1.8389e+08,1.8274e+08,1.1485e+06,0.1282
2.3240,16,1.7711e+08,1.7595e+08,1.1615e+06,0.1275
2.4550,17,1.7032e+08,1.6916e+08,1.1684e+06,0.1235
2.5897,18,1.6353e+08,1.6236e+08,1.1715e+06,0.1276
2.7206,19,1.5691e+08,1.5574e+08,1.1721e+06,0.1240
2.8545,20,1.5065e+08,1.4947e+08,1.1715e+06,0.1268
2.9856,21,1.4491e+08,1.4373e+08,1.1711e+06,0.1242
3.1190,22,1.3976e+08,1.3859e+08,1.1719e+06,0.1263
3.2507,23,1.3520e+08,1.3403e+08,1.1748e+06,0.1248
3.3856,24,1.3118e+08,1.3000e+08,1.1799e+06,0.1245
3.5196,25,1.2757e+08,1.2639e+08,1.1871e+06,0.1267
3.6504,26,1.2429e+08,1.2310e+08,1.1963e+06,0.1239
3.7839,27,1.2126e+08,1.2005e+08,1.2079e+06,0.1264
3.9149,28,1.1839e+08,1.1717e+08,1.2215e+06,0.1240
4.0495,29,1.1567e+08,1.1443e+08,1.2369e+06,0.1274
4.1800,30,1.1306e+08,1.1180e+08,1.2540e+06,0.1234
4.3143,31,1.1055e+08,1.0927e+08,1.2726e+06,0.1273
4.4457,32,1.0814e+08,1.0685e+08,1.2925e+06,0.1245
4.5796,33,1.0584e+08,1.0453e+08,1.3131e+06,0.1268
4.7112,34,1.0366e+08,1.0233e+08,1.3344e+06,0.1248
4.8440,35,1.0161e+08,1.0025e+08,1.3562e+06,0.1258
4.9845,36,9.9673e+07,9.8294e+07,1.3780e+06,0.1335
5.1170,37,9.7852e+07,9.6452e+07,1.3996e+06,0.1253
5.2496,38,9.6146e+07,9.4725e+07,1.4207e+06,0.1258
5.3829,39,9.4529e+07,9.3088e+07,1.4415e+06,0.1265
5.5150,40,9.2983e+07,9.1522e+07,1.4615e+06,0.1251
5.6492,41,9.1487e+07,9.0006e+07,1.4806e+06,0.1275
5.7790,42,9.0018e+07,8.8519e+07,1.4988e+06,0.1229
5.9133,43,8.8551e+07,8.7035e+07,1.5161e+06,0.1272
6.0443,44,8.7073e+07,8.5541e+07,1.5323e+06,0.1241
6.1792,45,8.5570e+07,8.4023e+07,1.5473e+06,0.1278
6.3102,46,8.4041e+07,8.2480e+07,1.5609e+06,0.1241
6.4444,47,8.2484e+07,8.0910e+07,1.5735e+06,0.1271
6.5766,48,8.0906e+07,7.9321e+07,1.5847e+06,0.1251
6.7097,49,7.9312e+07,7.7718e+07,1.5946e+06,0.1263
6.8440,50,7.7712e+07,7.6108e+07,1.6034e+06,0.1272
6.9764,51,7.6116e+07,7.4505e+07,1.6110e+06,0.1253
7.1115,52,7.4540e+07,7.2922e+07,1.6176e+06,0.1279
7.2419,53,7.2992e+07,7.1368e+07,1.6234e+06,0.1234
7.3753,54,7.1476e+07,6.9847e+07,1.6286e+06,0.1263
7.5060,55,7.0001e+07,6.8368e+07,1.6331e+06,0.1238
7.6395,56,6.8574e+07,6.6937e+07,1.6371e+06,0.1264
7.7714,57,6.7193e+07,6.5553e+07,1.6406e+06,0.1251
7.9056,58,6.5863e+07,6.4219e+07,1.6436e+06,0.1273
8.0410,59,6.4580e+07,6.2934e+07,1.6458e+06,0.1277
8.1723,60,6.3341e+07,6.1693e+07,1.6477e+06,0.1243
8.3066,61,6.2143e+07,6.0494e+07,1.6494e+06,0.1273
8.4378,62,6.0987e+07,5.9335e+07,1.6512e+06,0.1245
8.5709,63,5.9869e+07,5.8216e+07,1.6530e+06,0.1256
8.7014,64,5.8788e+07,5.7133e+07,1.6548e+06,0.1236
8.8352,65,5.7743e+07,5.6087e+07,1.6567e+06,0.1270
8.9696,66,5.6734e+07,5.5075e+07,1.6587e+06,0.1275
9.1026,67,5.5756e+07,5.4095e+07,1.6608e+06,0.1256
9.2375,68,5.4806e+07,5.3143e+07,1.6629e+06,0.1279
9.3683,69,5.3889e+07,5.2224e+07,1.6651e+06,0.1237
9.5029,70,5.3003e+07,5.1335e+07,1.6675e+06,0.1273
9.6339,71,5.2146e+07,5.0476e+07,1.6700e+06,0.1240
9.7678,72,5.1318e+07,4.9646e+07,1.6726e+06,0.1269
9.8998,73,5.0521e+07,4.8846e+07,1.6752e+06,0.1251
10.0337,74,4.9751e+07,4.8073e+07,1.6778e+06,0.1266
10.1706,75,4.9007e+07,4.7327e+07,1.6804e+06,0.1298
10.3016,76,4.8288e+07,4.6606e+07,1.6828e+06,0.1239
10.4391,77,4.7594e+07,4.5909e+07,1.6852e+06,0.1303
10.5741,78,4.6923e+07,4.5235e+07,1.6876e+06,0.1279
10.7047,79,4.6273e+07,4.4583e+07,1.6898e+06,0.1237
10.8395,80,4.5642e+07,4.3951e+07,1.6918e+06,0.1279
10.9710,81,4.5030e+07,4.3336e+07,1.6936e+06,0.1245
11.1053,82,4.4433e+07,4.2738e+07,1.6952e+06,0.1273
11.2377,83,4.3853e+07,4.2156e+07,1.6967e+06,0.1256
11.3699,84,4.3287e+07,4.1589e+07,1.6981e+06,0.1255
11.5056,85,4.2734e+07,4.1035e+07,1.6993e+06,0.1285
11.6369,86,4.2191e+07,4.0491e+07,1.7004e+06,0.1244
11.7709,87,4.1659e+07,3.9958e+07,1.7013e+06,0.1266
11.9021,88,4.1136e+07,3.9434e+07,1.7021e+06,0.1244
12.0365,89,4.0622e+07,3.8920e+07,1.7028e+06,0.1270
