run_time,iteration,loss,style_loss,content_loss,time
0.1205,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1205
0.3271,1,5.3960e+08,5.3954e+08,5.8321e+04,0.1194
0.4613,2,4.9539e+08,4.9522e+08,1.7195e+05,0.1273
0.5921,3,4.5027e+08,4.4998e+08,2.9272e+05,0.1240
0.7265,4,4.0813e+08,4.0772e+08,4.0665e+05,0.1277
0.8577,5,3.6951e+08,3.6900e+08,5.1363e+05,0.1244
0.9905,6,3.3442e+08,3.3381e+08,6.1365e+05,0.1262
1.1280,7,3.0327e+08,3.0256e+08,7.0660e+05,0.1310
1.2617,8,2.7630e+08,2.7551e+08,7.9238e+05,0.1270
1.3942,9,2.5356e+08,2.5269e+08,8.7125e+05,0.1260
1.5253,10,2.3496e+08,2.3402e+08,9.4195e+05,0.1245
1.6585,11,2.2019e+08,2.1919e+08,1.0035e+06,0.1263
1.7900,12,2.0871e+08,2.0765e+08,1.0556e+06,0.1249
1.9230,13,1.9971e+08,1.9861e+08,1.0974e+06,0.1260
2.0570,14,1.9232e+08,1.9119e+08,1.1297e+06,0.1269
2.1888,15,1.8574e+08,1.8459e+08,1.1528e+06,0.1252
2.3233,16,1.7944e+08,1.7828e+08,1.1674e+06,0.1278
2.4546,17,1.7315e+08,1.7197e+08,1.1757e+06,0.1246
2.5900,18,1.6681e+08,1.6563e+08,1.1799e+06,0.1255
2.7212,19,1.6054e+08,1.5936e+08,1.1812e+06,0.1245
2.8549,20,1.5453e+08,1.5335e+08,1.1807e+06,0.1270
2.9873,21,1.4894e+08,1.4776e+08,1.1800e+06,0.1252
3.1265,22,1.4389e+08,1.4271e+08,1.1796e+06,0.1326
3.2606,23,1.3940e+08,1.3822e+08,1.1805e+06,0.1275
3.3931,24,1.3545e+08,1.3426e+08,1.1834e+06,0.1259
3.5246,25,1.3197e+08,1.3078e+08,1.1882e+06,0.1249
3.6593,26,1.2887e+08,1.2767e+08,1.1950e+06,0.1279
3.7892,27,1.2606e+08,1.2485e+08,1.2038e+06,0.1233
3.9240,28,1.2348e+08,1.2226e+08,1.2147e+06,0.1280
4.0550,29,1.2107e+08,1.1984e+08,1.2274e+06,0.1244
4.1885,30,1.1879e+08,1.1755e+08,1.2416e+06,0.1269
4.3192,31,1.1661e+08,1.1536e+08,1.2572e+06,0.1241
4.4523,32,1.1454e+08,1.1327e+08,1.2742e+06,0.1262
4.5855,33,1.1255e+08,1.1126e+08,1.2921e+06,0.1265
4.7179,34,1.1064e+08,1.0933e+08,1.3108e+06,0.1257
4.8525,35,1.0882e+08,1.0749e+08,1.3303e+06,0.1279
4.9830,36,1.0710e+08,1.0575e+08,1.3502e+06,0.1239
5.1167,37,1.0548e+08,1.0411e+08,1.3705e+06,0.1269
5.2477,38,1.0395e+08,1.0256e+08,1.3909e+06,0.1243
5.3828,39,1.0252e+08,1.0111e+08,1.4113e+06,0.1284
5.5139,40,1.0116e+08,9.9731e+07,1.4313e+06,0.1245
5.6478,41,9.9880e+07,9.8429e+07,1.4510e+06,0.1266
5.7800,42,9.8647e+07,9.7177e+07,1.4702e+06,0.1255
5.9130,43,9.7444e+07,9.5955e+07,1.4886e+06,0.1263
6.0464,44,9.6257e+07,9.4751e+07,1.5062e+06,0.1267
6.1778,45,9.5070e+07,9.3547e+07,1.5232e+06,0.1247
6.3128,46,9.3872e+07,9.2332e+07,1.5394e+06,0.1284
6.4439,47,9.2651e+07,9.1096e+07,1.5547e+06,0.1244
6.5785,48,9.1399e+07,8.9830e+07,1.5690e+06,0.1280
6.7099,49,9.0117e+07,8.8535e+07,1.5823e+06,0.1245
6.8441,50,8.8807e+07,8.7212e+07,1.5947e+06,0.1274
6.9767,51,8.7477e+07,8.5870e+07,1.6063e+06,0.1259
7.1100,52,8.6127e+07,8.4510e+07,1.6167e+06,0.1267
7.2446,53,8.4757e+07,8.3131e+07,1.6263e+06,0.1279
7.3751,54,8.3380e+07,8.1745e+07,1.6350e+06,0.1239
7.5096,55,8.2000e+07,8.0357e+07,1.6428e+06,0.1274
7.6403,56,8.0627e+07,7.8977e+07,1.6499e+06,0.1241
7.7743,57,7.9271e+07,7.7614e+07,1.6562e+06,0.1273
7.9057,58,7.7940e+07,7.6278e+07,1.6618e+06,0.1249
8.0392,59,7.6641e+07,7.4974e+07,1.6669e+06,0.1269
8.1727,60,7.5376e+07,7.3705e+07,1.6712e+06,0.1269
8.3042,61,7.4153e+07,7.2478e+07,1.6750e+06,0.1250
8.4391,62,7.2967e+07,7.1289e+07,1.6782e+06,0.1282
8.5693,63,7.1824e+07,7.0143e+07,1.6810e+06,0.1236
8.7042,64,7.0721e+07,6.9037e+07,1.6833e+06,0.1280
8.8344,65,6.9657e+07,6.7972e+07,1.6855e+06,0.1236
8.9687,66,6.8634e+07,6.6947e+07,1.6875e+06,0.1274
9.1002,67,6.7646e+07,6.5957e+07,1.6894e+06,0.1250
9.2339,68,6.6691e+07,6.5000e+07,1.6912e+06,0.1271
9.3680,69,6.5768e+07,6.4075e+07,1.6929e+06,0.1275
9.4997,70,6.4878e+07,6.3183e+07,1.6944e+06,0.1251
9.6379,71,6.4021e+07,6.2325e+07,1.6962e+06,0.1315
9.7704,72,6.3190e+07,6.1492e+07,1.6981e+06,0.1256
9.9035,73,6.2382e+07,6.0682e+07,1.6999e+06,0.1264
10.0380,74,6.1596e+07,5.9894e+07,1.7018e+06,0.1277
10.1684,75,6.0831e+07,5.9127e+07,1.7037e+06,0.1237
10.3033,76,6.0088e+07,5.8383e+07,1.7056e+06,0.1280
10.4343,77,5.9366e+07,5.7659e+07,1.7074e+06,0.1244
10.5712,78,5.8665e+07,5.6956e+07,1.7094e+06,0.1301
10.7165,79,5.7982e+07,5.6271e+07,1.7114e+06,0.1208
10.8514,80,5.7316e+07,5.5603e+07,1.7135e+06,0.1280
10.9824,81,5.6669e+07,5.4954e+07,1.7155e+06,0.1244
11.1163,82,5.6043e+07,5.4325e+07,1.7175e+06,0.1271
11.2477,83,5.5433e+07,5.3714e+07,1.7194e+06,0.1248
11.3820,84,5.4841e+07,5.3120e+07,1.7212e+06,0.1275
11.5165,85,5.4268e+07,5.2545e+07,1.7230e+06,0.1276
11.6490,86,5.3715e+07,5.1990e+07,1.7248e+06,0.1257
11.7836,87,5.3180e+07,5.1453e+07,1.7265e+06,0.1278
