run_time,iteration,loss,style_loss,content_loss,time
0.1187,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1187
0.2570,1,8.2634e+08,8.2527e+08,1.0665e+06,0.1109
0.3731,2,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
0.4879,3,8.2634e+08,8.2527e+08,1.0665e+06,0.1142
0.6021,4,8.2634e+08,8.2527e+08,1.0665e+06,0.1134
0.7185,5,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
0.8344,6,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
0.9503,7,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
1.0665,8,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
1.1827,9,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
1.2994,10,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
1.4157,11,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
1.5360,12,8.2634e+08,8.2527e+08,1.0665e+06,0.1195
1.6526,13,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
1.7685,14,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
1.8841,15,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
1.9995,16,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
2.1161,17,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
2.2318,18,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
2.3480,19,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
2.4673,20,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
2.5845,21,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
2.7011,22,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
2.8164,23,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
2.9310,24,8.2634e+08,8.2527e+08,1.0665e+06,0.1139
3.0472,25,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
3.1641,26,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
3.2811,27,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
3.3987,28,8.2634e+08,8.2527e+08,1.0665e+06,0.1168
3.5175,29,8.2634e+08,8.2527e+08,1.0665e+06,0.1181
3.6343,30,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
3.7517,31,8.2634e+08,8.2527e+08,1.0665e+06,0.1166
3.8661,32,8.2634e+08,8.2527e+08,1.0665e+06,0.1137
3.9814,33,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
4.0976,34,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
4.2168,35,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
4.3327,36,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
4.4490,37,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
4.5695,38,8.2634e+08,8.2527e+08,1.0665e+06,0.1198
4.6860,39,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
4.8015,40,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
4.9165,41,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
5.0330,42,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
5.1485,43,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
5.2629,44,8.2634e+08,8.2527e+08,1.0665e+06,0.1137
5.3789,45,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
5.4947,46,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
5.6111,47,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
5.7272,48,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
5.8437,49,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
5.9592,50,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
6.0741,51,8.2634e+08,8.2527e+08,1.0665e+06,0.1142
6.1917,52,8.2634e+08,8.2527e+08,1.0665e+06,0.1168
6.3084,53,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
6.4251,54,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
6.5457,55,8.2634e+08,8.2527e+08,1.0665e+06,0.1130
6.6606,56,8.2634e+08,8.2527e+08,1.0665e+06,0.1141
6.7794,57,8.2634e+08,8.2527e+08,1.0665e+06,0.1181
6.8981,58,8.2634e+08,8.2527e+08,1.0665e+06,0.1178
7.0157,59,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
7.1313,60,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
7.2460,61,8.2634e+08,8.2527e+08,1.0665e+06,0.1141
7.3642,62,8.2634e+08,8.2527e+08,1.0665e+06,0.1175
7.4804,63,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
7.5958,64,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
7.7110,65,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
7.8277,66,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
7.9437,67,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
8.0594,68,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
8.1756,69,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
8.2908,70,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
8.4058,71,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
8.5229,72,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
8.6399,73,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
8.7570,74,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
8.8741,75,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
8.9911,76,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
9.1102,77,8.2634e+08,8.2527e+08,1.0665e+06,0.1184
9.2274,78,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
9.3441,79,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
9.4588,80,8.2634e+08,8.2527e+08,1.0665e+06,0.1140
9.5756,81,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
9.6923,82,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
9.8081,83,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
9.9226,84,8.2634e+08,8.2527e+08,1.0665e+06,0.1138
10.0389,85,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
10.1545,86,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
10.2684,87,8.2634e+08,8.2527e+08,1.0665e+06,0.1133
10.3861,88,8.2634e+08,8.2527e+08,1.0665e+06,0.1170
10.5027,89,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
10.6179,90,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
10.7325,91,8.2634e+08,8.2527e+08,1.0665e+06,0.1140
10.8501,92,8.2634e+08,8.2527e+08,1.0665e+06,0.1168
10.9685,93,8.2634e+08,8.2527e+08,1.0665e+06,0.1174
11.0872,94,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
11.2025,95,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
11.3191,96,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
11.4400,97,8.2634e+08,8.2527e+08,1.0665e+06,0.1202
11.5617,98,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
11.6802,99,8.2634e+08,8.2527e+08,1.0665e+06,0.1178
11.7969,100,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
11.9388,101,8.2634e+08,8.2527e+08,1.0665e+06,0.1127
12.0528,102,8.2634e+08,8.2527e+08,1.0665e+06,0.1133
12.1700,103,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
12.2862,104,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
12.4023,105,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
12.5171,106,8.2634e+08,8.2527e+08,1.0665e+06,0.1141
12.6323,107,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
12.7506,108,8.2634e+08,8.2527e+08,1.0665e+06,0.1177
12.8677,109,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
12.9828,110,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
13.0980,111,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
13.2129,112,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
13.3277,113,8.2634e+08,8.2527e+08,1.0665e+06,0.1141
13.4463,114,8.2634e+08,8.2527e+08,1.0665e+06,0.1177
13.5640,115,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
13.6863,116,8.2634e+08,8.2527e+08,1.0665e+06,0.1215
13.8044,117,8.2634e+08,8.2527e+08,1.0665e+06,0.1170
13.9211,118,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
14.0362,119,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
14.1524,120,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
14.2684,121,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
14.3830,122,8.2634e+08,8.2527e+08,1.0665e+06,0.1140
14.4998,123,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
14.6200,124,8.2634e+08,8.2527e+08,1.0665e+06,0.1195
14.7370,125,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
14.8529,126,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
14.9682,127,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
15.0856,128,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
15.2026,129,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
15.3190,130,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
15.4338,131,8.2634e+08,8.2527e+08,1.0665e+06,0.1141
15.5501,132,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
15.6657,133,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
15.7809,134,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
15.8982,135,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
16.0146,136,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
16.1302,137,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
16.2453,138,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
16.3616,139,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
16.4789,140,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
16.5944,141,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
16.7093,142,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
16.8250,143,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
16.9427,144,8.2634e+08,8.2527e+08,1.0665e+06,0.1168
17.0601,145,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
17.1757,146,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
17.2920,147,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
17.4076,148,8.2634e+08,8.2527e+08,1.0665e+06,0.1150
17.5246,149,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
17.6399,150,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
17.7577,151,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
17.8753,152,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
17.9912,153,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
18.1062,154,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
18.2230,155,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
18.3401,156,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
18.4568,157,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
18.5721,158,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
18.6885,159,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
18.8059,160,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
18.9214,161,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
19.0367,162,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
19.1528,163,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
19.2674,164,8.2634e+08,8.2527e+08,1.0665e+06,0.1140
19.3828,165,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
19.5001,166,8.2634e+08,8.2527e+08,1.0665e+06,0.1166
19.6161,167,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
19.7307,168,8.2634e+08,8.2527e+08,1.0665e+06,0.1139
19.8487,169,8.2634e+08,8.2527e+08,1.0665e+06,0.1172
19.9677,170,8.2634e+08,8.2527e+08,1.0665e+06,0.1183
20.0863,171,8.2634e+08,8.2527e+08,1.0665e+06,0.1177
20.2042,172,8.2634e+08,8.2527e+08,1.0665e+06,0.1170
20.3184,173,8.2634e+08,8.2527e+08,1.0665e+06,0.1135
20.4343,174,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
20.5508,175,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
20.6739,176,8.2634e+08,8.2527e+08,1.0665e+06,0.1222
20.7884,177,8.2634e+08,8.2527e+08,1.0665e+06,0.1136
20.9046,178,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
21.0211,179,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
21.1388,180,8.2634e+08,8.2527e+08,1.0665e+06,0.1169
21.2563,181,8.2634e+08,8.2527e+08,1.0665e+06,0.1168
21.3711,182,8.2634e+08,8.2527e+08,1.0665e+06,0.1141
21.4885,183,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
21.6063,184,8.2634e+08,8.2527e+08,1.0665e+06,0.1172
21.7241,185,8.2634e+08,8.2527e+08,1.0665e+06,0.1171
21.8401,186,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
21.9561,187,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
22.0721,188,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
22.1880,189,8.2634e+08,8.2527e+08,1.0665e+06,0.1153
22.3024,190,8.2634e+08,8.2527e+08,1.0665e+06,0.1137
22.4189,191,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
22.5351,192,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
22.6569,193,8.2634e+08,8.2527e+08,1.0665e+06,0.1210
22.7736,194,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
22.8880,195,8.2634e+08,8.2527e+08,1.0665e+06,0.1138
23.0049,196,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
23.1208,197,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
23.2357,198,8.2634e+08,8.2527e+08,1.0665e+06,0.1142
23.3520,199,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
23.4678,200,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
23.6007,201,8.2634e+08,8.2527e+08,1.0665e+06,0.1127
23.7188,202,8.2634e+08,8.2527e+08,1.0665e+06,0.1174
23.8362,203,8.2634e+08,8.2527e+08,1.0665e+06,0.1165
23.9526,204,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
24.0675,205,8.2634e+08,8.2527e+08,1.0665e+06,0.1142
24.1850,206,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
24.3037,207,8.2634e+08,8.2527e+08,1.0665e+06,0.1179
24.4234,208,8.2634e+08,8.2527e+08,1.0665e+06,0.1186
24.5429,209,8.2634e+08,8.2527e+08,1.0665e+06,0.1187
24.6580,210,8.2634e+08,8.2527e+08,1.0665e+06,0.1141
24.7751,211,8.2634e+08,8.2527e+08,1.0665e+06,0.1164
24.8922,212,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
25.0085,213,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
25.1233,214,8.2634e+08,8.2527e+08,1.0665e+06,0.1140
25.2389,215,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
25.3583,216,8.2634e+08,8.2527e+08,1.0665e+06,0.1187
25.4777,217,8.2634e+08,8.2527e+08,1.0665e+06,0.1183
25.5978,218,8.2634e+08,8.2527e+08,1.0665e+06,0.1193
25.7147,219,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
25.8328,220,8.2634e+08,8.2527e+08,1.0665e+06,0.1174
25.9488,221,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
26.0662,222,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
26.1814,223,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
26.2957,224,8.2634e+08,8.2527e+08,1.0665e+06,0.1136
26.4117,225,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
26.5274,226,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
26.6425,227,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
26.7604,228,8.2634e+08,8.2527e+08,1.0665e+06,0.1173
26.8759,229,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
26.9919,230,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
27.1070,231,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
27.2243,232,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
27.3412,233,8.2634e+08,8.2527e+08,1.0665e+06,0.1162
27.4570,234,8.2634e+08,8.2527e+08,1.0665e+06,0.1151
27.5723,235,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
27.6897,236,8.2634e+08,8.2527e+08,1.0665e+06,0.1167
27.8066,237,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
27.9234,238,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
28.0381,239,8.2634e+08,8.2527e+08,1.0665e+06,0.1139
28.1533,240,8.2634e+08,8.2527e+08,1.0665e+06,0.1145
28.2680,241,8.2634e+08,8.2527e+08,1.0665e+06,0.1140
28.3833,242,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
28.5001,243,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
28.6168,244,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
28.7322,245,8.2634e+08,8.2527e+08,1.0665e+06,0.1147
28.8479,246,8.2634e+08,8.2527e+08,1.0665e+06,0.1149
28.9648,247,8.2634e+08,8.2527e+08,1.0665e+06,0.1163
29.0814,248,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
29.1976,249,8.2634e+08,8.2527e+08,1.0665e+06,0.1155
29.3127,250,8.2634e+08,8.2527e+08,1.0665e+06,0.1144
29.4292,251,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
29.5442,252,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
29.6597,253,8.2634e+08,8.2527e+08,1.0665e+06,0.1148
29.7772,254,8.2634e+08,8.2527e+08,1.0665e+06,0.1168
29.8968,255,8.2634e+08,8.2527e+08,1.0665e+06,0.1189
30.0132,256,8.2634e+08,8.2527e+08,1.0665e+06,0.1157
30.1269,257,8.2634e+08,8.2527e+08,1.0665e+06,0.1130
30.2436,258,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
30.3604,259,8.2634e+08,8.2527e+08,1.0665e+06,0.1161
30.4768,260,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
30.5921,261,8.2634e+08,8.2527e+08,1.0665e+06,0.1146
30.7088,262,8.2634e+08,8.2527e+08,1.0665e+06,0.1159
30.8281,263,8.2634e+08,8.2527e+08,1.0665e+06,0.1183
30.9442,264,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
31.0592,265,8.2634e+08,8.2527e+08,1.0665e+06,0.1143
31.1757,266,8.2634e+08,8.2527e+08,1.0665e+06,0.1158
31.2916,267,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
31.4079,268,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
31.5240,269,8.2634e+08,8.2527e+08,1.0665e+06,0.1154
31.6403,270,8.2634e+08,8.2527e+08,1.0665e+06,0.1156
31.7570,271,8.2634e+08,8.2527e+08,1.0665e+06,0.1160
31.8728,272,8.2634e+08,8.2527e+08,1.0665e+06,0.1152
