run_time,iteration,loss,style_loss,content_loss,time
0.0684,0,5.7769e+11,5.7769e+11,0.0000e+00,0.0684
0.2207,1,4.4157e+11,4.4157e+11,3.5478e+05,0.0684
0.2960,2,2.8406e+11,2.8406e+11,7.9487e+05,0.0679
0.3704,3,2.0517e+11,2.0517e+11,1.1251e+06,0.0674
0.4451,4,1.8184e+11,1.8184e+11,1.2683e+06,0.0678
0.5197,5,1.5527e+11,1.5527e+11,1.2986e+06,0.0677
0.5942,6,1.3770e+11,1.3770e+11,1.3142e+06,0.0676
0.6697,7,1.2908e+11,1.2908e+11,1.3631e+06,0.0685
0.7453,8,1.2101e+11,1.2101e+11,1.4488e+06,0.0676
0.8247,9,1.1269e+11,1.1269e+11,1.5540e+06,0.0724
0.8992,10,1.0567e+11,1.0566e+11,1.6599e+06,0.0674
0.9736,11,9.9961e+10,9.9960e+10,1.7489e+06,0.0674
1.0481,12,9.4275e+10,9.4274e+10,1.8113e+06,0.0676
1.1227,13,8.7923e+10,8.7921e+10,1.8442e+06,0.0677
1.1989,14,8.1512e+10,8.1510e+10,1.8542e+06,0.0688
1.2749,15,7.5943e+10,7.5941e+10,1.8487e+06,0.0679
1.3495,16,7.1457e+10,7.1455e+10,1.8366e+06,0.0677
1.4239,17,6.7755e+10,6.7754e+10,1.8263e+06,0.0675
1.4990,18,6.4494e+10,6.4492e+10,1.8199e+06,0.0680
1.5743,19,6.1476e+10,6.1474e+10,1.8202e+06,0.0682
1.6492,20,5.8707e+10,5.8705e+10,1.8267e+06,0.0679
1.7256,21,5.6215e+10,5.6213e+10,1.8366e+06,0.0695
1.7999,22,5.4017e+10,5.4015e+10,1.8469e+06,0.0675
1.8742,23,5.2022e+10,5.2020e+10,1.8562e+06,0.0674
1.9486,24,5.0195e+10,5.0193e+10,1.8640e+06,0.0675
2.0232,25,4.8543e+10,4.8541e+10,1.8692e+06,0.0677
2.0982,26,4.7118e+10,4.7116e+10,1.8719e+06,0.0680
2.1730,27,4.5933e+10,4.5932e+10,1.8729e+06,0.0678
2.2476,28,4.4956e+10,4.4954e+10,1.8743e+06,0.0676
2.3221,29,4.4088e+10,4.4086e+10,1.8755e+06,0.0675
2.4001,30,4.3235e+10,4.3233e+10,1.8777e+06,0.0711
2.4748,31,4.2348e+10,4.2346e+10,1.8811e+06,0.0677
2.5493,32,4.1440e+10,4.1438e+10,1.8860e+06,0.0676
2.6241,33,4.0556e+10,4.0554e+10,1.8919e+06,0.0678
2.6986,34,3.9746e+10,3.9744e+10,1.8991e+06,0.0676
2.7732,35,3.9014e+10,3.9012e+10,1.9061e+06,0.0675
2.8521,36,3.8343e+10,3.8341e+10,1.9131e+06,0.0676
2.9269,37,3.7703e+10,3.7701e+10,1.9198e+06,0.0678
3.0012,38,3.7068e+10,3.7066e+10,1.9268e+06,0.0675
3.0757,39,3.6436e+10,3.6434e+10,1.9338e+06,0.0677
3.1502,40,3.5834e+10,3.5832e+10,1.9411e+06,0.0675
3.2248,41,3.5273e+10,3.5271e+10,1.9490e+06,0.0676
3.2994,42,3.4756e+10,3.4754e+10,1.9584e+06,0.0674
3.3741,43,3.4269e+10,3.4267e+10,1.9698e+06,0.0677
3.4487,44,3.3789e+10,3.3787e+10,1.9822e+06,0.0676
3.5234,45,3.3300e+10,3.3298e+10,1.9956e+06,0.0676
3.5979,46,3.2795e+10,3.2793e+10,2.0089e+06,0.0675
3.6725,47,3.2290e+10,3.2288e+10,2.0215e+06,0.0676
3.7496,48,3.1803e+10,3.1801e+10,2.0327e+06,0.0701
3.8243,49,3.1341e+10,3.1339e+10,2.0420e+06,0.0676
