run_time,iteration,loss,style_loss,content_loss,time
0.3913,0,5.7769e+08,5.7769e+08,0.0000e+00,0.3913
0.5564,1,4.4193e+08,4.4157e+08,3.5478e+05,0.0765
0.6388,2,2.8486e+08,2.8407e+08,7.9016e+05,0.0733
0.7206,3,2.0620e+08,2.0509e+08,1.1132e+06,0.0742
0.8017,4,1.8292e+08,1.8168e+08,1.2466e+06,0.0736
0.8874,5,1.5643e+08,1.5516e+08,1.2695e+06,0.0781
0.9723,6,1.3893e+08,1.3765e+08,1.2793e+06,0.0755
1.0545,7,1.3037e+08,1.2905e+08,1.3219e+06,0.0747
1.1374,8,1.2236e+08,1.2096e+08,1.3983e+06,0.0750
1.2205,9,1.1405e+08,1.1255e+08,1.4918e+06,0.0755
1.3028,10,1.0705e+08,1.0546e+08,1.5859e+06,0.0745
1.3846,11,1.0134e+08,9.9679e+07,1.6634e+06,0.0741
1.4671,12,9.5699e+07,9.3984e+07,1.7148e+06,0.0750
1.5495,13,8.9393e+07,8.7655e+07,1.7381e+06,0.0751
1.6313,14,8.2994e+07,8.1254e+07,1.7397e+06,0.0744
1.7126,15,7.7438e+07,7.5710e+07,1.7283e+06,0.0740
1.7950,16,7.2976e+07,7.1265e+07,1.7113e+06,0.0747
1.8781,17,6.9308e+07,6.7613e+07,1.6948e+06,0.0758
1.9638,18,6.6055e+07,6.4373e+07,1.6825e+06,0.0776
2.0457,19,6.3036e+07,6.1358e+07,1.6773e+06,0.0743
2.1284,20,6.0258e+07,5.8580e+07,1.6782e+06,0.0745
2.2116,21,5.7782e+07,5.6100e+07,1.6814e+06,0.0750
2.2933,22,5.5578e+07,5.3892e+07,1.6859e+06,0.0739
2.3873,23,5.3587e+07,5.1897e+07,1.6903e+06,0.0867
2.4701,24,5.1754e+07,5.0061e+07,1.6933e+06,0.0752
2.5583,25,5.0103e+07,4.8410e+07,1.6936e+06,0.0799
2.6637,26,4.8670e+07,4.6978e+07,1.6917e+06,0.0754
2.7465,27,4.7481e+07,4.5793e+07,1.6882e+06,0.0747
2.8282,28,4.6492e+07,4.4807e+07,1.6843e+06,0.0742
2.9136,29,4.5618e+07,4.3938e+07,1.6807e+06,0.0778
2.9971,30,4.4758e+07,4.3080e+07,1.6780e+06,0.0756
3.0809,31,4.3865e+07,4.2189e+07,1.6761e+06,0.0752
3.1643,32,4.2958e+07,4.1283e+07,1.6756e+06,0.0751
3.2461,33,4.2078e+07,4.0402e+07,1.6763e+06,0.0740
3.3287,34,4.1269e+07,3.9592e+07,1.6773e+06,0.0745
3.4104,35,4.0542e+07,3.8863e+07,1.6792e+06,0.0740
3.4926,36,3.9882e+07,3.8201e+07,1.6811e+06,0.0737
3.5739,37,3.9248e+07,3.7566e+07,1.6828e+06,0.0735
3.6563,38,3.8622e+07,3.6937e+07,1.6842e+06,0.0747
3.7377,39,3.8001e+07,3.6316e+07,1.6857e+06,0.0738
3.8197,40,3.7403e+07,3.5716e+07,1.6879e+06,0.0741
3.9021,41,3.6847e+07,3.5156e+07,1.6910e+06,0.0743
3.9856,42,3.6333e+07,3.4639e+07,1.6948e+06,0.0753
