run_time,iteration,loss,style_loss,content_loss,time
0.1347,0,5.7769e+08,5.7769e+08,0.0000e+00,0.1347
0.3419,1,4.4159e+08,4.4157e+08,1.3458e+04,0.1247
0.4804,2,2.8409e+08,2.8406e+08,3.0486e+04,0.1310
0.6195,3,2.0520e+08,2.0516e+08,3.9008e+04,0.1317
0.7554,4,1.8187e+08,1.8183e+08,4.1544e+04,0.1288
0.8913,5,1.5530e+08,1.5526e+08,4.2047e+04,0.1289
1.0303,6,1.3774e+08,1.3770e+08,4.2797e+04,0.1320
1.1728,7,1.2913e+08,1.2909e+08,4.4454e+04,0.1348
1.3128,8,1.2107e+08,1.2102e+08,4.6805e+04,0.1324
1.4513,9,1.1275e+08,1.1270e+08,4.9420e+04,0.1315
1.5948,10,1.0574e+08,1.0568e+08,5.2098e+04,0.1364
1.7331,11,1.0005e+08,1.0000e+08,5.4626e+04,0.1309
1.8679,12,9.4377e+07,9.4320e+07,5.6655e+04,0.1278
2.0048,13,8.8022e+07,8.7964e+07,5.8094e+04,0.1294
2.1453,14,8.1600e+07,8.1542e+07,5.8881e+04,0.1334
2.2820,15,7.6018e+07,7.5959e+07,5.9115e+04,0.1295
2.4169,16,7.1528e+07,7.1468e+07,5.9086e+04,0.1280
2.5529,17,6.7818e+07,6.7759e+07,5.9039e+04,0.1292
2.6920,18,6.4547e+07,6.4488e+07,5.9100e+04,0.1320
2.8320,19,6.1509e+07,6.1450e+07,5.9312e+04,0.1321
2.9704,20,5.8723e+07,5.8664e+07,5.9631e+04,0.1309
3.1050,21,5.6228e+07,5.6168e+07,5.9994e+04,0.1275
3.2424,22,5.4019e+07,5.3959e+07,6.0298e+04,0.1303
3.3807,23,5.2030e+07,5.1970e+07,6.0541e+04,0.1312
3.5169,24,5.0207e+07,5.0146e+07,6.0654e+04,0.1292
3.6515,25,4.8567e+07,4.8507e+07,6.0699e+04,0.1278
3.7893,26,4.7150e+07,4.7089e+07,6.0726e+04,0.1305
3.9292,27,4.5963e+07,4.5902e+07,6.0786e+04,0.1328
4.0663,28,4.4979e+07,4.4918e+07,6.0955e+04,0.1301
4.2012,29,4.4107e+07,4.4046e+07,6.1189e+04,0.1278
4.3384,30,4.3245e+07,4.3183e+07,6.1489e+04,0.1299
4.4774,31,4.2349e+07,4.2287e+07,6.1851e+04,0.1319
4.6149,32,4.1439e+07,4.1376e+07,6.2299e+04,0.1304
4.7498,33,4.0556e+07,4.0494e+07,6.2782e+04,0.1279
4.8923,34,3.9745e+07,3.9682e+07,6.3263e+04,0.1353
5.0665,35,3.9015e+07,3.8952e+07,6.3748e+04,0.1290
5.2056,36,3.8350e+07,3.8285e+07,6.4199e+04,0.1316
5.3418,37,3.7711e+07,3.7647e+07,6.4647e+04,0.1291
5.4766,38,3.7078e+07,3.7013e+07,6.5047e+04,0.1279
5.6144,39,3.6451e+07,3.6386e+07,6.5387e+04,0.1305
5.7536,40,3.5854e+07,3.5788e+07,6.5729e+04,0.1322
5.8916,41,3.5299e+07,3.5232e+07,6.6056e+04,0.1309
6.0268,42,3.4788e+07,3.4722e+07,6.6397e+04,0.1281
6.1642,43,3.4308e+07,3.4241e+07,6.6756e+04,0.1305
6.3026,44,3.3832e+07,3.3765e+07,6.7150e+04,0.1312
6.4413,45,3.3345e+07,3.3277e+07,6.7503e+04,0.1311
6.5757,46,3.2839e+07,3.2771e+07,6.7831e+04,0.1275
6.7114,47,3.2329e+07,3.2261e+07,6.8140e+04,0.1288
6.8508,48,3.1834e+07,3.1766e+07,6.8403e+04,0.1323
6.9927,49,3.1367e+07,3.1299e+07,6.8603e+04,0.1346
7.1313,50,3.0925e+07,3.0856e+07,6.8730e+04,0.1292
7.2675,51,3.0496e+07,3.0427e+07,6.8769e+04,0.1291
7.4025,52,3.0070e+07,3.0001e+07,6.8717e+04,0.1279
7.5399,53,2.9646e+07,2.9577e+07,6.8628e+04,0.1303
7.6785,54,2.9223e+07,2.9154e+07,6.8510e+04,0.1312
7.8150,55,2.8810e+07,2.8742e+07,6.8378e+04,0.1294
7.9494,56,2.8413e+07,2.8344e+07,6.8263e+04,0.1274
8.0884,57,2.8024e+07,2.7956e+07,6.8168e+04,0.1316
8.2275,58,2.7640e+07,2.7572e+07,6.8125e+04,0.1317
8.3635,59,2.7259e+07,2.7191e+07,6.8146e+04,0.1289
8.4979,60,2.6871e+07,2.6803e+07,6.8218e+04,0.1274
8.6353,61,2.6475e+07,2.6407e+07,6.8347e+04,0.1301
8.7745,62,2.6083e+07,2.6015e+07,6.8510e+04,0.1316
8.9104,63,2.5711e+07,2.5642e+07,6.8691e+04,0.1288
9.0468,64,2.5363e+07,2.5294e+07,6.8853e+04,0.1293
9.2055,65,2.5037e+07,2.4968e+07,6.8986e+04,0.1288
9.3444,66,2.4726e+07,2.4657e+07,6.9078e+04,0.1313
9.4831,67,2.4422e+07,2.4353e+07,6.9128e+04,0.1314
9.6175,68,2.4117e+07,2.4048e+07,6.9126e+04,0.1274
9.7537,69,2.3809e+07,2.3740e+07,6.9091e+04,0.1294
9.8924,70,2.3504e+07,2.3435e+07,6.9025e+04,0.1305
10.0370,71,2.3209e+07,2.3140e+07,6.8954e+04,0.1375
10.1756,72,2.2932e+07,2.2863e+07,6.8899e+04,0.1310
10.3131,73,2.2670e+07,2.2601e+07,6.8885e+04,0.1304
10.4482,74,2.2418e+07,2.2349e+07,6.8925e+04,0.1280
