run_time,iteration,loss,style_loss,content_loss,time
0.1256,0,7.2208e+08,7.2208e+08,0.0000e+00,0.1256
0.3461,1,5.5205e+08,5.5193e+08,1.1084e+05,0.1288
0.4852,2,3.5530e+08,3.5505e+08,2.4722e+05,0.1317
0.6224,3,2.5674e+08,2.5640e+08,3.4486e+05,0.1293
0.7602,4,2.2759e+08,2.2721e+08,3.8576e+05,0.1302
0.9001,5,1.9443e+08,1.9404e+08,3.9477e+05,0.1319
1.0400,6,1.7251e+08,1.7211e+08,4.0057e+05,0.1317
1.1819,7,1.6178e+08,1.6137e+08,4.1611e+05,0.1337
1.3215,8,1.5172e+08,1.5128e+08,4.4202e+05,0.1317
1.4609,9,1.4130e+08,1.4083e+08,4.7324e+05,0.1315
1.6015,10,1.3251e+08,1.3201e+08,5.0426e+05,0.1325
1.7416,11,1.2538e+08,1.2485e+08,5.3008e+05,0.1322
1.8784,12,1.1828e+08,1.1773e+08,5.4822e+05,0.1290
2.0163,13,1.1037e+08,1.0981e+08,5.5776e+05,0.1301
2.1548,14,1.0237e+08,1.0181e+08,5.6040e+05,0.1303
2.2948,15,9.5411e+07,9.4853e+07,5.5861e+05,0.1316
2.4356,16,8.9795e+07,8.9240e+07,5.5492e+05,0.1329
2.5752,17,8.5171e+07,8.4620e+07,5.5152e+05,0.1314
2.7129,18,8.1101e+07,8.0552e+07,5.4934e+05,0.1301
2.8522,19,7.7328e+07,7.6779e+07,5.4901e+05,0.1313
2.9924,20,7.3871e+07,7.3320e+07,5.5061e+05,0.1320
3.1332,21,7.0763e+07,7.0210e+07,5.5302e+05,0.1328
3.2732,22,6.8000e+07,6.7445e+07,5.5559e+05,0.1322
3.4133,23,6.5501e+07,6.4943e+07,5.5811e+05,0.1319
3.5533,24,6.3212e+07,6.2652e+07,5.6005e+05,0.1319
3.6930,25,6.1128e+07,6.0566e+07,5.6118e+05,0.1317
3.8361,26,5.9329e+07,5.8767e+07,5.6157e+05,0.1299
3.9760,27,5.7842e+07,5.7280e+07,5.6152e+05,0.1321
4.1151,28,5.6617e+07,5.6056e+07,5.6154e+05,0.1315
4.2517,29,5.5523e+07,5.4962e+07,5.6165e+05,0.1290
4.3891,30,5.4450e+07,5.3888e+07,5.6206e+05,0.1297
4.5303,31,5.3326e+07,5.2763e+07,5.6287e+05,0.1329
4.6697,32,5.2179e+07,5.1615e+07,5.6398e+05,0.1317
4.8109,33,5.1087e+07,5.0521e+07,5.6559e+05,0.1331
4.9509,34,5.0069e+07,4.9501e+07,5.6763e+05,0.1321
5.0902,35,4.9163e+07,4.8594e+07,5.6957e+05,0.1313
5.2281,36,4.8341e+07,4.7770e+07,5.7149e+05,0.1302
5.3654,37,4.7550e+07,4.6976e+07,5.7340e+05,0.1294
5.5052,38,4.6765e+07,4.6189e+07,5.7527e+05,0.1319
5.6441,39,4.5990e+07,4.5413e+07,5.7715e+05,0.1307
5.7845,40,4.5251e+07,4.4672e+07,5.7913e+05,0.1325
5.9246,41,4.4561e+07,4.3980e+07,5.8137e+05,0.1320
6.0646,42,4.3925e+07,4.3341e+07,5.8409e+05,0.1322
6.2024,43,4.3326e+07,4.2739e+07,5.8729e+05,0.1300
6.3403,44,4.2734e+07,4.2143e+07,5.9086e+05,0.1303
6.4798,45,4.2128e+07,4.1533e+07,5.9461e+05,0.1314
6.6197,46,4.1499e+07,4.0900e+07,5.9826e+05,0.1322
6.7598,47,4.0869e+07,4.0267e+07,6.0171e+05,0.1319
6.8996,48,4.0262e+07,3.9657e+07,6.0471e+05,0.1318
7.0397,49,3.9683e+07,3.9076e+07,6.0703e+05,0.1322
7.1799,50,3.9133e+07,3.8525e+07,6.0844e+05,0.1325
7.3194,51,3.8601e+07,3.7992e+07,6.0887e+05,0.1316
7.4584,52,3.8069e+07,3.7461e+07,6.0842e+05,0.1310
7.5961,53,3.7536e+07,3.6929e+07,6.0734e+05,0.1297
7.7339,54,3.7010e+07,3.6404e+07,6.0583e+05,0.1301
7.8734,55,3.6493e+07,3.5889e+07,6.0428e+05,0.1315
8.0130,56,3.5994e+07,3.5391e+07,6.0293e+05,0.1317
8.1520,57,3.5510e+07,3.4908e+07,6.0182e+05,0.1309
8.2897,58,3.5034e+07,3.4433e+07,6.0116e+05,0.1299
8.4318,59,3.4560e+07,3.3959e+07,6.0106e+05,0.1342
8.5688,60,3.4076e+07,3.3475e+07,6.0154e+05,0.1293
8.7062,61,3.3587e+07,3.2985e+07,6.0249e+05,0.1296
8.8477,62,3.3102e+07,3.2498e+07,6.0375e+05,0.1335
