run_time,iteration,loss,style_loss,content_loss,time
0.1214,0,1.2735e+08,1.2735e+08,0.0000e+00,0.1214
0.2543,1,9.5669e+07,9.5317e+07,3.5181e+05,0.1223
0.3873,2,6.7094e+07,6.6480e+07,6.1361e+05,0.1253
0.5206,3,5.2373e+07,5.1687e+07,6.8615e+05,0.1258
0.6517,4,4.4732e+07,4.3984e+07,7.4814e+05,0.1226
0.7854,5,3.9258e+07,3.8443e+07,8.1457e+05,0.1257
0.9162,6,3.4749e+07,3.3877e+07,8.7169e+05,0.1234
1.0491,7,3.1057e+07,3.0148e+07,9.0830e+05,0.1250
1.1791,8,2.8046e+07,2.7119e+07,9.2669e+05,0.1226
1.3117,9,2.5787e+07,2.4848e+07,9.3870e+05,0.1249
1.4422,10,2.3997e+07,2.3045e+07,9.5239e+05,0.1228
1.5769,11,2.2468e+07,2.1499e+07,9.6891e+05,0.1270
1.7077,12,2.1229e+07,2.0243e+07,9.8617e+05,0.1231
1.8416,13,2.0285e+07,1.9285e+07,1.0000e+06,0.1264
1.9707,14,1.9530e+07,1.8521e+07,1.0091e+06,0.1219
2.1032,15,1.8856e+07,1.7843e+07,1.0132e+06,0.1249
2.2355,16,1.8240e+07,1.7226e+07,1.0143e+06,0.1249
2.3681,17,1.7685e+07,1.6670e+07,1.0146e+06,0.1250
2.4967,18,1.7190e+07,1.6174e+07,1.0161e+06,0.1214
2.6305,19,1.6769e+07,1.5749e+07,1.0196e+06,0.1263
2.7611,20,1.6408e+07,1.5384e+07,1.0240e+06,0.1228
2.8963,21,1.6078e+07,1.5050e+07,1.0277e+06,0.1270
3.0271,22,1.5761e+07,1.4731e+07,1.0298e+06,0.1231
3.1627,23,1.5454e+07,1.4423e+07,1.0307e+06,0.1282
3.2934,24,1.5151e+07,1.4121e+07,1.0304e+06,0.1230
3.4271,25,1.4852e+07,1.3822e+07,1.0299e+06,0.1260
3.5594,26,1.4553e+07,1.3523e+07,1.0294e+06,0.1249
3.6918,27,1.4256e+07,1.3227e+07,1.0289e+06,0.1248
3.8261,28,1.3971e+07,1.2942e+07,1.0286e+06,0.1262
3.9565,29,1.3705e+07,1.2677e+07,1.0284e+06,0.1229
4.0898,30,1.3460e+07,1.2431e+07,1.0287e+06,0.1258
4.2198,31,1.3232e+07,1.2203e+07,1.0288e+06,0.1223
4.3532,32,1.3011e+07,1.1982e+07,1.0289e+06,0.1253
4.4830,33,1.2797e+07,1.1768e+07,1.0288e+06,0.1222
4.6165,34,1.2588e+07,1.1560e+07,1.0285e+06,0.1261
4.7469,35,1.2384e+07,1.1356e+07,1.0279e+06,0.1227
4.8797,36,1.2180e+07,1.1154e+07,1.0266e+06,0.1249
5.0115,37,1.1981e+07,1.0956e+07,1.0250e+06,0.1244
5.1463,38,1.1788e+07,1.0765e+07,1.0227e+06,0.1269
5.2762,39,1.1600e+07,1.0580e+07,1.0204e+06,0.1224
5.4091,40,1.1421e+07,1.0403e+07,1.0178e+06,0.1249
5.5392,41,1.1249e+07,1.0233e+07,1.0153e+06,0.1229
5.6739,42,1.1082e+07,1.0069e+07,1.0127e+06,0.1270
5.8049,43,1.0923e+07,9.9125e+06,1.0102e+06,0.1233
5.9379,44,1.0769e+07,9.7609e+06,1.0078e+06,0.1254
6.0703,45,1.0618e+07,9.6124e+06,1.0061e+06,0.1247
6.2052,46,1.0471e+07,9.4663e+06,1.0051e+06,0.1269
6.3365,47,1.0328e+07,9.3238e+06,1.0047e+06,0.1238
6.4677,48,1.0189e+07,9.1841e+06,1.0045e+06,0.1238
6.6005,49,1.0053e+07,9.0485e+06,1.0043e+06,0.1254
6.7311,50,9.9205e+06,8.9164e+06,1.0041e+06,0.1225
6.8637,51,9.7937e+06,8.7900e+06,1.0037e+06,0.1248
6.9942,52,9.6721e+06,8.6689e+06,1.0031e+06,0.1230
7.1251,53,9.5525e+06,8.5504e+06,1.0021e+06,0.1237
7.2560,54,9.4342e+06,8.4334e+06,1.0008e+06,0.1237
7.3852,55,9.3164e+06,8.3171e+06,9.9931e+05,0.1218
7.5181,56,9.1984e+06,8.2009e+06,9.9754e+05,0.1256
7.6473,57,9.0798e+06,8.0844e+06,9.9548e+05,0.1218
7.7807,58,8.9620e+06,7.9685e+06,9.9347e+05,0.1260
7.9099,59,8.8454e+06,7.8541e+06,9.9136e+05,0.1216
8.0446,60,8.7305e+06,7.7414e+06,9.8907e+05,0.1271
8.1751,61,8.6175e+06,7.6306e+06,9.8687e+05,0.1229
8.3125,62,8.5065e+06,7.5217e+06,9.8477e+05,0.1301
8.4449,63,8.3975e+06,7.4147e+06,9.8284e+05,0.1245
8.5762,64,8.2903e+06,7.3094e+06,9.8094e+05,0.1235
8.7091,65,8.1863e+06,7.2072e+06,9.7908e+05,0.1253
8.8396,66,8.0850e+06,7.1076e+06,9.7740e+05,0.1230
8.9708,67,7.9858e+06,7.0098e+06,9.7599e+05,0.1241
9.1027,68,7.8874e+06,6.9125e+06,9.7482e+05,0.1241
9.2418,69,7.7901e+06,6.8163e+06,9.7374e+05,0.1215
9.3722,70,7.6949e+06,6.7222e+06,9.7261e+05,0.1231
9.5053,71,7.6021e+06,6.6307e+06,9.7136e+05,0.1254
9.6357,72,7.5123e+06,6.5423e+06,9.6999e+05,0.1226
9.7679,73,7.4247e+06,6.4562e+06,9.6848e+05,0.1242
9.9067,74,7.3387e+06,6.3718e+06,9.6688e+05,0.1231
10.0371,75,7.2550e+06,6.2900e+06,9.6504e+05,0.1230
10.1685,76,7.1732e+06,6.2101e+06,9.6316e+05,0.1239
10.3001,77,7.0930e+06,6.1316e+06,9.6136e+05,0.1245
10.4317,78,7.0132e+06,6.0535e+06,9.5967e+05,0.1242
10.5634,79,6.9328e+06,5.9747e+06,9.5811e+05,0.1242
10.6955,80,6.8525e+06,5.8959e+06,9.5654e+05,0.1244
10.8267,81,6.7729e+06,5.8181e+06,9.5486e+05,0.1237
10.9635,82,6.6945e+06,5.7414e+06,9.5313e+05,0.1297
11.0922,83,6.6172e+06,5.6660e+06,9.5127e+05,0.1207
11.2241,84,6.5407e+06,5.5915e+06,9.4921e+05,0.1247
11.3546,85,6.4655e+06,5.5184e+06,9.4701e+05,0.1233
11.4859,86,6.3917e+06,5.4470e+06,9.4466e+05,0.1241
11.6181,87,6.3199e+06,5.3776e+06,9.4235e+05,0.1244
11.7503,88,6.2502e+06,5.3101e+06,9.4012e+05,0.1248
11.8829,89,6.1817e+06,5.2439e+06,9.3782e+05,0.1251
12.0179,90,6.1143e+06,5.1787e+06,9.3562e+05,0.1272
12.1484,91,6.0488e+06,5.1151e+06,9.3368e+05,0.1231
12.2831,92,5.9856e+06,5.0537e+06,9.3192e+05,0.1271
12.4143,93,5.9243e+06,4.9940e+06,9.3027e+05,0.1237
12.5485,94,5.8647e+06,4.9360e+06,9.2868e+05,0.1264
12.6782,95,5.8061e+06,4.8790e+06,9.2714e+05,0.1225
12.8115,96,5.7487e+06,4.8230e+06,9.2562e+05,0.1256
12.9432,97,5.6925e+06,4.7685e+06,9.2402e+05,0.1243
13.0770,98,5.6372e+06,4.7148e+06,9.2240e+05,0.1259
