run_time,iteration,loss,style_loss,content_loss,time
0.1192,0,5.1087e+07,5.1087e+07,0.0000e+00,0.1192
0.2530,1,4.7836e+07,4.7518e+07,3.1751e+05,0.1250
0.3848,2,4.2091e+07,4.1626e+07,4.6550e+05,0.1242
0.5182,3,3.9275e+07,3.8721e+07,5.5440e+05,0.1259
0.6483,4,3.6551e+07,3.5943e+07,6.0840e+05,0.1219
0.7822,5,3.4298e+07,3.3655e+07,6.4303e+05,0.1265
0.9154,6,3.2412e+07,3.1739e+07,6.7306e+05,0.1256
1.0475,7,3.0657e+07,2.9955e+07,7.0203e+05,0.1244
1.1774,8,2.9081e+07,2.8352e+07,7.2916e+05,0.1224
1.3099,9,2.7726e+07,2.6974e+07,7.5169e+05,0.1251
1.4387,10,2.6565e+07,2.5796e+07,7.6913e+05,0.1212
1.5714,11,2.5539e+07,2.4754e+07,7.8430e+05,0.1252
1.7010,12,2.4586e+07,2.3788e+07,7.9778e+05,0.1223
1.8322,13,2.3715e+07,2.2904e+07,8.1049e+05,0.1238
1.9627,14,2.2896e+07,2.2072e+07,8.2347e+05,0.1234
2.0931,15,2.2127e+07,2.1291e+07,8.3624e+05,0.1232
2.2250,16,2.1412e+07,2.0564e+07,8.4798e+05,0.1245
2.3553,17,2.0761e+07,1.9902e+07,8.5863e+05,0.1229
2.4876,18,2.0154e+07,1.9286e+07,8.6837e+05,0.1246
2.6180,19,1.9589e+07,1.8712e+07,8.7698e+05,0.1228
2.7502,20,1.9053e+07,1.8168e+07,8.8500e+05,0.1249
2.8811,21,1.8535e+07,1.7642e+07,8.9284e+05,0.1234
3.0155,22,1.8042e+07,1.7142e+07,9.0019e+05,0.1261
3.1471,23,1.7587e+07,1.6680e+07,9.0691e+05,0.1240
3.2784,24,1.7159e+07,1.6246e+07,9.1285e+05,0.1240
3.4083,25,1.6750e+07,1.5831e+07,9.1865e+05,0.1227
3.5404,26,1.6359e+07,1.5435e+07,9.2404e+05,0.1248
3.6711,27,1.5983e+07,1.5054e+07,9.2945e+05,0.1232
3.8044,28,1.5623e+07,1.4688e+07,9.3481e+05,0.1259
3.9355,29,1.5274e+07,1.4333e+07,9.4030e+05,0.1236
4.0677,30,1.4937e+07,1.3991e+07,9.4591e+05,0.1248
4.1974,31,1.4609e+07,1.3658e+07,9.5147e+05,0.1226
4.3302,32,1.4293e+07,1.3336e+07,9.5698e+05,0.1254
4.4594,33,1.3984e+07,1.3022e+07,9.6176e+05,0.1217
4.5921,34,1.3687e+07,1.2721e+07,9.6582e+05,0.1252
4.7212,35,1.3410e+07,1.2440e+07,9.6966e+05,0.1214
4.8536,36,1.3155e+07,1.2182e+07,9.7286e+05,0.1249
4.9856,37,1.2917e+07,1.1941e+07,9.7594e+05,0.1243
5.1187,38,1.2695e+07,1.1716e+07,9.7866e+05,0.1258
5.2489,39,1.2481e+07,1.1500e+07,9.8114e+05,0.1228
5.3834,40,1.2268e+07,1.1285e+07,9.8339e+05,0.1268
5.5146,41,1.2056e+07,1.1071e+07,9.8543e+05,0.1236
5.6468,42,1.1850e+07,1.0863e+07,9.8755e+05,0.1250
5.7764,43,1.1653e+07,1.0664e+07,9.8916e+05,0.1223
5.9120,44,1.1461e+07,1.0471e+07,9.9082e+05,0.1280
6.0487,45,1.1278e+07,1.0285e+07,9.9212e+05,0.1222
6.1792,46,1.1098e+07,1.0105e+07,9.9293e+05,0.1227
6.3096,47,1.0925e+07,9.9314e+06,9.9348e+05,0.1231
6.4427,48,1.0754e+07,9.7599e+06,9.9400e+05,0.1255
6.5733,49,1.0587e+07,9.5930e+06,9.9449e+05,0.1233
6.7049,50,1.0426e+07,9.4305e+06,9.9509e+05,0.1241
6.8343,51,1.0270e+07,9.2748e+06,9.9553e+05,0.1223
6.9666,52,1.0125e+07,9.1295e+06,9.9564e+05,0.1248
7.0958,53,9.9849e+06,8.9893e+06,9.9560e+05,0.1220
7.2297,54,9.8461e+06,8.8505e+06,9.9558e+05,0.1261
7.3579,55,9.7095e+06,8.7143e+06,9.9515e+05,0.1210
7.4907,56,9.5725e+06,8.5785e+06,9.9396e+05,0.1253
7.6201,57,9.4367e+06,8.4445e+06,9.9216e+05,0.1222
7.7527,58,9.3045e+06,8.3144e+06,9.9003e+05,0.1246
7.8835,59,9.1765e+06,8.1886e+06,9.8786e+05,0.1232
8.0150,60,9.0546e+06,8.0687e+06,9.8596e+05,0.1239
8.1471,61,8.9374e+06,7.9530e+06,9.8444e+05,0.1249
8.2798,62,8.8266e+06,7.8430e+06,9.8354e+05,0.1252
