run_time,iteration,loss,style_loss,content_loss,time
0.1190,0,1.2927e+09,1.2927e+09,0.0000e+00,0.1190
0.3254,1,1.0321e+09,1.0318e+09,3.8237e+05,0.1216
0.4559,2,7.5024e+08,7.4932e+08,9.2244e+05,0.1230
0.5901,3,5.3725e+08,5.3574e+08,1.5028e+06,0.1270
0.7200,4,4.0442e+08,4.0242e+08,1.9988e+06,0.1226
0.8534,5,3.2156e+08,3.1926e+08,2.3053e+06,0.1259
0.9833,6,2.6629e+08,2.6389e+08,2.4048e+06,0.1226
1.1239,7,2.3233e+08,2.2992e+08,2.4098e+06,0.1333
1.2589,8,2.1362e+08,2.1121e+08,2.4111e+06,0.1259
1.3888,9,2.0207e+08,1.9963e+08,2.4391e+06,0.1224
1.5220,10,1.9232e+08,1.8983e+08,2.4946e+06,0.1260
1.6519,11,1.8200e+08,1.7944e+08,2.5683e+06,0.1226
1.7855,12,1.7069e+08,1.6804e+08,2.6471e+06,0.1262
1.9149,13,1.5939e+08,1.5667e+08,2.7190e+06,0.1221
2.0495,14,1.4908e+08,1.4631e+08,2.7687e+06,0.1274
2.1812,15,1.3983e+08,1.3704e+08,2.7921e+06,0.1242
2.3155,16,1.3129e+08,1.2849e+08,2.7976e+06,0.1268
2.4456,17,1.2320e+08,1.2041e+08,2.7936e+06,0.1232
2.5795,18,1.1544e+08,1.1265e+08,2.7883e+06,0.1266
2.7115,19,1.0808e+08,1.0529e+08,2.7839e+06,0.1251
2.8443,20,1.0116e+08,9.8378e+07,2.7831e+06,0.1255
2.9763,21,9.4810e+07,9.2025e+07,2.7846e+06,0.1250
3.1077,22,8.9098e+07,8.6310e+07,2.7877e+06,0.1244
3.2407,23,8.4079e+07,8.1286e+07,2.7928e+06,0.1256
3.3732,24,7.9785e+07,7.6988e+07,2.7971e+06,0.1245
3.5079,25,7.6125e+07,7.3328e+07,2.7975e+06,0.1270
3.6379,26,7.2945e+07,7.0151e+07,2.7942e+06,0.1226
3.7711,27,7.0092e+07,6.7304e+07,2.7873e+06,0.1260
3.9077,28,6.7521e+07,6.4741e+07,2.7806e+06,0.1222
4.0407,29,6.5246e+07,6.2470e+07,2.7758e+06,0.1260
4.1742,30,6.3214e+07,6.0441e+07,2.7727e+06,0.1258
4.3048,31,6.1388e+07,5.8616e+07,2.7722e+06,0.1232
4.4396,32,5.9752e+07,5.6976e+07,2.7756e+06,0.1269
4.5700,33,5.8257e+07,5.5474e+07,2.7828e+06,0.1230
4.7049,34,5.6894e+07,5.4101e+07,2.7929e+06,0.1278
4.8358,35,5.5657e+07,5.2852e+07,2.8055e+06,0.1235
4.9692,36,5.4527e+07,5.1709e+07,2.8181e+06,0.1260
5.0999,37,5.3480e+07,5.0652e+07,2.8281e+06,0.1234
5.2327,38,5.2488e+07,4.9654e+07,2.8336e+06,0.1258
5.3650,39,5.1531e+07,4.8698e+07,2.8338e+06,0.1243
5.4987,40,5.0636e+07,4.7807e+07,2.8289e+06,0.1259
5.6314,41,4.9815e+07,4.6996e+07,2.8196e+06,0.1253
