run_time,iteration,loss,style_loss,content_loss,time
0.1199,0,1.2927e+09,1.2927e+09,0.0000e+00,0.1199
0.2546,1,1.0321e+09,1.0318e+09,3.8237e+05,0.1234
0.3874,2,7.5024e+08,7.4932e+08,9.2244e+05,0.1244
0.5210,3,5.3725e+08,5.3574e+08,1.5028e+06,0.1253
0.6525,4,4.0442e+08,4.0242e+08,1.9988e+06,0.1232
0.7878,5,3.2157e+08,3.1926e+08,2.3053e+06,0.1262
0.9266,6,2.6630e+08,2.6389e+08,2.4047e+06,0.1306
1.0592,7,2.3234e+08,2.2993e+08,2.4098e+06,0.1245
1.1941,8,2.1362e+08,2.1121e+08,2.4111e+06,0.1267
1.3251,9,2.0206e+08,1.9962e+08,2.4393e+06,0.1230
1.4587,10,1.9231e+08,1.8981e+08,2.4947e+06,0.1252
1.5913,11,1.8198e+08,1.7941e+08,2.5686e+06,0.1242
1.7234,12,1.7066e+08,1.6801e+08,2.6473e+06,0.1241
1.8581,13,1.5937e+08,1.5665e+08,2.7192e+06,0.1268
1.9909,14,1.4906e+08,1.4629e+08,2.7691e+06,0.1249
2.1260,15,1.3981e+08,1.3701e+08,2.7919e+06,0.1269
2.2576,16,1.3126e+08,1.2846e+08,2.7967e+06,0.1234
2.3917,17,1.2318e+08,1.2038e+08,2.7919e+06,0.1257
2.5245,18,1.1542e+08,1.1263e+08,2.7862e+06,0.1245
2.6571,19,1.0807e+08,1.0529e+08,2.7820e+06,0.1241
2.7921,20,1.0117e+08,9.8389e+07,2.7811e+06,0.1267
2.9237,21,9.4822e+07,9.2040e+07,2.7826e+06,0.1236
3.0585,22,8.9107e+07,8.6321e+07,2.7858e+06,0.1268
3.1920,23,8.4090e+07,8.1299e+07,2.7914e+06,0.1255
3.3280,24,7.9804e+07,7.7008e+07,2.7963e+06,0.1272
3.4626,25,7.6146e+07,7.3350e+07,2.7966e+06,0.1259
3.5939,26,7.2964e+07,7.0170e+07,2.7933e+06,0.1232
3.7283,27,7.0109e+07,6.7322e+07,2.7867e+06,0.1260
3.8597,28,6.7537e+07,6.4756e+07,2.7800e+06,0.1233
3.9934,29,6.5261e+07,6.2486e+07,2.7748e+06,0.1254
4.1271,30,6.3238e+07,6.0467e+07,2.7713e+06,0.1256
4.2601,31,6.1419e+07,5.8648e+07,2.7704e+06,0.1243
4.3956,32,5.9781e+07,5.7007e+07,2.7734e+06,0.1265
4.5274,33,5.8287e+07,5.5507e+07,2.7801e+06,0.1235
4.6621,34,5.6920e+07,5.4131e+07,2.7897e+06,0.1263
4.7949,35,5.5677e+07,5.2875e+07,2.8020e+06,0.1247
4.9344,36,5.4535e+07,5.1720e+07,2.8147e+06,0.1314
5.0679,37,5.3479e+07,5.0655e+07,2.8246e+06,0.1252
5.2028,38,5.2484e+07,4.9654e+07,2.8303e+06,0.1264
5.3366,39,5.1534e+07,4.8703e+07,2.8306e+06,0.1257
5.4716,40,5.0637e+07,4.7812e+07,2.8256e+06,0.1265
5.6061,41,4.9812e+07,4.6995e+07,2.8163e+06,0.1257
5.7397,42,4.9048e+07,4.6244e+07,2.8044e+06,0.1243
5.8766,43,4.8308e+07,4.5517e+07,2.7917e+06,0.1282
6.0093,44,4.7556e+07,4.4777e+07,2.7790e+06,0.1236
6.1433,45,4.6772e+07,4.4004e+07,2.7679e+06,0.1245
6.2788,46,4.5955e+07,4.3196e+07,2.7590e+06,0.1266
6.4119,47,4.5128e+07,4.2375e+07,2.7526e+06,0.1243
6.5473,48,4.4322e+07,4.1573e+07,2.7484e+06,0.1267
6.6824,49,4.3548e+07,4.0803e+07,2.7450e+06,0.1266
6.8153,50,4.2809e+07,4.0067e+07,2.7418e+06,0.1246
6.9508,51,4.2084e+07,3.9347e+07,2.7370e+06,0.1266
7.0848,52,4.1362e+07,3.8631e+07,2.7314e+06,0.1249
7.2186,53,4.0639e+07,3.7913e+07,2.7255e+06,0.1251
7.3540,54,3.9932e+07,3.7213e+07,2.7182e+06,0.1269
7.4856,55,3.9251e+07,3.6540e+07,2.7103e+06,0.1228
7.6212,56,3.8608e+07,3.5906e+07,2.7024e+06,0.1269
7.7556,57,3.7992e+07,3.5297e+07,2.6947e+06,0.1259
7.8879,58,3.7384e+07,3.4696e+07,2.6882e+06,0.1239
8.0239,59,3.6772e+07,3.4089e+07,2.6827e+06,0.1274
8.1552,60,3.6147e+07,3.3469e+07,2.6784e+06,0.1232
8.2937,61,3.5515e+07,3.2840e+07,2.6748e+06,0.1300
8.4274,62,3.4894e+07,3.2223e+07,2.6710e+06,0.1249
8.5584,63,3.4291e+07,3.1624e+07,2.6669e+06,0.1228
8.6938,64,3.3709e+07,3.1047e+07,2.6614e+06,0.1270
8.8266,65,3.3145e+07,3.0491e+07,2.6545e+06,0.1245
8.9613,66,3.2595e+07,2.9948e+07,2.6466e+06,0.1258
9.0968,67,3.2055e+07,2.9417e+07,2.6379e+06,0.1271
9.2301,68,3.1532e+07,2.8904e+07,2.6285e+06,0.1248
9.3651,69,3.1035e+07,2.8416e+07,2.6189e+06,0.1265
9.4991,70,3.0569e+07,2.7960e+07,2.6097e+06,0.1254
9.6330,71,3.0137e+07,2.7536e+07,2.6013e+06,0.1256
9.7672,72,2.9728e+07,2.7134e+07,2.5941e+06,0.1258
9.8998,73,2.9330e+07,2.6741e+07,2.5888e+06,0.1244
10.0347,74,2.8935e+07,2.6351e+07,2.5846e+06,0.1267
10.1695,75,2.8535e+07,2.5954e+07,2.5812e+06,0.1266
10.3012,76,2.8133e+07,2.5554e+07,2.5783e+06,0.1234
10.4381,77,2.7731e+07,2.5156e+07,2.5752e+06,0.1262
10.5726,78,2.7335e+07,2.4763e+07,2.5716e+06,0.1261
10.7042,79,2.6946e+07,2.4379e+07,2.5672e+06,0.1233
10.8391,80,2.6567e+07,2.4004e+07,2.5621e+06,0.1265
10.9715,81,2.6195e+07,2.3639e+07,2.5562e+06,0.1243
11.1066,82,2.5835e+07,2.3285e+07,2.5496e+06,0.1269
11.2402,83,2.5489e+07,2.2947e+07,2.5425e+06,0.1252
11.3736,84,2.5163e+07,2.2627e+07,2.5353e+06,0.1251
11.5096,85,2.4856e+07,2.2328e+07,2.5286e+06,0.1273
11.6423,86,2.4569e+07,2.2046e+07,2.5227e+06,0.1236
11.7777,87,2.4295e+07,2.1777e+07,2.5181e+06,0.1264
11.9137,88,2.4029e+07,2.1514e+07,2.5147e+06,0.1276
12.0467,89,2.3764e+07,2.1252e+07,2.5123e+06,0.1246
12.1806,90,2.3501e+07,2.0990e+07,2.5104e+06,0.1257
