run_time,iteration,loss,style_loss,content_loss,time
0.1208,0,1.2927e+13,1.2927e+13,0.0000e+00,0.1208
0.3341,1,1.0318e+13,1.0318e+13,3.8237e+06,0.1205
0.4704,2,7.4933e+12,7.4933e+12,9.2699e+06,0.1276
0.6051,3,5.3581e+12,5.3581e+12,1.5167e+07,0.1263
0.7364,4,4.0264e+12,4.0264e+12,2.0292e+07,0.1231
0.8708,5,3.1957e+12,3.1957e+12,2.3561e+07,0.1263
1.0022,6,2.6419e+12,2.6418e+12,2.4753e+07,0.1233
1.1397,7,2.3017e+12,2.3017e+12,2.4944e+07,0.1290
1.2746,8,2.1136e+12,2.1136e+12,2.5082e+07,0.1258
1.4065,9,1.9979e+12,1.9979e+12,2.5464e+07,0.1239
1.5411,10,1.8995e+12,1.8994e+12,2.6106e+07,0.1260
1.6729,11,1.7952e+12,1.7952e+12,2.6963e+07,0.1237
1.8065,12,1.6819e+12,1.6819e+12,2.7864e+07,0.1256
1.9399,13,1.5686e+12,1.5685e+12,2.8689e+07,0.1250
2.0725,14,1.4650e+12,1.4649e+12,2.9299e+07,0.1245
2.2088,15,1.3719e+12,1.3719e+12,2.9627e+07,0.1279
2.3411,16,1.2865e+12,1.2864e+12,2.9769e+07,0.1236
2.4751,17,1.2054e+12,1.2054e+12,2.9802e+07,0.1259
2.6093,18,1.1281e+12,1.1280e+12,2.9825e+07,0.1258
2.7417,19,1.0547e+12,1.0546e+12,2.9866e+07,0.1238
2.8774,20,9.8582e+11,9.8579e+11,2.9936e+07,0.1274
3.0086,21,9.2230e+11,9.2227e+11,3.0030e+07,0.1232
3.1442,22,8.6510e+11,8.6507e+11,3.0157e+07,0.1269
3.2798,23,8.1467e+11,8.1464e+11,3.0308e+07,0.1265
3.4124,24,7.7153e+11,7.7150e+11,3.0459e+07,0.1246
3.5497,25,7.3455e+11,7.3452e+11,3.0568e+07,0.1254
3.6849,26,7.0244e+11,7.0241e+11,3.0634e+07,0.1266
3.8167,27,6.7411e+11,6.7408e+11,3.0662e+07,0.1234
3.9525,28,6.4884e+11,6.4881e+11,3.0677e+07,0.1273
4.0853,29,6.2646e+11,6.2643e+11,3.0704e+07,0.1248
4.2190,30,6.0655e+11,6.0652e+11,3.0767e+07,0.1255
4.3564,31,5.8856e+11,5.8853e+11,3.0881e+07,0.1285
4.4889,32,5.7206e+11,5.7203e+11,3.1046e+07,0.1244
4.6225,33,5.5710e+11,5.5706e+11,3.1260e+07,0.1254
4.7572,34,5.4357e+11,5.4354e+11,3.1513e+07,0.1263
4.8893,35,5.3132e+11,5.3129e+11,3.1795e+07,0.1240
5.0242,36,5.2002e+11,5.1999e+11,3.2088e+07,0.1264
5.1572,37,5.0948e+11,5.0945e+11,3.2345e+07,0.1238
5.2917,38,4.9952e+11,4.9949e+11,3.2552e+07,0.1263
5.4272,39,4.9007e+11,4.9003e+11,3.2684e+07,0.1268
5.5606,40,4.8114e+11,4.8111e+11,3.2751e+07,0.1233
5.6953,41,4.7287e+11,4.7284e+11,3.2768e+07,0.1261
5.8286,42,4.6535e+11,4.6532e+11,3.2758e+07,0.1254
5.9677,43,4.5808e+11,4.5804e+11,3.2730e+07,0.1222
6.1015,44,4.5052e+11,4.5048e+11,3.2705e+07,0.1255
6.2364,45,4.4262e+11,4.4259e+11,3.2699e+07,0.1264
6.3696,46,4.3435e+11,4.3431e+11,3.2702e+07,0.1234
6.5048,47,4.2589e+11,4.2585e+11,3.2712e+07,0.1263
6.6386,48,4.1755e+11,4.1752e+11,3.2740e+07,0.1254
6.7712,49,4.0959e+11,4.0956e+11,3.2775e+07,0.1243
6.9062,50,4.0196e+11,4.0193e+11,3.2812e+07,0.1265
7.0392,51,3.9448e+11,3.9444e+11,3.2847e+07,0.1245
7.1752,52,3.8708e+11,3.8705e+11,3.2873e+07,0.1279
7.3109,53,3.7975e+11,3.7972e+11,3.2885e+07,0.1265
7.4428,54,3.7260e+11,3.7257e+11,3.2881e+07,0.1241
7.5784,55,3.6574e+11,3.6570e+11,3.2870e+07,0.1274
