run_time,iteration,loss,style_loss,content_loss,time
0.1224,0,1.2927e+13,1.2927e+13,0.0000e+00,0.1224
0.3236,1,1.0318e+13,1.0318e+13,3.8237e+01,0.1190
0.4543,2,7.4933e+12,7.4933e+12,9.2699e+01,0.1237
0.5860,3,5.3581e+12,5.3581e+12,1.5167e+02,0.1246
0.7145,4,4.0264e+12,4.0264e+12,2.0291e+02,0.1215
0.8466,5,3.1957e+12,3.1957e+12,2.3560e+02,0.1249
0.9756,6,2.6417e+12,2.6417e+12,2.4753e+02,0.1221
1.1131,7,2.3016e+12,2.3016e+12,2.4946e+02,0.1303
1.2456,8,2.1134e+12,2.1134e+12,2.5085e+02,0.1256
1.3762,9,1.9978e+12,1.9978e+12,2.5467e+02,0.1237
1.5047,10,1.8993e+12,1.8993e+12,2.6109e+02,0.1217
1.6369,11,1.7951e+12,1.7951e+12,2.6966e+02,0.1252
1.7659,12,1.6818e+12,1.6818e+12,2.7871e+02,0.1221
1.8987,13,1.5686e+12,1.5686e+12,2.8700e+02,0.1253
2.0286,14,1.4650e+12,1.4650e+12,2.9312e+02,0.1229
2.1620,15,1.3718e+12,1.3718e+12,2.9637e+02,0.1263
2.2917,16,1.2863e+12,1.2863e+12,2.9779e+02,0.1226
2.4244,17,1.2051e+12,1.2051e+12,2.9815e+02,0.1256
2.5533,18,1.1278e+12,1.1278e+12,2.9841e+02,0.1218
2.6853,19,1.0544e+12,1.0544e+12,2.9885e+02,0.1252
2.8158,20,9.8557e+11,9.8557e+11,2.9953e+02,0.1236
2.9477,21,9.2200e+11,9.2200e+11,3.0041e+02,0.1250
3.0792,22,8.6482e+11,8.6482e+11,3.0167e+02,0.1247
3.2116,23,8.1449e+11,8.1449e+11,3.0308e+02,0.1255
3.3430,24,7.7135e+11,7.7135e+11,3.0449e+02,0.1246
3.4749,25,7.3444e+11,7.3444e+11,3.0555e+02,0.1250
3.6058,26,7.0231e+11,7.0231e+11,3.0616e+02,0.1240
3.7369,27,6.7389e+11,6.7389e+11,3.0652e+02,0.1242
3.8682,28,6.4847e+11,6.4847e+11,3.0675e+02,0.1244
3.9978,29,6.2600e+11,6.2600e+11,3.0712e+02,0.1226
4.1299,30,6.0609e+11,6.0609e+11,3.0782e+02,0.1252
4.2603,31,5.8808e+11,5.8808e+11,3.0901e+02,0.1230
4.3930,32,5.7164e+11,5.7164e+11,3.1065e+02,0.1256
4.5227,33,5.5669e+11,5.5669e+11,3.1276e+02,0.1227
4.6552,34,5.4324e+11,5.4324e+11,3.1523e+02,0.1253
4.7849,35,5.3102e+11,5.3102e+11,3.1804e+02,0.1228
4.9177,36,5.1972e+11,5.1972e+11,3.2091e+02,0.1257
5.0469,37,5.0922e+11,5.0922e+11,3.2348e+02,0.1223
5.1822,38,4.9935e+11,4.9935e+11,3.2555e+02,0.1283
5.3118,39,4.8996e+11,4.8996e+11,3.2690e+02,0.1228
5.4443,40,4.8107e+11,4.8107e+11,3.2765e+02,0.1254
5.5733,41,4.7282e+11,4.7282e+11,3.2793e+02,0.1221
5.7063,42,4.6528e+11,4.6528e+11,3.2799e+02,0.1260
5.8357,43,4.5796e+11,4.5796e+11,3.2785e+02,0.1225
5.9675,44,4.5042e+11,4.5042e+11,3.2773e+02,0.1246
6.0983,45,4.4251e+11,4.4251e+11,3.2776e+02,0.1239
6.2331,46,4.3422e+11,4.3422e+11,3.2785e+02,0.1245
6.3627,47,4.2577e+11,4.2577e+11,3.2804e+02,0.1225
6.4959,48,4.1748e+11,4.1748e+11,3.2837e+02,0.1259
6.6252,49,4.0953e+11,4.0953e+11,3.2885e+02,0.1222
6.7577,50,4.0192e+11,4.0192e+11,3.2934e+02,0.1254
6.8896,51,3.9451e+11,3.9451e+11,3.2975e+02,0.1248
7.0232,52,3.8712e+11,3.8712e+11,3.3005e+02,0.1258
7.1532,53,3.7974e+11,3.7974e+11,3.3025e+02,0.1230
7.2871,54,3.7254e+11,3.7254e+11,3.3029e+02,0.1267
7.4169,55,3.6571e+11,3.6571e+11,3.3027e+02,0.1229
7.5503,56,3.5918e+11,3.5918e+11,3.3019e+02,0.1263
7.6802,57,3.5295e+11,3.5295e+11,3.3016e+02,0.1229
7.8142,58,3.4681e+11,3.4681e+11,3.3033e+02,0.1268
7.9430,59,3.4060e+11,3.4060e+11,3.3080e+02,0.1219
8.0745,60,3.3430e+11,3.3430e+11,3.3148e+02,0.1245
8.2056,61,3.2798e+11,3.2798e+11,3.3228e+02,0.1241
