run_time,iteration,loss,style_loss,content_loss,time
0.1206,0,1.2927e+10,1.2927e+10,0.0000e+00,0.1206
0.3263,1,1.0318e+10,1.0318e+10,3.8237e+01,0.1184
0.4603,2,7.4933e+09,7.4933e+09,9.2699e+01,0.1260
0.5890,3,5.3581e+09,5.3581e+09,1.5168e+02,0.1217
0.7229,4,4.0264e+09,4.0264e+09,2.0292e+02,0.1256
0.8518,5,3.1957e+09,3.1957e+09,2.3561e+02,0.1220
0.9841,6,2.6418e+09,2.6418e+09,2.4754e+02,0.1251
1.1178,7,2.3017e+09,2.3017e+09,2.4945e+02,0.1268
1.2526,8,2.1135e+09,2.1135e+09,2.5082e+02,0.1277
1.3821,9,1.9977e+09,1.9977e+09,2.5462e+02,0.1225
1.5144,10,1.8994e+09,1.8994e+09,2.6103e+02,0.1251
1.6428,11,1.7951e+09,1.7951e+09,2.6958e+02,0.1215
1.7751,12,1.6818e+09,1.6818e+09,2.7860e+02,0.1253
1.9054,13,1.5685e+09,1.5684e+09,2.8685e+02,0.1236
2.0391,14,1.4648e+09,1.4648e+09,2.9297e+02,0.1255
2.1686,15,1.3717e+09,1.3717e+09,2.9624e+02,0.1226
2.3005,16,1.2862e+09,1.2862e+09,2.9766e+02,0.1247
2.4316,17,1.2051e+09,1.2051e+09,2.9800e+02,0.1236
2.5632,18,1.1278e+09,1.1278e+09,2.9828e+02,0.1245
2.6956,19,1.0545e+09,1.0545e+09,2.9871e+02,0.1239
2.8277,20,9.8570e+08,9.8570e+08,2.9940e+02,0.1247
2.9583,21,9.2215e+08,9.2215e+08,3.0033e+02,0.1233
3.0896,22,8.6492e+08,8.6492e+08,3.0162e+02,0.1243
3.2214,23,8.1451e+08,8.1451e+08,3.0309e+02,0.1242
3.3529,24,7.7139e+08,7.7139e+08,3.0456e+02,0.1246
3.4851,25,7.3448e+08,7.3448e+08,3.0565e+02,0.1248
3.6164,26,7.0254e+08,7.0254e+08,3.0624e+02,0.1241
3.7480,27,6.7418e+08,6.7418e+08,3.0649e+02,0.1245
3.8792,28,6.4879e+08,6.4879e+08,3.0659e+02,0.1241
4.0104,29,6.2627e+08,6.2627e+08,3.0687e+02,0.1242
4.1400,30,6.0631e+08,6.0631e+08,3.0753e+02,0.1223
4.2740,31,5.8826e+08,5.8826e+08,3.0868e+02,0.1269
4.4053,32,5.7180e+08,5.7180e+08,3.1028e+02,0.1225
4.5379,33,5.5686e+08,5.5686e+08,3.1244e+02,0.1251
4.6682,34,5.4335e+08,5.4335e+08,3.1504e+02,0.1229
4.8004,35,5.3106e+08,5.3106e+08,3.1793e+02,0.1246
4.9375,36,5.1974e+08,5.1974e+08,3.2088e+02,0.1300
5.0675,37,5.0923e+08,5.0923e+08,3.2355e+02,0.1230
5.2003,38,4.9935e+08,4.9935e+08,3.2564e+02,0.1254
5.3312,39,4.8996e+08,4.8996e+08,3.2693e+02,0.1232
5.4643,40,4.8106e+08,4.8106e+08,3.2762e+02,0.1255
5.5942,41,4.7283e+08,4.7283e+08,3.2782e+02,0.1228
5.7281,42,4.6525e+08,4.6525e+08,3.2770e+02,0.1254
5.8582,43,4.5788e+08,4.5788e+08,3.2740e+02,0.1228
5.9918,44,4.5029e+08,4.5029e+08,3.2718e+02,0.1262
6.1214,45,4.4239e+08,4.4238e+08,3.2717e+02,0.1223
6.2552,46,4.3413e+08,4.3413e+08,3.2728e+02,0.1264
6.3848,47,4.2566e+08,4.2566e+08,3.2741e+02,0.1225
6.5182,48,4.1737e+08,4.1737e+08,3.2771e+02,0.1259
6.6486,49,4.0947e+08,4.0947e+08,3.2813e+02,0.1227
6.7833,50,4.0190e+08,4.0190e+08,3.2857e+02,0.1268
6.9122,51,3.9447e+08,3.9447e+08,3.2897e+02,0.1219
7.0454,52,3.8708e+08,3.8708e+08,3.2930e+02,0.1253
7.1755,53,3.7969e+08,3.7969e+08,3.2943e+02,0.1228
7.3092,54,3.7250e+08,3.7250e+08,3.2940e+02,0.1263
7.4395,55,3.6562e+08,3.6562e+08,3.2927e+02,0.1225
