run_time,iteration,loss,style_loss,content_loss,time
0.1197,0,6.4829e+07,6.4829e+07,0.0000e+00,0.1196
0.2540,1,3.8449e+07,3.8059e+07,3.8924e+05,0.1233
0.3886,2,2.8631e+07,2.7904e+07,7.2661e+05,0.1263
0.5193,3,2.5731e+07,2.4912e+07,8.1959e+05,0.1227
0.6530,4,2.2033e+07,2.1198e+07,8.3458e+05,0.1256
0.7840,5,1.9705e+07,1.8856e+07,8.4922e+05,0.1230
0.9242,6,1.7846e+07,1.6970e+07,8.7603e+05,0.1321
1.0599,7,1.6356e+07,1.5444e+07,9.1146e+05,0.1271
1.1907,8,1.5049e+07,1.4108e+07,9.4161e+05,0.1228
1.3241,9,1.3986e+07,1.3030e+07,9.5595e+05,0.1256
1.4549,10,1.3110e+07,1.2154e+07,9.5590e+05,0.1229
1.5893,11,1.2356e+07,1.1407e+07,9.4996e+05,0.1262
1.7230,12,1.1746e+07,1.0799e+07,9.4707e+05,0.1256
1.8548,13,1.1243e+07,1.0293e+07,9.4955e+05,0.1238
1.9920,14,1.0781e+07,9.8261e+06,9.5517e+05,0.1290
2.1245,15,1.0351e+07,9.3916e+06,9.5945e+05,0.1245
2.2585,16,9.9594e+06,8.9999e+06,9.5947e+05,0.1260
2.3935,17,9.6118e+06,8.6554e+06,9.5639e+05,0.1270
2.5255,18,9.2963e+06,8.3454e+06,9.5086e+05,0.1232
2.6608,19,8.9982e+06,8.0521e+06,9.4614e+05,0.1271
2.7928,20,8.7181e+06,7.7743e+06,9.4380e+05,0.1241
2.9280,21,8.4643e+06,7.5212e+06,9.4303e+05,0.1272
3.0626,22,8.2291e+06,7.2856e+06,9.4350e+05,0.1261
3.1933,23,7.9989e+06,7.0547e+06,9.4417e+05,0.1225
3.3286,24,7.7839e+06,6.8398e+06,9.4413e+05,0.1273
3.4601,25,7.5887e+06,6.6460e+06,9.4273e+05,0.1232
3.5947,26,7.4083e+06,6.4679e+06,9.4045e+05,0.1267
3.7278,27,7.2265e+06,6.2896e+06,9.3696e+05,0.1251
3.8610,28,7.0460e+06,6.1132e+06,9.3281e+05,0.1253
3.9956,29,6.8777e+06,5.9493e+06,9.2838e+05,0.1266
4.1261,30,6.7249e+06,5.8014e+06,9.2350e+05,0.1224
4.2610,31,6.5842e+06,5.6656e+06,9.1866e+05,0.1268
4.3926,32,6.4440e+06,5.5311e+06,9.1293e+05,0.1238
4.5268,33,6.3068e+06,5.3993e+06,9.0742e+05,0.1263
4.6589,34,6.1755e+06,5.2729e+06,9.0265e+05,0.1244
4.7928,35,6.0484e+06,5.1494e+06,8.9896e+05,0.1261
4.9280,36,5.9240e+06,5.0280e+06,8.9602e+05,0.1272
5.0617,37,5.8015e+06,4.9084e+06,8.9310e+05,0.1226
5.1964,38,5.6803e+06,4.7902e+06,8.9010e+05,0.1267
5.3296,39,5.5590e+06,4.6727e+06,8.8631e+05,0.1254
5.4633,40,5.4400e+06,4.5582e+06,8.8182e+05,0.1246
5.5982,41,5.3257e+06,4.4486e+06,8.7719e+05,0.1270
5.7300,42,5.2182e+06,4.3454e+06,8.7284e+05,0.1237
5.8652,43,5.1161e+06,4.2473e+06,8.6886e+05,0.1271
5.9989,44,5.0180e+06,4.1526e+06,8.6537e+05,0.1258
6.1310,45,4.9251e+06,4.0625e+06,8.6262e+05,0.1240
6.2659,46,4.8397e+06,3.9793e+06,8.6037e+05,0.1268
6.4004,47,4.7603e+06,3.9022e+06,8.5814e+05,0.1242
6.5349,48,4.6837e+06,3.8281e+06,8.5562e+05,0.1264
6.6703,49,4.6069e+06,3.7544e+06,8.5242e+05,0.1274
6.8009,50,4.5284e+06,3.6799e+06,8.4843e+05,0.1226
6.9357,51,4.4484e+06,3.6045e+06,8.4392e+05,0.1267
7.0676,52,4.3689e+06,3.5296e+06,8.3927e+05,0.1237
7.2021,53,4.2918e+06,3.4568e+06,8.3500e+05,0.1262
7.3365,54,4.2178e+06,3.3867e+06,8.3115e+05,0.1264
7.4690,55,4.1457e+06,3.3179e+06,8.2778e+05,0.1246
7.6036,56,4.0765e+06,3.2516e+06,8.2494e+05,0.1267
7.7352,57,4.0106e+06,3.1881e+06,8.2254e+05,0.1238
7.8701,58,3.9485e+06,3.1281e+06,8.2041e+05,0.1268
8.0027,59,3.8886e+06,3.0703e+06,8.1824e+05,0.1247
8.1363,60,3.8295e+06,3.0138e+06,8.1571e+05,0.1255
8.2718,61,3.7709e+06,2.9582e+06,8.1278e+05,0.1275
8.4030,62,3.7134e+06,2.9037e+06,8.0978e+05,0.1233
