run_time,iteration,loss,style_loss,content_loss,time
0.1390,0,4.2788e+07,4.2788e+07,0.0000e+00,0.1390
0.2853,1,3.0051e+07,2.9597e+07,4.5424e+05,0.1360
0.4174,2,2.2862e+07,2.2196e+07,6.6680e+05,0.1238
0.5510,3,1.9578e+07,1.8846e+07,7.3246e+05,0.1252
0.6846,4,1.7488e+07,1.6746e+07,7.4271e+05,0.1221
0.8186,5,1.5708e+07,1.4918e+07,7.9040e+05,0.1259
0.9504,6,1.4338e+07,1.3514e+07,8.2363e+05,0.1230
1.0843,7,1.3485e+07,1.2639e+07,8.4611e+05,0.1250
1.2173,8,1.2661e+07,1.1791e+07,8.6966e+05,0.1249
1.3514,9,1.2053e+07,1.1169e+07,8.8385e+05,0.1258
1.4869,10,1.1519e+07,1.0636e+07,8.8310e+05,0.1274
1.6183,11,1.1092e+07,1.0212e+07,8.7946e+05,0.1234
1.7528,12,1.0647e+07,9.7643e+06,8.8239e+05,0.1264
1.8845,13,1.0214e+07,9.3235e+06,8.9057e+05,0.1237
2.0180,14,9.8470e+06,8.9482e+06,8.9876e+05,0.1254
2.1498,15,9.5033e+06,8.6016e+06,9.0175e+05,0.1240
2.2830,16,9.2000e+06,8.2971e+06,9.0292e+05,0.1252
2.4177,17,8.8886e+06,7.9841e+06,9.0449e+05,0.1264
2.5489,18,8.5968e+06,7.6899e+06,9.0688e+05,0.1232
2.6838,19,8.3268e+06,7.4177e+06,9.0905e+05,0.1267
2.8156,20,8.0663e+06,7.1566e+06,9.0967e+05,0.1237
2.9497,21,7.8254e+06,6.9171e+06,9.0828e+05,0.1261
3.0808,22,7.5869e+06,6.6800e+06,9.0693e+05,0.1233
3.2163,23,7.3616e+06,6.4558e+06,9.0575e+05,0.1275
3.3515,24,7.1635e+06,6.2592e+06,9.0431e+05,0.1264
3.4849,25,6.9799e+06,6.0766e+06,9.0328e+05,0.1254
3.6207,26,6.8184e+06,5.9161e+06,9.0231e+05,0.1268
3.7559,27,6.6710e+06,5.7701e+06,9.0094e+05,0.1263
3.8876,28,6.5144e+06,5.6154e+06,8.9897e+05,0.1233
4.0223,29,6.3655e+06,5.4697e+06,8.9585e+05,0.1267
4.1540,30,6.2278e+06,5.3359e+06,8.9186e+05,0.1239
4.2881,31,6.0925e+06,5.2056e+06,8.8690e+05,0.1262
4.4207,32,5.9652e+06,5.0837e+06,8.8151e+05,0.1248
4.5536,33,5.8412e+06,4.9650e+06,8.7620e+05,0.1246
4.6933,34,5.7109e+06,4.8397e+06,8.7123e+05,0.1312
4.8253,35,5.5835e+06,4.7177e+06,8.6579e+05,0.1239
4.9591,36,5.4628e+06,4.6030e+06,8.5981e+05,0.1257
5.0937,37,5.3436e+06,4.4892e+06,8.5432e+05,0.1264
5.2248,38,5.2298e+06,4.3801e+06,8.4967e+05,0.1234
5.3602,39,5.1205e+06,4.2746e+06,8.4595e+05,0.1269
5.4917,40,5.0101e+06,4.1670e+06,8.4319e+05,0.1235
5.6268,41,4.9034e+06,4.0626e+06,8.4080e+05,0.1270
5.7605,42,4.8041e+06,3.9664e+06,8.3773e+05,0.1258
5.8928,43,4.7089e+06,3.8750e+06,8.3388e+05,0.1243
6.0274,44,4.6200e+06,3.7902e+06,8.2977e+05,0.1264
6.1590,45,4.5375e+06,3.7117e+06,8.2576e+05,0.1237
6.2942,46,4.4551e+06,3.6327e+06,8.2235e+05,0.1272
6.4261,47,4.3721e+06,3.5526e+06,8.1952e+05,0.1241
6.5599,48,4.2914e+06,3.4748e+06,8.1661e+05,0.1258
6.6945,49,4.2131e+06,3.3997e+06,8.1337e+05,0.1265
6.8269,50,4.1366e+06,3.3269e+06,8.0973e+05,0.1245
6.9624,51,4.0626e+06,3.2564e+06,8.0621e+05,0.1271
7.0942,52,3.9903e+06,3.1869e+06,8.0342e+05,0.1240
7.2289,53,3.9192e+06,3.1181e+06,8.0108e+05,0.1262
7.3628,54,3.8509e+06,3.0520e+06,7.9899e+05,0.1257
7.4946,55,3.7860e+06,2.9890e+06,7.9705e+05,0.1235
7.6357,56,3.7242e+06,2.9293e+06,7.9491e+05,0.1330
7.7676,57,3.6637e+06,2.8715e+06,7.9217e+05,0.1234
7.8995,58,3.6030e+06,2.8138e+06,7.8919e+05,0.1239
8.0341,59,3.5436e+06,2.7573e+06,7.8632e+05,0.1262
8.1659,60,3.4877e+06,2.7043e+06,7.8335e+05,0.1240
8.3009,61,3.4339e+06,2.6537e+06,7.8027e+05,0.1270
8.4364,62,3.3816e+06,2.6046e+06,7.7701e+05,0.1274
8.5704,63,3.3312e+06,2.5576e+06,7.7363e+05,0.1244
8.7050,64,3.2807e+06,2.5104e+06,7.7025e+05,0.1264
8.8370,65,3.2304e+06,2.4635e+06,7.6686e+05,0.1239
8.9709,66,3.1823e+06,2.4190e+06,7.6330e+05,0.1256
9.1058,67,3.1364e+06,2.3770e+06,7.5936e+05,0.1265
9.2367,68,3.0918e+06,2.3367e+06,7.5515e+05,0.1230
9.3731,69,3.0491e+06,2.2978e+06,7.5131e+05,0.1264
9.5056,70,3.0079e+06,2.2598e+06,7.4803e+05,0.1241
9.6393,71,2.9671e+06,2.2217e+06,7.4543e+05,0.1255
9.7749,72,2.9274e+06,2.1844e+06,7.4303e+05,0.1260
9.9058,73,2.8895e+06,2.1491e+06,7.4043e+05,0.1230
10.0412,74,2.8523e+06,2.1148e+06,7.3750e+05,0.1275
10.1734,75,2.8152e+06,2.0808e+06,7.3433e+05,0.1240
10.3084,76,2.7794e+06,2.0482e+06,7.3122e+05,0.1269
10.4428,77,2.7437e+06,2.0151e+06,7.2860e+05,0.1260
10.5746,78,2.7080e+06,1.9815e+06,7.2647e+05,0.1232
10.7097,79,2.6737e+06,1.9490e+06,7.2473e+05,0.1271
