run_time,iteration,loss,style_loss,content_loss,time
0.1198,0,2.0612e+09,2.0612e+09,0.0000e+00,0.1198
0.2573,1,1.6948e+09,1.6944e+09,3.8106e+05,0.1252
0.3885,2,1.2435e+09,1.2426e+09,8.9849e+05,0.1229
0.5224,3,8.5243e+08,8.5103e+08,1.3997e+06,0.1255
0.6544,4,5.7681e+08,5.7494e+08,1.8730e+06,0.1235
0.7877,5,4.1631e+08,4.1399e+08,2.3248e+06,0.1252
0.9272,6,3.2938e+08,3.2667e+08,2.7083e+06,0.1314
1.0611,7,2.8749e+08,2.8451e+08,2.9807e+06,0.1258
1.1941,8,2.7408e+08,2.7095e+08,3.1387e+06,0.1246
1.3290,9,2.6489e+08,2.6166e+08,3.2370e+06,0.1259
1.4632,10,2.5012e+08,2.4681e+08,3.3125e+06,0.1259
1.5993,11,2.3393e+08,2.3056e+08,3.3721e+06,0.1256
1.7337,12,2.2081e+08,2.1739e+08,3.4201e+06,0.1258
1.8664,13,2.1102e+08,2.0756e+08,3.4605e+06,0.1247
2.0020,14,2.0194e+08,1.9845e+08,3.4953e+06,0.1272
2.1349,15,1.9167e+08,1.8814e+08,3.5286e+06,0.1247
2.2702,16,1.7986e+08,1.7630e+08,3.5598e+06,0.1261
2.4069,17,1.6739e+08,1.6380e+08,3.5873e+06,0.1271
2.5398,18,1.5541e+08,1.5179e+08,3.6106e+06,0.1242
2.6748,19,1.4457e+08,1.4094e+08,3.6262e+06,0.1258
2.8096,20,1.3516e+08,1.3153e+08,3.6300e+06,0.1263
2.9417,21,1.2704e+08,1.2341e+08,3.6272e+06,0.1240
3.0766,22,1.1989e+08,1.1627e+08,3.6171e+06,0.1268
3.2101,23,1.1353e+08,1.0993e+08,3.6014e+06,0.1250
3.3440,24,1.0785e+08,1.0427e+08,3.5827e+06,0.1254
3.4809,25,1.0287e+08,9.9305e+07,3.5624e+06,0.1281
3.6185,26,9.8553e+07,9.5012e+07,3.5416e+06,0.1235
3.7502,27,9.4877e+07,9.1355e+07,3.5226e+06,0.1232
3.8852,28,9.1784e+07,8.8278e+07,3.5062e+06,0.1267
4.0178,29,8.9146e+07,8.5652e+07,3.4937e+06,0.1239
4.1513,30,8.6818e+07,8.3333e+07,3.4858e+06,0.1253
4.2868,31,8.4675e+07,8.1192e+07,3.4830e+06,0.1266
4.4205,32,8.2628e+07,7.9145e+07,3.4832e+06,0.1248
4.5550,33,8.0659e+07,7.7173e+07,3.4854e+06,0.1262
4.6874,34,7.8812e+07,7.5323e+07,3.4893e+06,0.1243
4.8206,35,7.7109e+07,7.3615e+07,3.4933e+06,0.1250
4.9556,36,7.5585e+07,7.2087e+07,3.4982e+06,0.1268
5.0876,37,7.4269e+07,7.0766e+07,3.5032e+06,0.1240
5.2243,38,7.3171e+07,6.9663e+07,3.5081e+06,0.1281
5.3596,39,7.2260e+07,6.8747e+07,3.5124e+06,0.1260
5.4916,40,7.1465e+07,6.7951e+07,3.5145e+06,0.1237
5.6275,41,7.0727e+07,6.7212e+07,3.5148e+06,0.1275
5.7591,42,6.9966e+07,6.6452e+07,3.5134e+06,0.1233
5.8946,43,6.9140e+07,6.5629e+07,3.5106e+06,0.1274
6.0302,44,6.8232e+07,6.4727e+07,3.5052e+06,0.1273
6.1617,45,6.7260e+07,6.3763e+07,3.4972e+06,0.1235
6.2973,46,6.6250e+07,6.2764e+07,3.4863e+06,0.1270
6.4301,47,6.5219e+07,6.1746e+07,3.4732e+06,0.1246
6.5648,48,6.4197e+07,6.0738e+07,3.4583e+06,0.1265
6.7009,49,6.3195e+07,5.9752e+07,3.4432e+06,0.1275
6.8336,50,6.2215e+07,5.8787e+07,3.4278e+06,0.1245
6.9688,51,6.1243e+07,5.7830e+07,3.4130e+06,0.1269
7.1044,52,6.0260e+07,5.6861e+07,3.3993e+06,0.1273
7.2466,53,5.9268e+07,5.5881e+07,3.3870e+06,0.1330
7.3929,54,5.8252e+07,5.4875e+07,3.3762e+06,0.1213
7.5272,55,5.7213e+07,5.3845e+07,3.3674e+06,0.1257
7.6608,56,5.6169e+07,5.2808e+07,3.3609e+06,0.1232
7.7964,57,5.5135e+07,5.1779e+07,3.3562e+06,0.1271
7.9274,58,5.4126e+07,5.0772e+07,3.3531e+06,0.1229
8.0626,59,5.3166e+07,4.9815e+07,3.3511e+06,0.1265
8.2058,60,5.2257e+07,4.8906e+07,3.3502e+06,0.1260
8.3412,61,5.1394e+07,4.8044e+07,3.3502e+06,0.1266
8.4735,62,5.0573e+07,4.7222e+07,3.3503e+06,0.1239
8.6084,63,4.9781e+07,4.6430e+07,3.3506e+06,0.1265
8.7413,64,4.9005e+07,4.5655e+07,3.3505e+06,0.1247
8.8749,65,4.8239e+07,4.4890e+07,3.3498e+06,0.1254
9.0103,66,4.7479e+07,4.4131e+07,3.3480e+06,0.1272
9.1441,67,4.6718e+07,4.3373e+07,3.3451e+06,0.1256
9.2799,68,4.5966e+07,4.2625e+07,3.3407e+06,0.1271
9.4165,69,4.5228e+07,4.1893e+07,3.3343e+06,0.1277
9.5504,70,4.4506e+07,4.1179e+07,3.3266e+06,0.1257
9.6852,71,4.3808e+07,4.0491e+07,3.3176e+06,0.1256
9.8206,72,4.3134e+07,3.9827e+07,3.3075e+06,0.1269
9.9535,73,4.2480e+07,3.9183e+07,3.2970e+06,0.1241
10.0889,74,4.1844e+07,3.8558e+07,3.2865e+06,0.1268
10.2235,75,4.1220e+07,3.7944e+07,3.2760e+06,0.1261
10.3568,76,4.0602e+07,3.7336e+07,3.2661e+06,0.1249
10.4928,77,3.9983e+07,3.6726e+07,3.2572e+06,0.1274
10.6261,78,3.9366e+07,3.6117e+07,3.2491e+06,0.1248
10.7610,79,3.8754e+07,3.5513e+07,3.2416e+06,0.1266
10.8967,80,3.8150e+07,3.4915e+07,3.2345e+06,0.1272
11.0364,81,3.7561e+07,3.4333e+07,3.2280e+06,0.1312
11.1685,82,3.6998e+07,3.3777e+07,3.2218e+06,0.1236
11.3042,83,3.6467e+07,3.3251e+07,3.2160e+06,0.1272
11.4387,84,3.5962e+07,3.2752e+07,3.2100e+06,0.1261
11.5745,85,3.5482e+07,3.2278e+07,3.2040e+06,0.1275
11.7085,86,3.5022e+07,3.1824e+07,3.1978e+06,0.1254
11.8415,87,3.4574e+07,3.1383e+07,3.1915e+06,0.1248
11.9763,88,3.4130e+07,3.0944e+07,3.1854e+06,0.1266
