run_time,iteration,loss,style_loss,content_loss,time
0.1181,0,1.1581e+09,1.1581e+09,0.0000e+00,0.1181
0.2544,1,9.7116e+08,9.7082e+08,3.4099e+05,0.1250
0.3886,2,7.3729e+08,7.3652e+08,7.7522e+05,0.1254
0.5221,3,5.6266e+08,5.6147e+08,1.1930e+06,0.1248
0.6574,4,4.6194e+08,4.6042e+08,1.5219e+06,0.1251
0.7882,5,3.9730e+08,3.9560e+08,1.6985e+06,0.1224
0.9302,6,3.4641e+08,3.4466e+08,1.7500e+06,0.1336
1.0656,7,3.1176e+08,3.1001e+08,1.7498e+06,0.1268
1.1971,8,2.9175e+08,2.8999e+08,1.7600e+06,0.1235
1.3304,9,2.7864e+08,2.7684e+08,1.8027e+06,0.1250
1.4621,10,2.6726e+08,2.6540e+08,1.8638e+06,0.1237
1.5945,11,2.5623e+08,2.5431e+08,1.9233e+06,0.1243
1.7272,12,2.4606e+08,2.4408e+08,1.9737e+06,0.1247
1.8609,13,2.3706e+08,2.3505e+08,2.0052e+06,0.1253
1.9975,14,2.2927e+08,2.2726e+08,2.0176e+06,0.1281
2.1295,15,2.2238e+08,2.2036e+08,2.0144e+06,0.1238
2.2641,16,2.1595e+08,2.1395e+08,2.0023e+06,0.1262
2.3979,17,2.0943e+08,2.0744e+08,1.9866e+06,0.1260
2.5297,18,2.0256e+08,2.0059e+08,1.9753e+06,0.1235
2.6654,19,1.9541e+08,1.9344e+08,1.9704e+06,0.1269
2.7991,20,1.8835e+08,1.8638e+08,1.9706e+06,0.1247
2.9341,21,1.8169e+08,1.7971e+08,1.9747e+06,0.1255
3.0696,22,1.7556e+08,1.7358e+08,1.9795e+06,0.1266
3.2027,23,1.6987e+08,1.6788e+08,1.9846e+06,0.1244
3.3375,24,1.6447e+08,1.6248e+08,1.9889e+06,0.1266
3.4715,25,1.5938e+08,1.5739e+08,1.9916e+06,0.1250
3.6029,26,1.5457e+08,1.5258e+08,1.9921e+06,0.1232
3.7373,27,1.4996e+08,1.4797e+08,1.9926e+06,0.1262
3.8713,28,1.4550e+08,1.4351e+08,1.9944e+06,0.1248
4.0064,29,1.4117e+08,1.3917e+08,1.9974e+06,0.1252
4.1425,30,1.3701e+08,1.3501e+08,2.0002e+06,0.1272
4.2745,31,1.3307e+08,1.3107e+08,2.0030e+06,0.1230
4.4100,32,1.2939e+08,1.2739e+08,2.0051e+06,0.1269
4.5424,33,1.2596e+08,1.2396e+08,2.0063e+06,0.1241
4.6764,34,1.2277e+08,1.2076e+08,2.0066e+06,0.1257
4.8114,35,1.1977e+08,1.1776e+08,2.0062e+06,0.1269
4.9438,36,1.1698e+08,1.1497e+08,2.0061e+06,0.1243
5.0798,37,1.1436e+08,1.1235e+08,2.0068e+06,0.1276
5.2148,38,1.1186e+08,1.0986e+08,2.0083e+06,0.1267
5.3452,39,1.0942e+08,1.0741e+08,2.0104e+06,0.1225
5.4803,40,1.0700e+08,1.0499e+08,2.0124e+06,0.1267
5.6124,41,1.0462e+08,1.0260e+08,2.0148e+06,0.1240
5.7477,42,1.0230e+08,1.0028e+08,2.0167e+06,0.1272
5.8823,43,1.0006e+08,9.8044e+07,2.0188e+06,0.1266
6.0148,44,9.7951e+07,9.5930e+07,2.0204e+06,0.1238
6.1499,45,9.5953e+07,9.3932e+07,2.0213e+06,0.1270
6.2821,46,9.4053e+07,9.2031e+07,2.0213e+06,0.1242
6.4167,47,9.2252e+07,9.0231e+07,2.0212e+06,0.1266
6.5510,48,9.0530e+07,8.8509e+07,2.0213e+06,0.1260
6.6837,49,8.8854e+07,8.6831e+07,2.0225e+06,0.1247
6.8203,50,8.7215e+07,8.5190e+07,2.0243e+06,0.1275
6.9534,51,8.5610e+07,8.3584e+07,2.0265e+06,0.1245
7.0882,52,8.4040e+07,8.2011e+07,2.0290e+06,0.1263
7.2227,53,8.2501e+07,8.0469e+07,2.0321e+06,0.1265
7.3544,54,8.0997e+07,7.8963e+07,2.0347e+06,0.1238
7.4887,55,7.9528e+07,7.7492e+07,2.0359e+06,0.1261
7.6208,56,7.8093e+07,7.6057e+07,2.0357e+06,0.1241
7.7547,57,7.6696e+07,7.4662e+07,2.0347e+06,0.1258
7.8886,58,7.5348e+07,7.3315e+07,2.0330e+06,0.1260
8.0239,59,7.4036e+07,7.2006e+07,2.0308e+06,0.1238
