run_time,iteration,loss,style_loss,content_loss,time
0.1199,0,1.1704e+09,1.1704e+09,0.0000e+00,0.1199
0.2558,1,9.3847e+08,9.3810e+08,3.7112e+05,0.1246
0.3907,2,6.8001e+08,6.7912e+08,8.9107e+05,0.1261
0.5219,3,4.9828e+08,4.9684e+08,1.4338e+06,0.1228
0.6561,4,4.0468e+08,4.0277e+08,1.9110e+06,0.1260
0.7881,5,3.4208e+08,3.3985e+08,2.2289e+06,0.1237
0.9281,6,2.9322e+08,2.9084e+08,2.3778e+06,0.1317
1.0633,7,2.6126e+08,2.5881e+08,2.4455e+06,0.1269
1.1952,8,2.4093e+08,2.3843e+08,2.4962e+06,0.1234
1.3295,9,2.2588e+08,2.2333e+08,2.5557e+06,0.1259
1.4644,10,2.1245e+08,2.0982e+08,2.6272e+06,0.1261
1.5952,11,1.9921e+08,1.9650e+08,2.7094e+06,0.1227
1.7301,12,1.8555e+08,1.8276e+08,2.7951e+06,0.1265
1.8702,13,1.7174e+08,1.6886e+08,2.8735e+06,0.1237
2.0027,14,1.5857e+08,1.5563e+08,2.9398e+06,0.1239
2.1376,15,1.4672e+08,1.4373e+08,2.9904e+06,0.1267
2.2691,16,1.3637e+08,1.3335e+08,3.0237e+06,0.1234
2.4031,17,1.2734e+08,1.2430e+08,3.0401e+06,0.1257
2.5354,18,1.1927e+08,1.1622e+08,3.0430e+06,0.1244
2.6687,19,1.1190e+08,1.0886e+08,3.0399e+06,0.1251
2.8038,20,1.0508e+08,1.0205e+08,3.0325e+06,0.1268
2.9361,21,9.8841e+07,9.5816e+07,3.0253e+06,0.1240
3.0705,22,9.3257e+07,9.0239e+07,3.0187e+06,0.1261
3.2031,23,8.8404e+07,8.5389e+07,3.0153e+06,0.1240
3.3382,24,8.4271e+07,8.1257e+07,3.0140e+06,0.1268
3.4777,25,8.0758e+07,7.7743e+07,3.0142e+06,0.1232
3.6103,26,7.7806e+07,7.4792e+07,3.0143e+06,0.1245
3.7440,27,7.5316e+07,7.2302e+07,3.0134e+06,0.1255
3.8786,28,7.3187e+07,7.0175e+07,3.0128e+06,0.1264
4.0104,29,7.1339e+07,6.8328e+07,3.0113e+06,0.1237
4.1452,30,6.9656e+07,6.6647e+07,3.0092e+06,0.1263
4.2779,31,6.8094e+07,6.5088e+07,3.0059e+06,0.1248
4.4134,32,6.6572e+07,6.3571e+07,3.0010e+06,0.1270
4.5482,33,6.5059e+07,6.2063e+07,2.9954e+06,0.1266
4.6802,34,6.3530e+07,6.0540e+07,2.9902e+06,0.1234
4.8144,35,6.1992e+07,5.9007e+07,2.9853e+06,0.1259
4.9461,36,6.0452e+07,5.7472e+07,2.9806e+06,0.1235
5.0805,37,5.8928e+07,5.5952e+07,2.9764e+06,0.1263
5.2139,38,5.7472e+07,5.4500e+07,2.9719e+06,0.1254
5.3471,39,5.6093e+07,5.3126e+07,2.9670e+06,0.1249
5.4833,40,5.4801e+07,5.1840e+07,2.9612e+06,0.1274
5.6149,41,5.3603e+07,5.0648e+07,2.9550e+06,0.1233
5.7499,42,5.2484e+07,4.9536e+07,2.9483e+06,0.1264
5.8843,43,5.1431e+07,4.8491e+07,2.9402e+06,0.1261
6.0159,44,5.0441e+07,4.7509e+07,2.9319e+06,0.1227
