run_time,iteration,loss,style_loss,content_loss,time
0.6615,0,1.9766e+08,1.9766e+08,0.0000e+00,0.6615
0.7948,1,1.0261e+08,1.0224e+08,3.7400e+05,0.1204
0.9356,2,5.4224e+07,5.3445e+07,7.7869e+05,0.1326
1.0704,3,3.6192e+07,3.5303e+07,8.8905e+05,0.1264
1.2044,4,3.4602e+07,3.3630e+07,9.7245e+05,0.1250
1.3354,5,3.4329e+07,3.3253e+07,1.0756e+06,0.1228
1.4712,6,3.1753e+07,3.0586e+07,1.1665e+06,0.1275
1.6022,7,2.7679e+07,2.6458e+07,1.2211e+06,0.1229
1.7364,8,2.3373e+07,2.2132e+07,1.2411e+06,0.1258
1.8680,9,2.0360e+07,1.9117e+07,1.2439e+06,0.1237
2.0016,10,1.8628e+07,1.7380e+07,1.2486e+06,0.1255
2.1353,11,1.7476e+07,1.6214e+07,1.2614e+06,0.1256
2.2667,12,1.6581e+07,1.5300e+07,1.2809e+06,0.1234
2.4051,13,1.5908e+07,1.4605e+07,1.3029e+06,0.1301
2.5400,14,1.5341e+07,1.4020e+07,1.3209e+06,0.1246
2.6748,15,1.4851e+07,1.3517e+07,1.3337e+06,0.1257
2.8088,16,1.4535e+07,1.3192e+07,1.3431e+06,0.1254
2.9403,17,1.4401e+07,1.3048e+07,1.3537e+06,0.1235
3.0751,18,1.4315e+07,1.2948e+07,1.3666e+06,0.1267
3.2064,19,1.4135e+07,1.2755e+07,1.3804e+06,0.1232
3.3401,20,1.3858e+07,1.2465e+07,1.3932e+06,0.1258
3.4740,21,1.3533e+07,1.2132e+07,1.4013e+06,0.1256
3.6115,22,1.3164e+07,1.1762e+07,1.4019e+06,0.1222
3.7457,23,1.2741e+07,1.1346e+07,1.3951e+06,0.1259
3.8809,24,1.2305e+07,1.0922e+07,1.3823e+06,0.1265
4.0131,25,1.1918e+07,1.0550e+07,1.3678e+06,0.1228
4.1483,26,1.1589e+07,1.0234e+07,1.3551e+06,0.1266
4.2791,27,1.1291e+07,9.9444e+06,1.3464e+06,0.1228
4.4161,28,1.1004e+07,9.6619e+06,1.3420e+06,0.1284
4.5516,29,1.0738e+07,9.3968e+06,1.3414e+06,0.1270
4.6825,30,1.0517e+07,9.1736e+06,1.3432e+06,0.1226
4.8177,31,1.0346e+07,9.0004e+06,1.3456e+06,0.1262
4.9499,32,1.0204e+07,8.8575e+06,1.3461e+06,0.1242
5.0840,33,1.0073e+07,8.7293e+06,1.3439e+06,0.1259
5.2186,34,9.9575e+06,8.6183e+06,1.3393e+06,0.1263
5.3491,35,9.8632e+06,8.5302e+06,1.3329e+06,0.1225
5.4849,36,9.7785e+06,8.4524e+06,1.3261e+06,0.1263
5.6157,37,9.6788e+06,8.3592e+06,1.3196e+06,0.1227
5.7502,38,9.5553e+06,8.2411e+06,1.3143e+06,0.1264
5.8825,39,9.4199e+06,8.1100e+06,1.3099e+06,0.1243
6.0165,40,9.2871e+06,7.9807e+06,1.3064e+06,0.1257
6.1517,41,9.1625e+06,7.8591e+06,1.3034e+06,0.1270
6.2844,42,9.0351e+06,7.7348e+06,1.3003e+06,0.1245
6.4188,43,8.8961e+06,7.5992e+06,1.2969e+06,0.1261
6.5502,44,8.7444e+06,7.4515e+06,1.2929e+06,0.1232
6.6853,45,8.5950e+06,7.3064e+06,1.2886e+06,0.1267
6.8197,46,8.4600e+06,7.1753e+06,1.2846e+06,0.1258
6.9514,47,8.3363e+06,7.0551e+06,1.2812e+06,0.1238
7.0865,48,8.2146e+06,6.9360e+06,1.2786e+06,0.1266
7.2185,49,8.0936e+06,6.8168e+06,1.2768e+06,0.1239
7.3518,50,7.9798e+06,6.7043e+06,1.2755e+06,0.1252
7.4938,51,7.8819e+06,6.6076e+06,1.2742e+06,0.1246
7.6264,52,7.7984e+06,6.5258e+06,1.2726e+06,0.1238
7.7601,53,7.7200e+06,6.4498e+06,1.2702e+06,0.1256
7.8945,54,7.6374e+06,6.3705e+06,1.2669e+06,0.1263
8.0266,55,7.5488e+06,6.2862e+06,1.2625e+06,0.1241
8.1615,56,7.4589e+06,6.2012e+06,1.2577e+06,0.1269
8.2943,57,7.3697e+06,6.1171e+06,1.2526e+06,0.1247
8.4289,58,7.2789e+06,6.0309e+06,1.2479e+06,0.1264
8.5640,59,7.1810e+06,5.9372e+06,1.2439e+06,0.1267
8.6947,60,7.0754e+06,5.8352e+06,1.2402e+06,0.1226
8.8292,61,6.9663e+06,5.7297e+06,1.2366e+06,0.1263
8.9613,62,6.8599e+06,5.6271e+06,1.2328e+06,0.1238
9.0954,63,6.7592e+06,5.5307e+06,1.2285e+06,0.1257
9.2283,64,6.6633e+06,5.4397e+06,1.2235e+06,0.1248
9.3640,65,6.5687e+06,5.3512e+06,1.2175e+06,0.1278
9.5013,66,6.4751e+06,5.2646e+06,1.2106e+06,0.1239
9.6342,67,6.3857e+06,5.1826e+06,1.2032e+06,0.1247
9.7666,68,6.3029e+06,5.1071e+06,1.1959e+06,0.1244
9.9006,69,6.2249e+06,5.0357e+06,1.1892e+06,0.1260
10.0319,70,6.1483e+06,4.9648e+06,1.1835e+06,0.1233
10.1665,71,6.0703e+06,4.8914e+06,1.1789e+06,0.1264
10.2998,72,5.9919e+06,4.8166e+06,1.1753e+06,0.1246
10.4345,73,5.9172e+06,4.7447e+06,1.1725e+06,0.1262
10.5685,74,5.8488e+06,4.6790e+06,1.1698e+06,0.1257
10.7003,75,5.7849e+06,4.6183e+06,1.1666e+06,0.1238
10.8353,76,5.7208e+06,4.5581e+06,1.1627e+06,0.1270
10.9670,77,5.6540e+06,4.4961e+06,1.1579e+06,0.1236
11.1018,78,5.5859e+06,4.4336e+06,1.1523e+06,0.1267
11.2330,79,5.5189e+06,4.3727e+06,1.1462e+06,0.1233
11.3676,80,5.4536e+06,4.3137e+06,1.1399e+06,0.1267
11.5054,81,5.3877e+06,4.2540e+06,1.1337e+06,0.1295
11.6377,82,5.3177e+06,4.1896e+06,1.1280e+06,0.1241
11.7732,83,5.2431e+06,4.1202e+06,1.1229e+06,0.1273
11.9074,84,5.1674e+06,4.0492e+06,1.1183e+06,0.1251
12.0383,85,5.0954e+06,3.9813e+06,1.1140e+06,0.1229
12.1726,86,5.0290e+06,3.9190e+06,1.1099e+06,0.1264
12.3037,87,4.9662e+06,3.8603e+06,1.1058e+06,0.1231
12.4399,88,4.9038e+06,3.8023e+06,1.1015e+06,0.1273
12.5734,89,4.8412e+06,3.7444e+06,1.0968e+06,0.1248
12.7069,90,4.7798e+06,3.6880e+06,1.0918e+06,0.1255
12.8419,91,4.7219e+06,3.6350e+06,1.0869e+06,0.1265
12.9728,92,4.6669e+06,3.5847e+06,1.0822e+06,0.1231
13.1072,93,4.6124e+06,3.5343e+06,1.0781e+06,0.1265
13.2387,94,4.5563e+06,3.4819e+06,1.0744e+06,0.1236
13.3735,95,4.4997e+06,3.4284e+06,1.0714e+06,0.1269
13.5071,96,4.4457e+06,3.3770e+06,1.0687e+06,0.1254
13.6409,97,4.3961e+06,3.3301e+06,1.0660e+06,0.1257
13.7745,98,4.3500e+06,3.2868e+06,1.0631e+06,0.1246
13.9062,99,4.3042e+06,3.2444e+06,1.0597e+06,0.1237
14.0407,100,4.2565e+06,3.2007e+06,1.0558e+06,0.1265
14.1755,101,4.2074e+06,3.1560e+06,1.0513e+06,0.1239
14.3084,102,4.1593e+06,3.1126e+06,1.0467e+06,0.1248
14.4456,103,4.1136e+06,3.0716e+06,1.0420e+06,0.1283
14.5811,104,4.0691e+06,3.0315e+06,1.0376e+06,0.1237
14.7138,105,4.0237e+06,2.9902e+06,1.0334e+06,0.1247
14.8481,106,3.9764e+06,2.9468e+06,1.0296e+06,0.1259
14.9801,107,3.9288e+06,2.9028e+06,1.0261e+06,0.1240
15.1144,108,3.8834e+06,2.8607e+06,1.0227e+06,0.1257
15.2475,109,3.8401e+06,2.8209e+06,1.0192e+06,0.1247
15.3830,110,3.7975e+06,2.7820e+06,1.0155e+06,0.1277
15.5191,111,3.7539e+06,2.7424e+06,1.0115e+06,0.1254
15.6506,112,3.7093e+06,2.7021e+06,1.0072e+06,0.1232
15.7849,113,3.6659e+06,2.6632e+06,1.0027e+06,0.1261
15.9171,114,3.6253e+06,2.6270e+06,9.9828e+05,0.1243
16.0504,115,3.5870e+06,2.5928e+06,9.9423e+05,0.1255
16.1852,116,3.5492e+06,2.5586e+06,9.9059e+05,0.1261
16.3184,117,3.5112e+06,2.5239e+06,9.8723e+05,0.1244
16.4536,118,3.4741e+06,2.4900e+06,9.8418e+05,0.1268
16.5871,119,3.4397e+06,2.4585e+06,9.8119e+05,0.1253
16.7196,120,3.4080e+06,2.4299e+06,9.7809e+05,0.1244
16.8538,121,3.3770e+06,2.4023e+06,9.7472e+05,0.1261
16.9843,122,3.3442e+06,2.3733e+06,9.7086e+05,0.1227
17.1194,123,3.3092e+06,2.3427e+06,9.6648e+05,0.1271
17.2515,124,3.2737e+06,2.3119e+06,9.6179e+05,0.1242
