run_time,iteration,loss,style_loss,content_loss,time
0.1193,0,3.7174e+08,3.7174e+08,0.0000e+00,0.1193
0.2518,1,2.3234e+08,2.3198e+08,3.6007e+05,0.1233
0.3861,2,1.2391e+08,1.2312e+08,7.9018e+05,0.1258
0.5166,3,6.9889e+07,6.8749e+07,1.1400e+06,0.1222
0.6506,4,5.7792e+07,5.6502e+07,1.2898e+06,0.1258
0.7815,5,5.1174e+07,4.9875e+07,1.2986e+06,0.1228
0.9222,6,4.8732e+07,4.7434e+07,1.2979e+06,0.1324
1.0582,7,4.7025e+07,4.5696e+07,1.3291e+06,0.1276
1.1897,8,4.3119e+07,4.1736e+07,1.3831e+06,0.1232
1.3235,9,3.8464e+07,3.7024e+07,1.4401e+06,0.1256
1.4554,10,3.4839e+07,3.3354e+07,1.4847e+06,0.1239
1.5876,11,3.2248e+07,3.0736e+07,1.5122e+06,0.1241
1.7207,12,2.9978e+07,2.8456e+07,1.5216e+06,0.1251
1.8534,13,2.7941e+07,2.6421e+07,1.5202e+06,0.1247
1.9897,14,2.6417e+07,2.4902e+07,1.5152e+06,0.1282
2.1211,15,2.5404e+07,2.3888e+07,1.5160e+06,0.1232
2.2561,16,2.4624e+07,2.3099e+07,1.5252e+06,0.1262
2.3903,17,2.3841e+07,2.2300e+07,1.5412e+06,0.1260
2.5224,18,2.3061e+07,2.1501e+07,1.5597e+06,0.1239
2.6568,19,2.2386e+07,2.0809e+07,1.5772e+06,0.1262
2.7878,20,2.1837e+07,2.0246e+07,1.5909e+06,0.1229
2.9231,21,2.1357e+07,1.9760e+07,1.5972e+06,0.1271
3.0559,22,2.0848e+07,1.9252e+07,1.5962e+06,0.1247
3.1893,23,2.0268e+07,1.8677e+07,1.5905e+06,0.1252
3.3235,24,1.9643e+07,1.8061e+07,1.5828e+06,0.1260
3.4562,25,1.9024e+07,1.7447e+07,1.5763e+06,0.1248
3.5912,26,1.8430e+07,1.6857e+07,1.5730e+06,0.1267
3.7226,27,1.7873e+07,1.6300e+07,1.5723e+06,0.1235
3.8560,28,1.7322e+07,1.5748e+07,1.5735e+06,0.1253
3.9886,29,1.6770e+07,1.5195e+07,1.5754e+06,0.1247
4.1226,30,1.6219e+07,1.4642e+07,1.5764e+06,0.1259
4.2584,31,1.5699e+07,1.4124e+07,1.5751e+06,0.1275
4.3902,32,1.5239e+07,1.3667e+07,1.5715e+06,0.1232
4.5252,33,1.4846e+07,1.3280e+07,1.5654e+06,0.1268
4.6588,34,1.4501e+07,1.2945e+07,1.5566e+06,0.1254
4.7908,35,1.4185e+07,1.2638e+07,1.5470e+06,0.1241
4.9248,36,1.3871e+07,1.2333e+07,1.5379e+06,0.1261
5.0568,37,1.3561e+07,1.2031e+07,1.5304e+06,0.1240
5.1946,38,1.3268e+07,1.1743e+07,1.5251e+06,0.1287
5.3298,39,1.3006e+07,1.1485e+07,1.5210e+06,0.1261
5.4619,40,1.2775e+07,1.1256e+07,1.5181e+06,0.1234
5.5978,41,1.2560e+07,1.1043e+07,1.5165e+06,0.1275
5.7297,42,1.2350e+07,1.0835e+07,1.5151e+06,0.1239
5.8628,43,1.2143e+07,1.0630e+07,1.5137e+06,0.1252
5.9993,44,1.1950e+07,1.0438e+07,1.5116e+06,0.1285
6.1316,45,1.1777e+07,1.0268e+07,1.5086e+06,0.1239
6.2668,46,1.1619e+07,1.0114e+07,1.5053e+06,0.1269
6.3991,47,1.1459e+07,9.9577e+06,1.5013e+06,0.1245
6.5327,48,1.1282e+07,9.7851e+06,1.4969e+06,0.1258
6.6670,49,1.1083e+07,9.5908e+06,1.4925e+06,0.1262
6.7982,50,1.0876e+07,9.3876e+06,1.4881e+06,0.1234
6.9329,51,1.0670e+07,9.1861e+06,1.4841e+06,0.1265
7.0641,52,1.0478e+07,8.9972e+06,1.4804e+06,0.1232
7.1989,53,1.0298e+07,8.8211e+06,1.4767e+06,0.1267
7.3312,54,1.0121e+07,8.6484e+06,1.4726e+06,0.1243
7.4645,55,9.9418e+06,8.4738e+06,1.4680e+06,0.1254
7.5994,56,9.7633e+06,8.3004e+06,1.4628e+06,0.1264
7.7302,57,9.5966e+06,8.1395e+06,1.4571e+06,0.1228
7.8661,58,9.4483e+06,7.9974e+06,1.4508e+06,0.1279
7.9985,59,9.3175e+06,7.8730e+06,1.4445e+06,0.1246
8.1331,60,9.1929e+06,7.7541e+06,1.4388e+06,0.1257
8.2681,61,9.0600e+06,7.6265e+06,1.4335e+06,0.1265
8.3989,62,8.9092e+06,7.4807e+06,1.4286e+06,0.1228
8.5337,63,8.7443e+06,7.3203e+06,1.4241e+06,0.1266
8.6661,64,8.5737e+06,7.1540e+06,1.4197e+06,0.1244
8.7999,65,8.4065e+06,6.9910e+06,1.4155e+06,0.1257
8.9329,66,8.2465e+06,6.8350e+06,1.4115e+06,0.1251
9.0683,67,8.0919e+06,6.6844e+06,1.4075e+06,0.1231
9.2044,68,7.9402e+06,6.5365e+06,1.4037e+06,0.1277
9.3371,69,7.7938e+06,6.3937e+06,1.4001e+06,0.1244
9.4696,70,7.6595e+06,6.2627e+06,1.3968e+06,0.1245
9.6044,71,7.5432e+06,6.1491e+06,1.3940e+06,0.1262
9.7352,72,7.4445e+06,6.0531e+06,1.3914e+06,0.1224
9.8704,73,7.3558e+06,5.9668e+06,1.3890e+06,0.1270
10.0016,74,7.2669e+06,5.8803e+06,1.3866e+06,0.1232
10.1360,75,7.1696e+06,5.7858e+06,1.3838e+06,0.1258
10.2690,76,7.0635e+06,5.6828e+06,1.3808e+06,0.1247
10.4023,77,6.9546e+06,5.5777e+06,1.3769e+06,0.1252
10.5374,78,6.8511e+06,5.4785e+06,1.3725e+06,0.1267
10.6690,79,6.7556e+06,5.3878e+06,1.3678e+06,0.1233
10.8049,80,6.6653e+06,5.3024e+06,1.3628e+06,0.1277
10.9375,81,6.5740e+06,5.2164e+06,1.3576e+06,0.1241
11.0721,82,6.4773e+06,5.1247e+06,1.3525e+06,0.1262
11.2111,83,6.3748e+06,5.0270e+06,1.3478e+06,0.1306
11.3430,84,6.2720e+06,4.9281e+06,1.3439e+06,0.1238
11.4772,85,6.1745e+06,4.8338e+06,1.3406e+06,0.1261
11.6116,86,6.0855e+06,4.7475e+06,1.3380e+06,0.1264
11.7430,87,6.0033e+06,4.6676e+06,1.3357e+06,0.1234
11.8778,88,5.9227e+06,4.5891e+06,1.3336e+06,0.1266
12.0097,89,5.8384e+06,4.5072e+06,1.3313e+06,0.1240
12.1476,90,5.7495e+06,4.4209e+06,1.3285e+06,0.1295
12.2831,91,5.6577e+06,4.3326e+06,1.3252e+06,0.1264
12.4150,92,5.5695e+06,4.2482e+06,1.3213e+06,0.1238
12.5500,93,5.4900e+06,4.1728e+06,1.3171e+06,0.1264
12.6820,94,5.4207e+06,4.1079e+06,1.3128e+06,0.1239
12.8169,95,5.3594e+06,4.0509e+06,1.3085e+06,0.1267
12.9513,96,5.3000e+06,3.9956e+06,1.3044e+06,0.1263
13.0828,97,5.2386e+06,3.9379e+06,1.3008e+06,0.1235
13.2199,98,5.1745e+06,3.8770e+06,1.2974e+06,0.1289
13.3527,99,5.1104e+06,3.8160e+06,1.2944e+06,0.1246
13.4857,100,5.0496e+06,3.7579e+06,1.2916e+06,0.1250
13.6235,101,4.9937e+06,3.7048e+06,1.2889e+06,0.1269
