run_time,iteration,loss,style_loss,content_loss,time
0.1211,0,4.6317e+07,4.6317e+07,0.0000e+00,0.1210
0.2594,1,4.4182e+07,4.3847e+07,3.3579e+05,0.1277
0.3914,2,3.9577e+07,3.9097e+07,4.8011e+05,0.1242
0.5269,3,3.7273e+07,3.6691e+07,5.8183e+05,0.1274
0.6616,4,3.5348e+07,3.4710e+07,6.3741e+05,0.1266
0.7937,5,3.3830e+07,3.3157e+07,6.7345e+05,0.1238
0.9302,6,3.2396e+07,3.1696e+07,7.0027e+05,0.1284
1.0625,7,3.1073e+07,3.0349e+07,7.2449e+05,0.1250
1.1953,8,2.9925e+07,2.9176e+07,7.4943e+05,0.1256
1.3279,9,2.8907e+07,2.8136e+07,7.7077e+05,0.1255
1.4579,10,2.7971e+07,2.7183e+07,7.8752e+05,0.1231
1.5885,11,2.7118e+07,2.6316e+07,8.0171e+05,0.1236
1.7210,12,2.6313e+07,2.5498e+07,8.1487e+05,0.1254
1.8529,13,2.5555e+07,2.4727e+07,8.2717e+05,0.1249
1.9838,14,2.4819e+07,2.3981e+07,8.3874e+05,0.1240
2.1148,15,2.4125e+07,2.3276e+07,8.4948e+05,0.1239
2.2475,16,2.3476e+07,2.2616e+07,8.6001e+05,0.1252
2.3780,17,2.2865e+07,2.1996e+07,8.6987e+05,0.1230
2.5113,18,2.2285e+07,2.1406e+07,8.7887e+05,0.1260
2.6424,19,2.1743e+07,2.0856e+07,8.8694e+05,0.1236
2.7746,20,2.1233e+07,2.0338e+07,8.9532e+05,0.1247
2.9054,21,2.0750e+07,1.9846e+07,9.0335e+05,0.1234
3.0372,22,2.0282e+07,1.9371e+07,9.1074e+05,0.1245
3.1685,23,1.9833e+07,1.8915e+07,9.1815e+05,0.1234
3.2999,24,1.9398e+07,1.8473e+07,9.2548e+05,0.1244
3.4293,25,1.8982e+07,1.8050e+07,9.3272e+05,0.1226
3.5620,26,1.8588e+07,1.7648e+07,9.4001e+05,0.1258
3.6926,27,1.8219e+07,1.7272e+07,9.4661e+05,0.1231
3.8244,28,1.7871e+07,1.6919e+07,9.5196e+05,0.1249
3.9530,29,1.7532e+07,1.6576e+07,9.5620e+05,0.1218
4.0850,30,1.7199e+07,1.6239e+07,9.5964e+05,0.1250
4.2153,31,1.6868e+07,1.5904e+07,9.6342e+05,0.1232
4.3497,32,1.6544e+07,1.5576e+07,9.6750e+05,0.1266
4.4804,33,1.6237e+07,1.5266e+07,9.7172e+05,0.1230
4.6140,34,1.5943e+07,1.4967e+07,9.7618e+05,0.1260
4.7438,35,1.5664e+07,1.4683e+07,9.8040e+05,0.1224
4.8763,36,1.5392e+07,1.4407e+07,9.8492e+05,0.1255
5.0070,37,1.5127e+07,1.4138e+07,9.8961e+05,0.1232
5.1402,38,1.4870e+07,1.3876e+07,9.9354e+05,0.1255
5.2712,39,1.4615e+07,1.3618e+07,9.9670e+05,0.1236
5.4062,40,1.4370e+07,1.3370e+07,9.9951e+05,0.1270
5.5356,41,1.4128e+07,1.3126e+07,1.0021e+06,0.1217
5.6708,42,1.3889e+07,1.2884e+07,1.0044e+06,0.1273
5.8031,43,1.3657e+07,1.2650e+07,1.0070e+06,0.1247
5.9377,44,1.3436e+07,1.2427e+07,1.0094e+06,0.1270
