run_time,iteration,loss,style_loss,content_loss,time
0.1177,0,4.7772e+08,4.7772e+08,0.0000e+00,0.1177
0.2484,1,3.6473e+08,3.6439e+08,3.4915e+05,0.1222
0.3817,2,2.3379e+08,2.3302e+08,7.6673e+05,0.1251
0.5117,3,1.7502e+08,1.7395e+08,1.0737e+06,0.1223
0.6440,4,1.5278e+08,1.5161e+08,1.1707e+06,0.1243
0.7746,5,1.2901e+08,1.2783e+08,1.1794e+06,0.1226
0.9100,6,1.1640e+08,1.1521e+08,1.1979e+06,0.1279
1.0419,7,1.0862e+08,1.0737e+08,1.2511e+06,0.1246
1.1742,8,1.0082e+08,9.9493e+07,1.3284e+06,0.1248
1.3064,9,9.3916e+07,9.2501e+07,1.4156e+06,0.1244
1.4371,10,8.8532e+07,8.7039e+07,1.4934e+06,0.1232
1.5690,11,8.3667e+07,8.2117e+07,1.5498e+06,0.1243
1.7013,12,7.8348e+07,7.6770e+07,1.5775e+06,0.1248
1.8357,13,7.2753e+07,7.1172e+07,1.5813e+06,0.1268
1.9673,14,6.7656e+07,6.6088e+07,1.5683e+06,0.1234
2.1028,15,6.3443e+07,6.1895e+07,1.5474e+06,0.1272
2.2347,16,5.9966e+07,5.8441e+07,1.5248e+06,0.1239
2.3671,17,5.6898e+07,5.5391e+07,1.5068e+06,0.1237
2.4975,18,5.4098e+07,5.2601e+07,1.4965e+06,0.1225
2.6294,19,5.1593e+07,5.0099e+07,1.4939e+06,0.1237
2.7596,20,4.9401e+07,4.7904e+07,1.4969e+06,0.1224
2.8918,21,4.7473e+07,4.5971e+07,1.5016e+06,0.1246
3.0203,22,4.5759e+07,4.4253e+07,1.5055e+06,0.1212
3.1523,23,4.4214e+07,4.2706e+07,1.5073e+06,0.1247
3.2827,24,4.2867e+07,4.1360e+07,1.5072e+06,0.1230
3.4146,25,4.1757e+07,4.0252e+07,1.5050e+06,0.1241
3.5443,26,4.0846e+07,3.9345e+07,1.5012e+06,0.1226
3.6744,27,4.0052e+07,3.8555e+07,1.4970e+06,0.1229
3.8054,28,3.9273e+07,3.7779e+07,1.4935e+06,0.1235
3.9347,29,3.8464e+07,3.6973e+07,1.4910e+06,0.1220
4.0677,30,3.7632e+07,3.6142e+07,1.4901e+06,0.1251
4.1984,31,3.6823e+07,3.5332e+07,1.4905e+06,0.1227
4.3319,32,3.6078e+07,3.4587e+07,1.4917e+06,0.1255
4.4623,33,3.5409e+07,3.3916e+07,1.4932e+06,0.1227
4.5952,34,3.4805e+07,3.3310e+07,1.4951e+06,0.1248
4.7259,35,3.4227e+07,3.2730e+07,1.4972e+06,0.1224
4.8597,36,3.3660e+07,3.2161e+07,1.4994e+06,0.1257
4.9911,37,3.3120e+07,3.1619e+07,1.5012e+06,0.1234
5.1222,38,3.2613e+07,3.1110e+07,1.5035e+06,0.1233
5.2538,39,3.2154e+07,3.0648e+07,1.5062e+06,0.1243
5.3852,40,3.1730e+07,3.0220e+07,1.5096e+06,0.1237
5.5176,41,3.1316e+07,2.9802e+07,1.5138e+06,0.1251
5.6510,42,3.0891e+07,2.9373e+07,1.5185e+06,0.1248
5.7817,43,3.0460e+07,2.8937e+07,1.5229e+06,0.1229
5.9134,44,3.0029e+07,2.8502e+07,1.5269e+06,0.1245
6.0437,45,2.9607e+07,2.8077e+07,1.5301e+06,0.1231
6.1779,46,2.9206e+07,2.7674e+07,1.5320e+06,0.1270
6.3089,47,2.8824e+07,2.7293e+07,1.5318e+06,0.1228
6.4424,48,2.8452e+07,2.6923e+07,1.5292e+06,0.1254
6.5774,49,2.8083e+07,2.6558e+07,1.5249e+06,0.1269
6.7098,50,2.7712e+07,2.6193e+07,1.5190e+06,0.1242
6.8440,51,2.7338e+07,2.5825e+07,1.5122e+06,0.1260
6.9767,52,2.6967e+07,2.5462e+07,1.5051e+06,0.1245
7.1109,53,2.6602e+07,2.5103e+07,1.4986e+06,0.1262
7.2434,54,2.6245e+07,2.4752e+07,1.4930e+06,0.1246
7.3735,55,2.5891e+07,2.4402e+07,1.4888e+06,0.1220
7.5030,56,2.5534e+07,2.4048e+07,1.4857e+06,0.1223
7.6341,57,2.5176e+07,2.3693e+07,1.4837e+06,0.1235
7.7634,58,2.4824e+07,2.3341e+07,1.4827e+06,0.1221
7.8954,59,2.4489e+07,2.3007e+07,1.4826e+06,0.1244
8.0254,60,2.4174e+07,2.2692e+07,1.4826e+06,0.1224
8.1590,61,2.3878e+07,2.2395e+07,1.4826e+06,0.1253
8.2911,62,2.3597e+07,2.2115e+07,1.4821e+06,0.1245
8.4274,63,2.3326e+07,2.1845e+07,1.4808e+06,0.1277
8.5631,64,2.3057e+07,2.1579e+07,1.4787e+06,0.1276
8.6959,65,2.2791e+07,2.1315e+07,1.4756e+06,0.1245
8.8300,66,2.2530e+07,2.1059e+07,1.4715e+06,0.1260
8.9606,67,2.2277e+07,2.0810e+07,1.4669e+06,0.1228
9.0953,68,2.2035e+07,2.0573e+07,1.4624e+06,0.1263
9.2284,69,2.1801e+07,2.0343e+07,1.4583e+06,0.1250
9.3600,70,2.1571e+07,2.0116e+07,1.4553e+06,0.1235
9.4914,71,2.1341e+07,1.9888e+07,1.4534e+06,0.1235
9.6224,72,2.1107e+07,1.9655e+07,1.4521e+06,0.1238
9.7525,73,2.0867e+07,1.9415e+07,1.4517e+06,0.1230
9.8844,74,2.0624e+07,1.9172e+07,1.4519e+06,0.1243
10.0132,75,2.0381e+07,1.8928e+07,1.4526e+06,0.1216
10.1465,76,2.0143e+07,1.8689e+07,1.4532e+06,0.1259
10.2787,77,1.9910e+07,1.8457e+07,1.4535e+06,0.1214
10.4103,78,1.9682e+07,1.8228e+07,1.4532e+06,0.1242
10.5390,79,1.9456e+07,1.8004e+07,1.4521e+06,0.1217
10.6723,80,1.9233e+07,1.7783e+07,1.4500e+06,0.1254
10.8026,81,1.9012e+07,1.7564e+07,1.4472e+06,0.1224
10.9359,82,1.8795e+07,1.7351e+07,1.4440e+06,0.1252
11.0656,83,1.8585e+07,1.7145e+07,1.4403e+06,0.1218
11.1992,84,1.8383e+07,1.6947e+07,1.4364e+06,0.1258
11.3297,85,1.8188e+07,1.6756e+07,1.4326e+06,0.1226
11.4631,86,1.7998e+07,1.6569e+07,1.4293e+06,0.1256
11.5939,87,1.7811e+07,1.6384e+07,1.4266e+06,0.1230
11.7287,88,1.7624e+07,1.6199e+07,1.4245e+06,0.1274
11.8582,89,1.7438e+07,1.6015e+07,1.4230e+06,0.1223
11.9894,90,1.7256e+07,1.5834e+07,1.4222e+06,0.1238
12.1182,91,1.7079e+07,1.5657e+07,1.4220e+06,0.1216
12.2493,92,1.6907e+07,1.5486e+07,1.4219e+06,0.1237
12.3810,93,1.6739e+07,1.5317e+07,1.4218e+06,0.1235
12.5111,94,1.6571e+07,1.5150e+07,1.4215e+06,0.1230
12.6421,95,1.6404e+07,1.4983e+07,1.4209e+06,0.1235
12.7726,96,1.6235e+07,1.4816e+07,1.4198e+06,0.1229
12.9053,97,1.6066e+07,1.4648e+07,1.4180e+06,0.1243
13.0357,98,1.5897e+07,1.4480e+07,1.4160e+06,0.1225
