run_time,iteration,loss,style_loss,content_loss,time
0.1180,0,5.4256e+07,5.4256e+07,0.0000e+00,0.1180
0.2534,1,4.9710e+07,4.9454e+07,2.5588e+05,0.1252
0.3824,2,4.0019e+07,3.9610e+07,4.0870e+05,0.1213
0.5155,3,3.4871e+07,3.4368e+07,5.0291e+05,0.1250
0.6455,4,3.0780e+07,3.0206e+07,5.7392e+05,0.1224
0.7775,5,2.7532e+07,2.6905e+07,6.2650e+05,0.1241
0.9095,6,2.5171e+07,2.4510e+07,6.6162e+05,0.1243
1.0434,7,2.3236e+07,2.2550e+07,6.8646e+05,0.1251
1.1720,8,2.1652e+07,2.0945e+07,7.0701e+05,0.1214
1.3043,9,2.0363e+07,1.9639e+07,7.2397e+05,0.1248
1.4344,10,1.9311e+07,1.8572e+07,7.3873e+05,0.1230
1.5644,11,1.8435e+07,1.7683e+07,7.5210e+05,0.1227
1.6958,12,1.7688e+07,1.6925e+07,7.6297e+05,0.1243
1.8248,13,1.7039e+07,1.6267e+07,7.7222e+05,0.1218
1.9574,14,1.6437e+07,1.5657e+07,7.7986e+05,0.1251
2.0881,15,1.5854e+07,1.5067e+07,7.8732e+05,0.1229
2.2237,16,1.5308e+07,1.4513e+07,7.9506e+05,0.1273
2.3559,17,1.4806e+07,1.4004e+07,8.0206e+05,0.1243
2.4893,18,1.4349e+07,1.3542e+07,8.0765e+05,0.1256
2.6219,19,1.3939e+07,1.3127e+07,8.1193e+05,0.1247
2.7527,20,1.3563e+07,1.2747e+07,8.1619e+05,0.1232
2.8851,21,1.3209e+07,1.2389e+07,8.1996e+05,0.1241
3.0157,22,1.2874e+07,1.2051e+07,8.2274e+05,0.1230
3.1477,23,1.2557e+07,1.1731e+07,8.2545e+05,0.1242
3.2775,24,1.2257e+07,1.1428e+07,8.2820e+05,0.1225
3.4065,25,1.1971e+07,1.1140e+07,8.3097e+05,0.1216
3.5390,26,1.1697e+07,1.0863e+07,8.3365e+05,0.1246
3.6697,27,1.1440e+07,1.0604e+07,8.3591e+05,0.1232
3.8027,28,1.1200e+07,1.0362e+07,8.3834e+05,0.1251
3.9324,29,1.0973e+07,1.0132e+07,8.4078e+05,0.1219
4.0656,30,1.0758e+07,9.9146e+06,8.4296e+05,0.1256
4.1942,31,1.0549e+07,9.7040e+06,8.4532e+05,0.1216
4.3278,32,1.0347e+07,9.4986e+06,8.4789e+05,0.1260
4.4569,33,1.0151e+07,9.3002e+06,8.5056e+05,0.1216
4.5900,34,9.9620e+06,9.1084e+06,8.5358e+05,0.1254
4.7252,35,9.7754e+06,8.9190e+06,8.5643e+05,0.1276
4.8583,36,9.5936e+06,8.7342e+06,8.5933e+05,0.1252
4.9908,37,9.4186e+06,8.5564e+06,8.6214e+05,0.1247
5.1247,38,9.2481e+06,8.3836e+06,8.6460e+05,0.1261
5.2582,39,9.0836e+06,8.2170e+06,8.6660e+05,0.1253
5.3898,40,8.9255e+06,8.0575e+06,8.6800e+05,0.1240
5.5230,41,8.7753e+06,7.9061e+06,8.6915e+05,0.1257
5.6522,42,8.6305e+06,7.7607e+06,8.6986e+05,0.1219
5.7830,43,8.4900e+06,7.6198e+06,8.7020e+05,0.1235
5.9152,44,8.3543e+06,7.4840e+06,8.7027e+05,0.1248
6.0457,45,8.2225e+06,7.3520e+06,8.7043e+05,0.1233
6.1774,46,8.0910e+06,7.2205e+06,8.7048e+05,0.1246
6.3067,47,7.9601e+06,7.0895e+06,8.7067e+05,0.1221
6.4393,48,7.8324e+06,6.9611e+06,8.7131e+05,0.1253
6.5768,49,7.7106e+06,6.8385e+06,8.7204e+05,0.1295
6.7087,50,7.5945e+06,6.7221e+06,8.7243e+05,0.1243
6.8413,51,7.4835e+06,6.6109e+06,8.7252e+05,0.1245
6.9707,52,7.3754e+06,6.5031e+06,8.7236e+05,0.1217
7.1030,53,7.2708e+06,6.3988e+06,8.7194e+05,0.1244
7.2334,54,7.1703e+06,6.2990e+06,8.7129e+05,0.1224
7.3656,55,7.0730e+06,6.2026e+06,8.7043e+05,0.1245
7.4974,56,6.9778e+06,6.1083e+06,8.6952e+05,0.1240
7.6289,57,6.8845e+06,6.0161e+06,8.6842e+05,0.1237
7.7606,58,6.7916e+06,5.9244e+06,8.6713e+05,0.1244
7.8914,59,6.6988e+06,5.8330e+06,8.6586e+05,0.1230
8.0291,60,6.6089e+06,5.7441e+06,8.6481e+05,0.1305
8.1587,61,6.5210e+06,5.6571e+06,8.6381e+05,0.1221
8.2881,62,6.4372e+06,5.5743e+06,8.6289e+05,0.1222
8.4205,63,6.3568e+06,5.4949e+06,8.6191e+05,0.1252
8.5509,64,6.2786e+06,5.4178e+06,8.6084e+05,0.1232
8.6808,65,6.2030e+06,5.3432e+06,8.5985e+05,0.1228
8.8144,66,6.1298e+06,5.2712e+06,8.5861e+05,0.1254
8.9488,67,6.0573e+06,5.1999e+06,8.5733e+05,0.1240
9.0797,68,5.9861e+06,5.1302e+06,8.5590e+05,0.1232
9.2120,69,5.9164e+06,5.0620e+06,8.5437e+05,0.1244
9.3435,70,5.8486e+06,4.9956e+06,8.5298e+05,0.1237
9.4781,71,5.7829e+06,4.9313e+06,8.5160e+05,0.1266
9.6093,72,5.7181e+06,4.8678e+06,8.5028e+05,0.1235
9.7452,73,5.6546e+06,4.8055e+06,8.4908e+05,0.1277
9.8750,74,5.5917e+06,4.7439e+06,8.4781e+05,0.1216
10.0079,75,5.5290e+06,4.6825e+06,8.4644e+05,0.1258
10.1360,76,5.4668e+06,4.6219e+06,8.4490e+05,0.1210
10.2674,77,5.4058e+06,4.5626e+06,8.4317e+05,0.1240
10.3979,78,5.3463e+06,4.5050e+06,8.4135e+05,0.1230
10.5284,79,5.2878e+06,4.4483e+06,8.3950e+05,0.1233
10.6586,80,5.2310e+06,4.3933e+06,8.3762e+05,0.1231
10.7914,81,5.1763e+06,4.3405e+06,8.3579e+05,0.1258
10.9219,82,5.1223e+06,4.2883e+06,8.3393e+05,0.1234
11.0524,83,5.0690e+06,4.2369e+06,8.3203e+05,0.1234
11.1847,84,5.0158e+06,4.1856e+06,8.3021e+05,0.1246
