run_time,iteration,loss,style_loss,content_loss,time
0.1182,0,5.8480e+08,5.8480e+08,0.0000e+00,0.1182
0.2516,1,4.6397e+08,4.6363e+08,3.4089e+05,0.1245
0.3808,2,3.0322e+08,3.0249e+08,7.3046e+05,0.1221
0.5139,3,2.1139e+08,2.1034e+08,1.0572e+06,0.1255
0.6443,4,1.8603e+08,1.8481e+08,1.2190e+06,0.1227
0.7774,5,1.5970e+08,1.5844e+08,1.2606e+06,0.1251
0.9098,6,1.4096e+08,1.3969e+08,1.2741e+06,0.1245
1.0442,7,1.3176e+08,1.3044e+08,1.3162e+06,0.1264
1.1735,8,1.2341e+08,1.2202e+08,1.3897e+06,0.1215
1.3069,9,1.1499e+08,1.1351e+08,1.4787e+06,0.1252
1.4382,10,1.0814e+08,1.0657e+08,1.5735e+06,0.1234
1.5717,11,1.0280e+08,1.0114e+08,1.6581e+06,0.1251
1.7014,12,9.7529e+07,9.5809e+07,1.7200e+06,0.1222
1.8345,13,9.1530e+07,8.9775e+07,1.7545e+06,0.1252
1.9630,14,8.5212e+07,8.3449e+07,1.7625e+06,0.1213
2.0953,15,7.9469e+07,7.7716e+07,1.7529e+06,0.1249
2.2240,16,7.4688e+07,7.2955e+07,1.7326e+06,0.1215
2.3555,17,7.0678e+07,6.8968e+07,1.7099e+06,0.1241
2.4855,18,6.7136e+07,6.5445e+07,1.6907e+06,0.1228
2.6161,19,6.3896e+07,6.2219e+07,1.6772e+06,0.1233
2.7491,20,6.0969e+07,5.9299e+07,1.6693e+06,0.1252
2.8810,21,5.8386e+07,5.6721e+07,1.6653e+06,0.1240
3.0133,22,5.6132e+07,5.4468e+07,1.6635e+06,0.1245
3.1460,23,5.4114e+07,5.2452e+07,1.6617e+06,0.1246
3.2751,24,5.2256e+07,5.0598e+07,1.6583e+06,0.1219
3.4051,25,5.0545e+07,4.8893e+07,1.6527e+06,0.1227
3.5370,26,4.9038e+07,4.7393e+07,1.6451e+06,0.1236
3.6677,27,4.7769e+07,4.6133e+07,1.6367e+06,0.1228
3.8007,28,4.6730e+07,4.5102e+07,1.6282e+06,0.1248
3.9312,29,4.5828e+07,4.4207e+07,1.6206e+06,0.1224
4.0640,30,4.4974e+07,4.3360e+07,1.6148e+06,0.1244
4.1944,31,4.4112e+07,4.2501e+07,1.6105e+06,0.1225
