run_time,iteration,loss,style_loss,content_loss,time
0.1182,0,3.6365e+08,3.6365e+08,0.0000e+00,0.1182
0.2535,1,2.7628e+08,2.7594e+08,3.3958e+05,0.1265
0.3839,2,1.7748e+08,1.7676e+08,7.2415e+05,0.1217
0.5152,3,1.4014e+08,1.3915e+08,9.8409e+05,0.1237
0.6437,4,1.1823e+08,1.1719e+08,1.0362e+06,0.1215
0.7759,5,9.9972e+07,9.8940e+07,1.0320e+06,0.1252
0.9066,6,9.1564e+07,9.0503e+07,1.0608e+06,0.1238
1.0375,7,8.4680e+07,8.3550e+07,1.1306e+06,0.1242
1.1679,8,7.8183e+07,7.6962e+07,1.2214e+06,0.1237
1.2981,9,7.3393e+07,7.2084e+07,1.3099e+06,0.1218
1.4288,10,6.9337e+07,6.7960e+07,1.3771e+06,0.1236
1.5575,11,6.4723e+07,6.3310e+07,1.4129e+06,0.1220
1.6900,12,5.9760e+07,5.8342e+07,1.4186e+06,0.1250
1.8194,13,5.5357e+07,5.3952e+07,1.4047e+06,0.1220
1.9511,14,5.1805e+07,5.0421e+07,1.3834e+06,0.1242
2.0812,15,4.8870e+07,4.7506e+07,1.3641e+06,0.1226
2.2122,16,4.6223e+07,4.4871e+07,1.3520e+06,0.1234
2.3429,17,4.3791e+07,4.2443e+07,1.3473e+06,0.1233
2.4734,18,4.1678e+07,4.0330e+07,1.3481e+06,0.1231
2.6068,19,3.9916e+07,3.8564e+07,1.3515e+06,0.1256
2.7378,20,3.8416e+07,3.7061e+07,1.3548e+06,0.1239
2.8699,21,3.7089e+07,3.5733e+07,1.3557e+06,0.1251
2.9987,22,3.5926e+07,3.4573e+07,1.3535e+06,0.1220
3.1303,23,3.4952e+07,3.3604e+07,1.3483e+06,0.1246
3.2593,24,3.4149e+07,3.2808e+07,1.3410e+06,0.1221
3.3906,25,3.3445e+07,3.2111e+07,1.3336e+06,0.1242
3.5189,26,3.2758e+07,3.1431e+07,1.3271e+06,0.1214
3.6502,27,3.2033e+07,3.0710e+07,1.3223e+06,0.1246
3.7819,28,3.1295e+07,2.9975e+07,1.3200e+06,0.1241
3.9152,29,3.0607e+07,2.9287e+07,1.3196e+06,0.1257
4.0471,30,3.0014e+07,2.8693e+07,1.3208e+06,0.1240
4.1824,31,2.9519e+07,2.8196e+07,1.3226e+06,0.1272
4.3140,32,2.9087e+07,2.7763e+07,1.3238e+06,0.1239
4.4475,33,2.8670e+07,2.7345e+07,1.3243e+06,0.1258
4.5789,34,2.8245e+07,2.6921e+07,1.3240e+06,0.1212
4.7112,35,2.7824e+07,2.6501e+07,1.3229e+06,0.1245
