run_time,iteration,loss,style_loss,content_loss,time
0.1207,0,1.7349e+07,1.7349e+07,0.0000e+00,0.1207
0.2531,1,2.7571e+07,2.7267e+07,3.0370e+05,0.1238
0.3778,2,2.4596e+07,2.4217e+07,3.7822e+05,0.1240
0.5063,3,2.2316e+07,2.1881e+07,4.3465e+05,0.1278
0.6346,4,2.1235e+07,2.0788e+07,4.4691e+05,0.1277
0.7623,5,2.0303e+07,1.9845e+07,4.5791e+05,0.1269
0.8908,6,1.9436e+07,1.8963e+07,4.7225e+05,0.1276
1.0204,7,1.8722e+07,1.8239e+07,4.8241e+05,0.1290
1.1450,8,1.8093e+07,1.7604e+07,4.8821e+05,0.1238
1.2703,9,1.7494e+07,1.7001e+07,4.9297e+05,0.1247
1.3982,10,1.6914e+07,1.6414e+07,5.0005e+05,0.1271
1.5296,11,1.6374e+07,1.5866e+07,5.0791e+05,0.1235
1.6610,12,1.5899e+07,1.5384e+07,5.1488e+05,0.1239
1.7926,13,1.5472e+07,1.4951e+07,5.2082e+05,0.1244
1.9259,14,1.5088e+07,1.4563e+07,5.2572e+05,0.1257
2.0577,15,1.4723e+07,1.4192e+07,5.3053e+05,0.1235
2.1896,16,1.4371e+07,1.3836e+07,5.3462e+05,0.1243
2.3199,17,1.4044e+07,1.3505e+07,5.3840e+05,0.1228
2.4510,18,1.3741e+07,1.3199e+07,5.4237e+05,0.1237
2.5843,19,1.3452e+07,1.2905e+07,5.4662e+05,0.1258
2.7165,20,1.3171e+07,1.2621e+07,5.5031e+05,0.1248
2.8488,21,1.2907e+07,1.2353e+07,5.5419e+05,0.1246
2.9813,22,1.2654e+07,1.2096e+07,5.5799e+05,0.1248
3.1138,23,1.2410e+07,1.1849e+07,5.6177e+05,0.1244
3.2476,24,1.2172e+07,1.1607e+07,5.6536e+05,0.1261
3.3767,25,1.1942e+07,1.1373e+07,5.6907e+05,0.1215
3.5097,26,1.1729e+07,1.1156e+07,5.7279e+05,0.1259
3.6393,27,1.1532e+07,1.0955e+07,5.7617e+05,0.1222
3.7700,28,1.1348e+07,1.0769e+07,5.7899e+05,0.1234
3.9021,29,1.1172e+07,1.0591e+07,5.8190e+05,0.1246
4.0330,30,1.0998e+07,1.0413e+07,5.8501e+05,0.1234
4.1648,31,1.0823e+07,1.0235e+07,5.8800e+05,0.1246
4.2948,32,1.0648e+07,1.0057e+07,5.9066e+05,0.1226
4.4277,33,1.0480e+07,9.8873e+06,5.9311e+05,0.1255
4.5587,34,1.0321e+07,9.7254e+06,5.9526e+05,0.1233
4.6929,35,1.0168e+07,9.5711e+06,5.9703e+05,0.1264
4.8247,36,1.0016e+07,9.4178e+06,5.9854e+05,0.1247
4.9558,37,9.8661e+06,9.2661e+06,5.9999e+05,0.1236
5.0854,38,9.7190e+06,9.1174e+06,6.0162e+05,0.1225
5.2186,39,9.5761e+06,8.9728e+06,6.0327e+05,0.1251
5.3474,40,9.4345e+06,8.8295e+06,6.0498e+05,0.1217
5.4800,41,9.2973e+06,8.6905e+06,6.0677e+05,0.1252
