run_time,iteration,loss,style_loss,content_loss,time
0.1230,0,1.9071e+08,1.9071e+08,0.0000e+00,0.1230
0.2543,1,1.5526e+08,1.5497e+08,2.9183e+05,0.1201
0.3881,2,1.0498e+08,1.0437e+08,6.0756e+05,0.1239
0.5171,3,8.0670e+07,7.9889e+07,7.8033e+05,0.1215
0.6499,4,6.3704e+07,6.2884e+07,8.2036e+05,0.1248
0.7802,5,5.3975e+07,5.3129e+07,8.4607e+05,0.1229
0.9217,6,4.6679e+07,4.5779e+07,9.0071e+05,0.1338
1.0542,7,4.1672e+07,4.0714e+07,9.5778e+05,0.1248
1.1834,8,3.8272e+07,3.7273e+07,9.9861e+05,0.1217
1.3166,9,3.5525e+07,3.4504e+07,1.0209e+06,0.1255
1.4459,10,3.3238e+07,3.2210e+07,1.0275e+06,0.1220
1.5788,11,3.1173e+07,3.0149e+07,1.0248e+06,0.1253
1.7086,12,2.9200e+07,2.8181e+07,1.0186e+06,0.1218
1.8410,13,2.7388e+07,2.6376e+07,1.0115e+06,0.1245
1.9712,14,2.5828e+07,2.4824e+07,1.0033e+06,0.1226
2.1020,15,2.4522e+07,2.3526e+07,9.9622e+05,0.1235
2.2373,16,2.3393e+07,2.2403e+07,9.8975e+05,0.1278
2.3719,17,2.2407e+07,2.1423e+07,9.8419e+05,0.1264
2.5030,18,2.1572e+07,2.0593e+07,9.7922e+05,0.1231
2.6371,19,2.0863e+07,1.9888e+07,9.7501e+05,0.1261
2.7675,20,2.0222e+07,1.9252e+07,9.7014e+05,0.1227
2.8993,21,1.9644e+07,1.8679e+07,9.6483e+05,0.1244
3.0283,22,1.9131e+07,1.8171e+07,9.5929e+05,0.1218
3.1631,23,1.8690e+07,1.7737e+07,9.5287e+05,0.1271
3.2944,24,1.8307e+07,1.7361e+07,9.4580e+05,0.1211
3.4262,25,1.7965e+07,1.7027e+07,9.3837e+05,0.1246
3.5569,26,1.7652e+07,1.6721e+07,9.3075e+05,0.1231
3.6906,27,1.7355e+07,1.6431e+07,9.2331e+05,0.1260
3.8205,28,1.7079e+07,1.6163e+07,9.1553e+05,0.1222
3.9534,29,1.6820e+07,1.5913e+07,9.0703e+05,0.1251
4.0840,30,1.6562e+07,1.5664e+07,8.9802e+05,0.1230
4.2175,31,1.6299e+07,1.5410e+07,8.8841e+05,0.1258
4.3476,32,1.6028e+07,1.5149e+07,8.7864e+05,0.1227
4.4794,33,1.5754e+07,1.4885e+07,8.6928e+05,0.1243
4.6096,34,1.5484e+07,1.4623e+07,8.6055e+05,0.1228
4.7428,35,1.5223e+07,1.4370e+07,8.5244e+05,0.1247
4.8721,36,1.4967e+07,1.4122e+07,8.4498e+05,0.1217
5.0059,37,1.4717e+07,1.3878e+07,8.3880e+05,0.1261
5.1358,38,1.4470e+07,1.3637e+07,8.3365e+05,0.1227
5.2728,39,1.4229e+07,1.3400e+07,8.2938e+05,0.1293
5.4041,40,1.3993e+07,1.3167e+07,8.2612e+05,0.1238
5.5361,41,1.3764e+07,1.2941e+07,8.2372e+05,0.1246
5.6679,42,1.3541e+07,1.2719e+07,8.2192e+05,0.1240
5.7996,43,1.3323e+07,1.2502e+07,8.2046e+05,0.1241
5.9399,44,1.3108e+07,1.2289e+07,8.1842e+05,0.1329
6.0696,45,1.2899e+07,1.2083e+07,8.1576e+05,0.1222
6.2029,46,1.2696e+07,1.1884e+07,8.1245e+05,0.1258
6.3333,47,1.2499e+07,1.1690e+07,8.0843e+05,0.1206
6.4667,48,1.2307e+07,1.1503e+07,8.0437e+05,0.1262
6.5990,49,1.2121e+07,1.1321e+07,8.0026e+05,0.1248
6.7321,50,1.1941e+07,1.1145e+07,7.9629e+05,0.1254
6.8643,51,1.1767e+07,1.0974e+07,7.9250e+05,0.1249
6.9952,52,1.1595e+07,1.0806e+07,7.8913e+05,0.1237
