run_time,iteration,loss,style_loss,content_loss,time
0.1205,0,1.9451e+07,1.9451e+07,0.0000e+00,0.1205
0.2541,1,3.3633e+07,3.3368e+07,2.6486e+05,0.1242
0.3794,2,2.8470e+07,2.8130e+07,3.3973e+05,0.1246
0.5120,3,2.7088e+07,2.6683e+07,4.0432e+05,0.1318
0.6372,4,2.5949e+07,2.5510e+07,4.3964e+05,0.1244
0.7633,5,2.4430e+07,2.3970e+07,4.5990e+05,0.1255
0.8917,6,2.3080e+07,2.2607e+07,4.7342e+05,0.1276
1.0199,7,2.1917e+07,2.1431e+07,4.8556e+05,0.1275
1.1456,8,2.0922e+07,2.0425e+07,4.9656e+05,0.1249
1.2708,9,2.0036e+07,1.9529e+07,5.0729e+05,0.1245
1.3972,10,1.9223e+07,1.8707e+07,5.1540e+05,0.1256
1.5288,11,1.8453e+07,1.7934e+07,5.1918e+05,0.1239
1.6586,12,1.7716e+07,1.7195e+07,5.2104e+05,0.1225
1.7913,13,1.7033e+07,1.6511e+07,5.2210e+05,0.1249
1.9229,14,1.6410e+07,1.5886e+07,5.2393e+05,0.1240
2.0553,15,1.5842e+07,1.5314e+07,5.2789e+05,0.1248
2.1850,16,1.5319e+07,1.4787e+07,5.3267e+05,0.1224
2.3173,17,1.4849e+07,1.4310e+07,5.3866e+05,0.1242
2.4485,18,1.4419e+07,1.3875e+07,5.4400e+05,0.1238
2.5815,19,1.4013e+07,1.3464e+07,5.4906e+05,0.1256
2.7115,20,1.3621e+07,1.3068e+07,5.5293e+05,0.1228
2.8429,21,1.3243e+07,1.2687e+07,5.5623e+05,0.1240
2.9717,22,1.2890e+07,1.2331e+07,5.5917e+05,0.1217
3.1043,23,1.2553e+07,1.1992e+07,5.6158e+05,0.1255
3.2334,24,1.2233e+07,1.1670e+07,5.6353e+05,0.1217
3.3653,25,1.1922e+07,1.1356e+07,5.6587e+05,0.1244
3.4974,26,1.1626e+07,1.1058e+07,5.6838e+05,0.1249
3.6367,27,1.1353e+07,1.0783e+07,5.7017e+05,0.1304
3.7679,28,1.1103e+07,1.0532e+07,5.7153e+05,0.1237
3.8992,29,1.0871e+07,1.0299e+07,5.7222e+05,0.1235
4.0286,30,1.0650e+07,1.0077e+07,5.7221e+05,0.1222
4.1600,31,1.0436e+07,9.8646e+06,5.7157e+05,0.1239
4.2885,32,1.0225e+07,9.6541e+06,5.7062e+05,0.1209
4.4226,33,1.0016e+07,9.4462e+06,5.6948e+05,0.1267
4.5521,34,9.8110e+06,9.2425e+06,5.6846e+05,0.1220
4.6867,35,9.6151e+06,9.0476e+06,5.6752e+05,0.1246
4.8173,36,9.4325e+06,8.8657e+06,5.6676e+05,0.1232
4.9518,37,9.2633e+06,8.6973e+06,5.6608e+05,0.1265
5.0929,38,9.1016e+06,8.5359e+06,5.6566e+05,0.1338
5.2228,39,8.9443e+06,8.3793e+06,5.6496e+05,0.1222
5.3574,40,8.7860e+06,8.2225e+06,5.6352e+05,0.1263
5.4870,41,8.6299e+06,8.0680e+06,5.6198e+05,0.1221
5.6204,42,8.4747e+06,7.9144e+06,5.6027e+05,0.1261
5.7515,43,8.3203e+06,7.7616e+06,5.5868e+05,0.1232
5.8853,44,8.1683e+06,7.6112e+06,5.5716e+05,0.1260
6.0180,45,8.0213e+06,7.4650e+06,5.5629e+05,0.1249
6.1516,46,7.8822e+06,7.3266e+06,5.5559e+05,0.1261
6.2835,47,7.7524e+06,7.1976e+06,5.5483e+05,0.1243
6.4138,48,7.6309e+06,7.0770e+06,5.5382e+05,0.1228
6.5452,49,7.5143e+06,6.9615e+06,5.5275e+05,0.1241
6.6783,50,7.4024e+06,6.8510e+06,5.5137e+05,0.1250
6.8179,51,7.2950e+06,6.7447e+06,5.5032e+05,0.1320
6.9498,52,7.1872e+06,6.6380e+06,5.4912e+05,0.1243
7.0854,53,7.0791e+06,6.5314e+06,5.4770e+05,0.1284
7.2188,54,6.9724e+06,6.4262e+06,5.4621e+05,0.1255
7.3495,55,6.8679e+06,6.3231e+06,5.4483e+05,0.1234
7.4823,56,6.7681e+06,6.2246e+06,5.4351e+05,0.1249
7.6126,57,6.6752e+06,6.1328e+06,5.4233e+05,0.1227
7.7468,58,6.5865e+06,6.0452e+06,5.4134e+05,0.1267
7.8767,59,6.5032e+06,5.9631e+06,5.4004e+05,0.1222
8.0107,60,6.4205e+06,5.8821e+06,5.3839e+05,0.1259
8.1418,61,6.3374e+06,5.8008e+06,5.3654e+05,0.1229
8.2749,62,6.2526e+06,5.7178e+06,5.3475e+05,0.1253
8.4043,63,6.1678e+06,5.6348e+06,5.3304e+05,0.1223
8.5376,64,6.0841e+06,5.5528e+06,5.3134e+05,0.1255
8.6669,65,6.0018e+06,5.4722e+06,5.2958e+05,0.1221
8.7997,66,5.9231e+06,5.3951e+06,5.2792e+05,0.1251
8.9301,67,5.8472e+06,5.3210e+06,5.2618e+05,0.1230
9.0609,68,5.7741e+06,5.2497e+06,5.2442e+05,0.1235
9.1920,69,5.7025e+06,5.1797e+06,5.2279e+05,0.1240
9.3228,70,5.6333e+06,5.1121e+06,5.2125e+05,0.1231
9.4591,71,5.5659e+06,5.0463e+06,5.1954e+05,0.1287
9.5918,72,5.4981e+06,4.9802e+06,5.1791e+05,0.1254
9.7223,73,5.4296e+06,4.9133e+06,5.1635e+05,0.1229
9.8552,74,5.3612e+06,4.8461e+06,5.1504e+05,0.1252
9.9856,75,5.2962e+06,4.7823e+06,5.1394e+05,0.1231
10.1188,76,5.2345e+06,4.7215e+06,5.1304e+05,0.1255
10.2471,77,5.1742e+06,4.6621e+06,5.1214e+05,0.1209
10.3796,78,5.1138e+06,4.6026e+06,5.1121e+05,0.1251
10.5101,79,5.0543e+06,4.5440e+06,5.1028e+05,0.1230
10.6420,80,4.9958e+06,4.4865e+06,5.0933e+05,0.1246
10.7761,81,4.9390e+06,4.4306e+06,5.0843e+05,0.1240
10.9101,82,4.8841e+06,4.3766e+06,5.0748e+05,0.1264
11.0413,83,4.8307e+06,4.3243e+06,5.0636e+05,0.1235
11.1765,84,4.7789e+06,4.2739e+06,5.0505e+05,0.1276
11.3062,85,4.7289e+06,4.2253e+06,5.0364e+05,0.1221
11.4401,86,4.6805e+06,4.1781e+06,5.0238e+05,0.1263
11.5706,87,4.6314e+06,4.1302e+06,5.0122e+05,0.1230
11.7032,88,4.5820e+06,4.0820e+06,4.9999e+05,0.1248
11.8332,89,4.5333e+06,4.0346e+06,4.9872e+05,0.1225
11.9649,90,4.4853e+06,3.9879e+06,4.9745e+05,0.1242
12.0949,91,4.4380e+06,3.9417e+06,4.9626e+05,0.1226
12.2278,92,4.3911e+06,3.8960e+06,4.9506e+05,0.1250
12.3575,93,4.3448e+06,3.8508e+06,4.9397e+05,0.1222
12.4956,94,4.3002e+06,3.8071e+06,4.9308e+05,0.1308
12.6264,95,4.2589e+06,3.7666e+06,4.9227e+05,0.1233
12.7608,96,4.2202e+06,3.7287e+06,4.9149e+05,0.1268
12.8936,97,4.1821e+06,3.6914e+06,4.9067e+05,0.1251
13.0233,98,4.1432e+06,3.6533e+06,4.8993e+05,0.1225
13.1549,99,4.1034e+06,3.6141e+06,4.8928e+05,0.1243
13.2860,100,4.0638e+06,3.5752e+06,4.8862e+05,0.1238
13.4178,101,4.0260e+06,3.5379e+06,4.8810e+05,0.1236
13.5489,102,3.9898e+06,3.5023e+06,4.8750e+05,0.1239
13.6798,103,3.9546e+06,3.4678e+06,4.8687e+05,0.1233
13.8138,104,3.9200e+06,3.4340e+06,4.8608e+05,0.1246
13.9455,105,3.8860e+06,3.4007e+06,4.8529e+05,0.1240
14.0764,106,3.8518e+06,3.3672e+06,4.8461e+05,0.1234
14.2075,107,3.8179e+06,3.3339e+06,4.8403e+05,0.1240
