run_time,iteration,loss,style_loss,content_loss,time
0.1167,0,7.1983e+08,7.1983e+08,0.0000e+00,0.1167
0.2505,1,6.6850e+08,6.6821e+08,2.8983e+05,0.1236
0.3787,2,5.4080e+08,5.4033e+08,4.6248e+05,0.1209
0.5106,3,4.0885e+08,4.0824e+08,6.0902e+05,0.1246
0.6420,4,3.1411e+08,3.1329e+08,8.1839e+05,0.1243
0.7758,5,2.6040e+08,2.5927e+08,1.1326e+06,0.1249
0.9078,6,2.2116e+08,2.1968e+08,1.4797e+06,0.1238
1.0417,7,1.9586e+08,1.9413e+08,1.7259e+06,0.1263
1.1706,8,1.8117e+08,1.7931e+08,1.8524e+06,0.1215
1.3031,9,1.6513e+08,1.6322e+08,1.9180e+06,0.1252
1.4322,10,1.4864e+08,1.4669e+08,1.9520e+06,0.1220
1.5634,11,1.3576e+08,1.3379e+08,1.9723e+06,0.1239
1.6951,12,1.2699e+08,1.2500e+08,1.9910e+06,0.1245
1.8263,13,1.2036e+08,1.1835e+08,2.0128e+06,0.1242
1.9616,14,1.1420e+08,1.1216e+08,2.0395e+06,0.1283
2.0951,15,1.0813e+08,1.0606e+08,2.0689e+06,0.1255
2.2263,16,1.0229e+08,1.0019e+08,2.0984e+06,0.1232
2.3606,17,9.6902e+07,9.4775e+07,2.1271e+06,0.1257
2.4913,18,9.2036e+07,8.9882e+07,2.1536e+06,0.1229
2.6239,19,8.7548e+07,8.5375e+07,2.1728e+06,0.1251
2.7542,20,8.3333e+07,8.1149e+07,2.1842e+06,0.1231
2.8882,21,7.9319e+07,7.7132e+07,2.1868e+06,0.1267
3.0192,22,7.5488e+07,7.3308e+07,2.1805e+06,0.1220
3.1509,23,7.1866e+07,6.9700e+07,2.1661e+06,0.1244
3.2807,24,6.8530e+07,6.6385e+07,2.1454e+06,0.1229
3.4129,25,6.5497e+07,6.3375e+07,2.1219e+06,0.1252
3.5425,26,6.2771e+07,6.0673e+07,2.0972e+06,0.1226
3.6749,27,6.0361e+07,5.8286e+07,2.0756e+06,0.1250
3.8029,28,5.8278e+07,5.6222e+07,2.0564e+06,0.1210
3.9349,29,5.6470e+07,5.4429e+07,2.0410e+06,0.1250
4.0647,30,5.4916e+07,5.2885e+07,2.0307e+06,0.1229
4.1948,31,5.3579e+07,5.1556e+07,2.0229e+06,0.1231
4.3261,32,5.2421e+07,5.0404e+07,2.0172e+06,0.1243
4.4553,33,5.1414e+07,4.9403e+07,2.0116e+06,0.1222
4.5891,34,5.0527e+07,4.8521e+07,2.0056e+06,0.1265
4.7191,35,4.9717e+07,4.7721e+07,1.9963e+06,0.1228
4.8514,36,4.8949e+07,4.6966e+07,1.9833e+06,0.1251
4.9808,37,4.8200e+07,4.6233e+07,1.9669e+06,0.1224
5.1149,38,4.7444e+07,4.5497e+07,1.9475e+06,0.1271
5.2457,39,4.6676e+07,4.4750e+07,1.9254e+06,0.1235
5.3776,40,4.5906e+07,4.4005e+07,1.9003e+06,0.1246
5.5063,41,4.5148e+07,4.3274e+07,1.8744e+06,0.1215
5.6393,42,4.4397e+07,4.2548e+07,1.8487e+06,0.1257
5.7692,43,4.3662e+07,4.1839e+07,1.8237e+06,0.1229
5.9016,44,4.2957e+07,4.1156e+07,1.8013e+06,0.1253
6.0316,45,4.2285e+07,4.0504e+07,1.7815e+06,0.1231
6.1646,46,4.1642e+07,3.9877e+07,1.7645e+06,0.1257
6.2949,47,4.1028e+07,3.9278e+07,1.7503e+06,0.1230
6.4269,48,4.0438e+07,3.8700e+07,1.7383e+06,0.1251
6.5568,49,3.9878e+07,3.8149e+07,1.7289e+06,0.1227
6.6870,50,3.9348e+07,3.7626e+07,1.7216e+06,0.1230
6.8188,51,3.8840e+07,3.7125e+07,1.7152e+06,0.1245
6.9486,52,3.8345e+07,3.6636e+07,1.7090e+06,0.1226
7.0803,53,3.7862e+07,3.6160e+07,1.7024e+06,0.1248
7.2097,54,3.7392e+07,3.5697e+07,1.6948e+06,0.1224
7.3421,55,3.6929e+07,3.5243e+07,1.6862e+06,0.1253
7.4715,56,3.6467e+07,3.4790e+07,1.6770e+06,0.1220
7.6049,57,3.6010e+07,3.4342e+07,1.6673e+06,0.1261
7.7348,58,3.5550e+07,3.3893e+07,1.6565e+06,0.1230
7.8683,59,3.5089e+07,3.3445e+07,1.6446e+06,0.1254
7.9970,60,3.4630e+07,3.2998e+07,1.6324e+06,0.1218
8.1308,61,3.4177e+07,3.2557e+07,1.6197e+06,0.1263
8.2618,62,3.3732e+07,3.2125e+07,1.6075e+06,0.1238
8.3959,63,3.3297e+07,3.1701e+07,1.5957e+06,0.1268
8.5257,64,3.2872e+07,3.1287e+07,1.5850e+06,0.1222
8.6583,65,3.2457e+07,3.0882e+07,1.5756e+06,0.1256
8.7875,66,3.2050e+07,3.0482e+07,1.5674e+06,0.1223
8.9196,67,3.1643e+07,3.0083e+07,1.5602e+06,0.1248
9.0536,68,3.1239e+07,2.9685e+07,1.5540e+06,0.1271
9.1890,69,3.0842e+07,2.9293e+07,1.5491e+06,0.1275
9.3188,70,3.0453e+07,2.8908e+07,1.5452e+06,0.1225
9.4526,71,3.0072e+07,2.8530e+07,1.5417e+06,0.1262
9.5824,72,2.9700e+07,2.8162e+07,1.5388e+06,0.1227
9.7151,73,2.9340e+07,2.7804e+07,1.5359e+06,0.1256
9.8442,74,2.8989e+07,2.7456e+07,1.5332e+06,0.1222
9.9761,75,2.8649e+07,2.7119e+07,1.5303e+06,0.1249
10.1062,76,2.8320e+07,2.6793e+07,1.5270e+06,0.1230
