run_time,iteration,loss,style_loss,content_loss,time
0.1176,0,4.7515e+08,4.7515e+08,0.0000e+00,0.1176
0.2522,1,4.3161e+08,4.3132e+08,2.9044e+05,0.1257
0.3823,2,3.3606e+08,3.3560e+08,4.6271e+05,0.1224
0.5144,3,2.4957e+08,2.4895e+08,6.1497e+05,0.1242
0.6458,4,1.9912e+08,1.9828e+08,8.4651e+05,0.1239
0.7796,5,1.6640e+08,1.6524e+08,1.1540e+06,0.1254
0.9130,6,1.4294e+08,1.4154e+08,1.3956e+06,0.1261
1.0445,7,1.2864e+08,1.2711e+08,1.5238e+06,0.1244
1.1751,8,1.1409e+08,1.1250e+08,1.5841e+06,0.1235
1.3067,9,1.0043e+08,9.8813e+07,1.6151e+06,0.1244
1.4359,10,9.0718e+07,8.9086e+07,1.6317e+06,0.1221
1.5686,11,8.4573e+07,8.2930e+07,1.6428e+06,0.1253
1.6985,12,7.9982e+07,7.8326e+07,1.6564e+06,0.1228
1.8305,13,7.5800e+07,7.4124e+07,1.6765e+06,0.1248
1.9610,14,7.1869e+07,7.0169e+07,1.7006e+06,0.1235
2.0932,15,6.8223e+07,6.6498e+07,1.7257e+06,0.1250
2.2220,16,6.4853e+07,6.3105e+07,1.7481e+06,0.1215
2.3568,17,6.1682e+07,5.9920e+07,1.7614e+06,0.1270
2.4856,18,5.8651e+07,5.6886e+07,1.7648e+06,0.1217
2.6188,19,5.5726e+07,5.3972e+07,1.7546e+06,0.1260
2.7478,20,5.2961e+07,5.1229e+07,1.7324e+06,0.1219
2.8806,21,5.0410e+07,4.8706e+07,1.7036e+06,0.1253
3.0113,22,4.8106e+07,4.6434e+07,1.6726e+06,0.1231
3.1440,23,4.6058e+07,4.4415e+07,1.6429e+06,0.1258
3.2735,24,4.4243e+07,4.2624e+07,1.6182e+06,0.1224
3.4041,25,4.2652e+07,4.1052e+07,1.5993e+06,0.1234
3.5353,26,4.1260e+07,3.9674e+07,1.5863e+06,0.1240
3.6691,27,4.0045e+07,3.8466e+07,1.5795e+06,0.1268
3.7994,28,3.8997e+07,3.7421e+07,1.5767e+06,0.1233
3.9306,29,3.8111e+07,3.6536e+07,1.5747e+06,0.1240
4.0608,30,3.7348e+07,3.5776e+07,1.5724e+06,0.1233
4.1909,31,3.6665e+07,3.5097e+07,1.5682e+06,0.1231
4.3231,32,3.6028e+07,3.4468e+07,1.5601e+06,0.1249
4.4531,33,3.5395e+07,3.3847e+07,1.5478e+06,0.1230
4.5856,34,3.4770e+07,3.3238e+07,1.5321e+06,0.1252
4.7204,35,3.4160e+07,3.2647e+07,1.5135e+06,0.1225
4.8519,36,3.3580e+07,3.2087e+07,1.4936e+06,0.1243
4.9842,37,3.3034e+07,3.1561e+07,1.4734e+06,0.1254
