run_time,iteration,loss,style_loss,content_loss,time
0.0687,0,5.7769e+12,5.7769e+12,0.0000e+00,0.0687
0.2204,1,4.4157e+12,4.4157e+12,3.5478e+04,0.0683
0.2949,2,2.8406e+12,2.8406e+12,7.9487e+04,0.0678
0.3718,3,2.0517e+12,2.0517e+12,1.1251e+05,0.0700
0.4468,4,1.8184e+12,1.8184e+12,1.2683e+05,0.0680
0.5218,5,1.5527e+12,1.5527e+12,1.2986e+05,0.0681
0.5967,6,1.3770e+12,1.3770e+12,1.3144e+05,0.0679
0.6723,7,1.2908e+12,1.2908e+12,1.3633e+05,0.0687
0.7470,8,1.2101e+12,1.2101e+12,1.4491e+05,0.0680
0.8214,9,1.1269e+12,1.1269e+12,1.5544e+05,0.0677
0.8959,10,1.0566e+12,1.0566e+12,1.6605e+05,0.0678
0.9703,11,9.9962e+11,9.9962e+11,1.7493e+05,0.0676
1.0448,12,9.4279e+11,9.4279e+11,1.8116e+05,0.0678
1.1196,13,8.7926e+11,8.7926e+11,1.8446e+05,0.0679
1.1939,14,8.1513e+11,8.1513e+11,1.8544e+05,0.0677
1.2688,15,7.5941e+11,7.5941e+11,1.8488e+05,0.0680
1.3433,16,7.1457e+11,7.1457e+11,1.8368e+05,0.0677
1.4236,17,6.7756e+11,6.7756e+11,1.8268e+05,0.0736
1.4979,18,6.4495e+11,6.4495e+11,1.8204e+05,0.0676
1.5724,19,6.1476e+11,6.1476e+11,1.8205e+05,0.0676
1.6468,20,5.8708e+11,5.8708e+11,1.8270e+05,0.0677
1.7214,21,5.6213e+11,5.6213e+11,1.8366e+05,0.0677
1.7956,22,5.4011e+11,5.4011e+11,1.8468e+05,0.0675
1.8718,23,5.2014e+11,5.2014e+11,1.8561e+05,0.0695
1.9467,24,5.0188e+11,5.0188e+11,1.8639e+05,0.0682
2.0233,25,4.8535e+11,4.8535e+11,1.8691e+05,0.0686
2.0984,26,4.7108e+11,4.7108e+11,1.8720e+05,0.0679
2.1730,27,4.5922e+11,4.5922e+11,1.8734e+05,0.0677
2.2475,28,4.4949e+11,4.4949e+11,1.8749e+05,0.0678
2.3219,29,4.4086e+11,4.4086e+11,1.8764e+05,0.0675
2.3967,30,4.3232e+11,4.3232e+11,1.8782e+05,0.0682
2.4718,31,4.2343e+11,4.2343e+11,1.8816e+05,0.0681
2.5467,32,4.1433e+11,4.1433e+11,1.8861e+05,0.0679
2.6210,33,4.0547e+11,4.0547e+11,1.8919e+05,0.0675
