run_time,iteration,loss,style_loss,content_loss,time
0.0700,0,5.7769e+09,5.7769e+09,0.0000e+00,0.0700
0.2210,1,4.4157e+09,4.4157e+09,3.5478e+01,0.0689
0.2965,2,2.8406e+09,2.8406e+09,7.9487e+01,0.0685
0.3729,3,2.0517e+09,2.0517e+09,1.1251e+02,0.0684
0.4473,4,1.8184e+09,1.8184e+09,1.2683e+02,0.0677
0.5216,5,1.5527e+09,1.5527e+09,1.2987e+02,0.0676
0.5961,6,1.3770e+09,1.3770e+09,1.3145e+02,0.0678
0.6707,7,1.2908e+09,1.2908e+09,1.3633e+02,0.0678
0.7453,8,1.2101e+09,1.2101e+09,1.4491e+02,0.0679
0.8196,9,1.1269e+09,1.1269e+09,1.5544e+02,0.0676
0.8939,10,1.0567e+09,1.0567e+09,1.6604e+02,0.0677
0.9683,11,9.9965e+08,9.9965e+08,1.7493e+02,0.0676
1.0428,12,9.4282e+08,9.4282e+08,1.8117e+02,0.0678
1.1173,13,8.7931e+08,8.7931e+08,1.8447e+02,0.0678
1.1920,14,8.1519e+08,8.1519e+08,1.8545e+02,0.0679
1.2672,15,7.5946e+08,7.5946e+08,1.8489e+02,0.0681
1.3419,16,7.1459e+08,7.1459e+08,1.8368e+02,0.0680
1.4168,17,6.7758e+08,6.7758e+08,1.8267e+02,0.0681
1.4912,18,6.4497e+08,6.4497e+08,1.8203e+02,0.0677
1.5658,19,6.1480e+08,6.1480e+08,1.8205e+02,0.0678
1.6404,20,5.8709e+08,5.8709e+08,1.8270e+02,0.0679
1.7150,21,5.6210e+08,5.6210e+08,1.8368e+02,0.0680
1.7895,22,5.4005e+08,5.4005e+08,1.8470e+02,0.0678
1.8638,23,5.2006e+08,5.2006e+08,1.8563e+02,0.0676
1.9386,24,5.0180e+08,5.0180e+08,1.8642e+02,0.0680
2.0201,25,4.8529e+08,4.8529e+08,1.8693e+02,0.0746
2.0944,26,4.7104e+08,4.7104e+08,1.8721e+02,0.0677
2.1691,27,4.5919e+08,4.5919e+08,1.8735e+02,0.0677
2.2452,28,4.4945e+08,4.4945e+08,1.8750e+02,0.0678
2.3198,29,4.4081e+08,4.4081e+08,1.8763e+02,0.0679
2.3949,30,4.3228e+08,4.3228e+08,1.8782e+02,0.0681
2.4696,31,4.2340e+08,4.2340e+08,1.8816e+02,0.0677
2.5442,32,4.1430e+08,4.1430e+08,1.8863e+02,0.0678
2.6209,33,4.0544e+08,4.0543e+08,1.8919e+02,0.0689
2.6980,34,3.9734e+08,3.9734e+08,1.8989e+02,0.0693
2.7748,35,3.9001e+08,3.9001e+08,1.9056e+02,0.0690
2.8513,36,3.8330e+08,3.8330e+08,1.9125e+02,0.0690
2.9269,37,3.7687e+08,3.7687e+08,1.9191e+02,0.0683
