run_time,iteration,loss,style_loss,content_loss,time
0.0737,0,5.7769e+12,5.7769e+12,0.0000e+00,0.0737
0.2259,1,4.4157e+12,4.4157e+12,3.5478e+00,0.0695
0.3016,2,2.8406e+12,2.8406e+12,7.9487e+00,0.0684
0.3782,3,2.0517e+12,2.0517e+12,1.1251e+01,0.0697
0.4528,4,1.8184e+12,1.8184e+12,1.2683e+01,0.0679
0.5278,5,1.5527e+12,1.5527e+12,1.2987e+01,0.0682
0.6024,6,1.3770e+12,1.3770e+12,1.3145e+01,0.0678
0.6770,7,1.2909e+12,1.2909e+12,1.3633e+01,0.0679
0.7520,8,1.2102e+12,1.2102e+12,1.4491e+01,0.0682
0.8269,9,1.1269e+12,1.1269e+12,1.5544e+01,0.0682
0.9019,10,1.0566e+12,1.0566e+12,1.6604e+01,0.0681
0.9766,11,9.9963e+11,9.9963e+11,1.7493e+01,0.0679
1.0594,12,9.4280e+11,9.4280e+11,1.8117e+01,0.0679
1.1338,13,8.7930e+11,8.7930e+11,1.8446e+01,0.0678
1.2085,14,8.1516e+11,8.1516e+11,1.8544e+01,0.0681
1.2831,15,7.5943e+11,7.5943e+11,1.8488e+01,0.0679
1.3582,16,7.1459e+11,7.1459e+11,1.8368e+01,0.0683
1.4328,17,6.7758e+11,6.7758e+11,1.8268e+01,0.0679
1.5076,18,6.4496e+11,6.4496e+11,1.8203e+01,0.0680
1.5820,19,6.1478e+11,6.1478e+11,1.8205e+01,0.0676
1.6565,20,5.8707e+11,5.8707e+11,1.8269e+01,0.0678
1.7312,21,5.6211e+11,5.6211e+11,1.8367e+01,0.0681
1.8061,22,5.4008e+11,5.4008e+11,1.8469e+01,0.0681
1.8827,23,5.2010e+11,5.2010e+11,1.8564e+01,0.0699
1.9575,24,5.0181e+11,5.0181e+11,1.8642e+01,0.0680
2.0326,25,4.8531e+11,4.8531e+11,1.8694e+01,0.0682
2.1075,26,4.7105e+11,4.7105e+11,1.8723e+01,0.0682
