run_time,iteration,loss,style_loss,content_loss,time
0.1213,0,7.2210e+08,7.2210e+08,0.0000e+00,0.1213
0.3278,1,5.5196e+08,5.5195e+08,7.8247e+03,0.1206
0.4622,2,3.5508e+08,3.5507e+08,1.7548e+04,0.1263
0.5925,3,2.5646e+08,2.5644e+08,2.2245e+04,0.1229
0.7273,4,2.2730e+08,2.2728e+08,2.3382e+04,0.1264
0.8577,5,1.9410e+08,1.9407e+08,2.3417e+04,0.1231
0.9914,6,1.7213e+08,1.7211e+08,2.3701e+04,0.1258
1.1255,7,1.6137e+08,1.6135e+08,2.4521e+04,0.1261
1.2618,8,1.5129e+08,1.5127e+08,2.5717e+04,0.1289
1.3967,9,1.4088e+08,1.4086e+08,2.7036e+04,0.1268
1.5278,10,1.3211e+08,1.3208e+08,2.8371e+04,0.1234
1.6625,11,1.2500e+08,1.2497e+08,2.9637e+04,0.1267
1.7960,12,1.1790e+08,1.1787e+08,3.0637e+04,0.1258
1.9278,13,1.0996e+08,1.0992e+08,3.1325e+04,0.1241
2.0622,14,1.0193e+08,1.0190e+08,3.1686e+04,0.1264
2.1936,15,9.4962e+07,9.4930e+07,3.1760e+04,0.1237
2.3292,16,8.9355e+07,8.9323e+07,3.1727e+04,0.1279
2.4616,17,8.4728e+07,8.4696e+07,3.1726e+04,0.1245
2.6422,18,8.0645e+07,8.0614e+07,3.1772e+04,0.1216
2.7765,19,7.6859e+07,7.6827e+07,3.1888e+04,0.1263
2.9091,20,7.3392e+07,7.3360e+07,3.2055e+04,0.1248
3.0416,21,7.0280e+07,7.0247e+07,3.2238e+04,0.1248
3.1752,22,6.7528e+07,6.7495e+07,3.2392e+04,0.1254
3.3069,23,6.5042e+07,6.5010e+07,3.2518e+04,0.1240
3.4433,24,6.2768e+07,6.2735e+07,3.2576e+04,0.1288
3.5754,25,6.0709e+07,6.0676e+07,3.2578e+04,0.1242
3.7088,26,5.8932e+07,5.8899e+07,3.2571e+04,0.1254
3.8424,27,5.7451e+07,5.7419e+07,3.2585e+04,0.1257
3.9745,28,5.6222e+07,5.6189e+07,3.2643e+04,0.1243
4.1085,29,5.5133e+07,5.5101e+07,3.2741e+04,0.1258
4.2394,30,5.4064e+07,5.4031e+07,3.2862e+04,0.1230
4.3754,31,5.2943e+07,5.2910e+07,3.3006e+04,0.1281
4.5075,32,5.1800e+07,5.1767e+07,3.3193e+04,0.1244
4.6422,33,5.0684e+07,5.0651e+07,3.3418e+04,0.1266
4.7767,34,4.9660e+07,4.9627e+07,3.3644e+04,0.1259
4.9089,35,4.8743e+07,4.8709e+07,3.3852e+04,0.1245
5.0451,36,4.7906e+07,4.7872e+07,3.4053e+04,0.1279
5.1773,37,4.7106e+07,4.7072e+07,3.4270e+04,0.1244
5.3116,38,4.6309e+07,4.6275e+07,3.4481e+04,0.1262
5.4459,39,4.5519e+07,4.5484e+07,3.4675e+04,0.1264
5.5807,40,4.4770e+07,4.4735e+07,3.4858e+04,0.1230
5.7145,41,4.4070e+07,4.4035e+07,3.5019e+04,0.1261
5.8471,42,4.3426e+07,4.3391e+07,3.5169e+04,0.1247
5.9825,43,4.2824e+07,4.2788e+07,3.5348e+04,0.1277
6.1190,44,4.2235e+07,4.2199e+07,3.5530e+04,0.1280
6.2537,45,4.1627e+07,4.1591e+07,3.5706e+04,0.1266
6.3869,46,4.0995e+07,4.0959e+07,3.5873e+04,0.1253
6.5220,47,4.0360e+07,4.0324e+07,3.6033e+04,0.1270
6.6532,48,3.9744e+07,3.9708e+07,3.6169e+04,0.1235
6.7870,49,3.9159e+07,3.9122e+07,3.6271e+04,0.1260
6.9198,50,3.8598e+07,3.8562e+07,3.6344e+04,0.1249
7.0537,51,3.8055e+07,3.8019e+07,3.6384e+04,0.1260
7.1891,52,3.7521e+07,3.7484e+07,3.6384e+04,0.1272
7.3210,53,3.6989e+07,3.6953e+07,3.6358e+04,0.1241
7.4549,54,3.6469e+07,3.6433e+07,3.6306e+04,0.1262
7.5860,55,3.5964e+07,3.5927e+07,3.6243e+04,0.1235
7.7274,56,3.5474e+07,3.5438e+07,3.6181e+04,0.1226
7.8622,57,3.4997e+07,3.4961e+07,3.6124e+04,0.1268
7.9953,58,3.4526e+07,3.4490e+07,3.6094e+04,0.1254
8.1281,59,3.4051e+07,3.4015e+07,3.6101e+04,0.1251
8.2631,60,3.3568e+07,3.3532e+07,3.6131e+04,0.1268
8.3950,61,3.3082e+07,3.3046e+07,3.6189e+04,0.1242
8.5310,62,3.2600e+07,3.2564e+07,3.6274e+04,0.1279
8.6650,63,3.2137e+07,3.2101e+07,3.6360e+04,0.1262
8.7974,64,3.1703e+07,3.1667e+07,3.6451e+04,0.1247
8.9314,65,3.1293e+07,3.1256e+07,3.6526e+04,0.1259
9.0631,66,3.0899e+07,3.0862e+07,3.6579e+04,0.1239
9.1988,67,3.0510e+07,3.0474e+07,3.6620e+04,0.1276
9.3311,68,3.0123e+07,3.0086e+07,3.6634e+04,0.1246
9.4769,69,2.9734e+07,2.9698e+07,3.6621e+04,0.1232
9.6106,70,2.9351e+07,2.9314e+07,3.6593e+04,0.1258
9.7450,71,2.8983e+07,2.8947e+07,3.6560e+04,0.1263
9.8771,72,2.8638e+07,2.8601e+07,3.6534e+04,0.1243
10.0111,73,2.8310e+07,2.8273e+07,3.6518e+04,0.1262
10.1464,74,2.7995e+07,2.7959e+07,3.6525e+04,0.1270
10.2786,75,2.7683e+07,2.7647e+07,3.6557e+04,0.1244
10.4140,76,2.7370e+07,2.7333e+07,3.6609e+04,0.1276
10.5463,77,2.7053e+07,2.7016e+07,3.6686e+04,0.1252
10.6804,78,2.6736e+07,2.6699e+07,3.6792e+04,0.1265
10.8146,79,2.6425e+07,2.6388e+07,3.6912e+04,0.1269
10.9461,80,2.6124e+07,2.6087e+07,3.7036e+04,0.1244
11.0810,81,2.5836e+07,2.5798e+07,3.7160e+04,0.1272
11.2133,82,2.5555e+07,2.5518e+07,3.7274e+04,0.1253
11.3485,83,2.5276e+07,2.5238e+07,3.7368e+04,0.1271
11.4805,84,2.4996e+07,2.4958e+07,3.7439e+04,0.1250
11.6135,85,2.4712e+07,2.4674e+07,3.7481e+04,0.1261
11.7477,86,2.4430e+07,2.4392e+07,3.7497e+04,0.1267
11.8776,87,2.4154e+07,2.4116e+07,3.7495e+04,0.1229
12.0111,88,2.3887e+07,2.3849e+07,3.7479e+04,0.1263
12.1412,89,2.3628e+07,2.3591e+07,3.7470e+04,0.1232
12.2752,90,2.3374e+07,2.3337e+07,3.7463e+04,0.1264
12.4052,91,2.3120e+07,2.3083e+07,3.7470e+04,0.1228
12.5386,92,2.2865e+07,2.2828e+07,3.7484e+04,0.1264
12.6694,93,2.2607e+07,2.2570e+07,3.7509e+04,0.1239
12.8037,94,2.2348e+07,2.2311e+07,3.7539e+04,0.1269
12.9650,95,2.2091e+07,2.2053e+07,3.7573e+04,0.1214
13.0956,96,2.1839e+07,2.1802e+07,3.7611e+04,0.1235
13.2294,97,2.1597e+07,2.1560e+07,3.7657e+04,0.1267
13.3595,98,2.1362e+07,2.1324e+07,3.7706e+04,0.1230
13.4915,99,2.1128e+07,2.1090e+07,3.7753e+04,0.1248
13.6334,100,2.0893e+07,2.0855e+07,3.7792e+04,0.1349
13.8161,101,2.0655e+07,2.0617e+07,3.7816e+04,0.1244
13.9453,102,2.0416e+07,2.0378e+07,3.7832e+04,0.1223
14.0791,103,2.0179e+07,2.0142e+07,3.7841e+04,0.1268
14.2092,104,1.9947e+07,1.9909e+07,3.7840e+04,0.1232
14.3426,105,1.9719e+07,1.9681e+07,3.7832e+04,0.1260
14.4763,106,1.9495e+07,1.9457e+07,3.7813e+04,0.1268
14.6142,107,1.9273e+07,1.9235e+07,3.7792e+04,0.1307
14.7484,108,1.9052e+07,1.9014e+07,3.7775e+04,0.1269
14.8792,109,1.8831e+07,1.8793e+07,3.7762e+04,0.1238
15.0131,110,1.8612e+07,1.8574e+07,3.7752e+04,0.1256
15.1433,111,1.8398e+07,1.8360e+07,3.7737e+04,0.1232
15.2783,112,1.8191e+07,1.8153e+07,3.7725e+04,0.1280
15.4121,113,1.7993e+07,1.7955e+07,3.7706e+04,0.1266
15.5447,114,1.7800e+07,1.7762e+07,3.7688e+04,0.1252
15.6805,115,1.7612e+07,1.7574e+07,3.7669e+04,0.1282
15.8120,116,1.7425e+07,1.7388e+07,3.7640e+04,0.1244
15.9458,117,1.7242e+07,1.7205e+07,3.7598e+04,0.1262
16.0790,118,1.7063e+07,1.7025e+07,3.7553e+04,0.1258
16.2438,119,1.6889e+07,1.6851e+07,3.7507e+04,0.1218
16.3740,120,1.6720e+07,1.6682e+07,3.7457e+04,0.1228
16.5078,121,1.6554e+07,1.6517e+07,3.7409e+04,0.1267
16.6393,122,1.6390e+07,1.6353e+07,3.7370e+04,0.1244
16.7748,123,1.6225e+07,1.6188e+07,3.7336e+04,0.1280
16.9144,124,1.6056e+07,1.6019e+07,3.7312e+04,0.1300
17.0490,125,1.5884e+07,1.5847e+07,3.7294e+04,0.1277
17.1835,126,1.5710e+07,1.5672e+07,3.7284e+04,0.1274
17.3201,127,1.5537e+07,1.5500e+07,3.7275e+04,0.1281
17.4501,128,1.5368e+07,1.5330e+07,3.7265e+04,0.1230
17.5833,129,1.5203e+07,1.5166e+07,3.7265e+04,0.1261
17.7152,130,1.5041e+07,1.5004e+07,3.7272e+04,0.1230
17.8545,131,1.4882e+07,1.4844e+07,3.7276e+04,0.1219
17.9875,132,1.4723e+07,1.4685e+07,3.7278e+04,0.1260
18.1175,133,1.4563e+07,1.4526e+07,3.7279e+04,0.1231
18.2510,134,1.4406e+07,1.4368e+07,3.7279e+04,0.1261
