run_time,iteration,loss,style_loss,content_loss,time
0.1188,0,1.1214e+07,1.1214e+07,0.0000e+00,0.1188
0.3357,1,9.5371e+06,9.5255e+06,1.1603e+04,0.1240
0.4714,2,7.5426e+06,7.5224e+06,2.0187e+04,0.1276
0.6036,3,5.7250e+06,5.6981e+06,2.6858e+04,0.1245
0.7369,4,4.5487e+06,4.5179e+06,3.0801e+04,0.1258
0.8684,5,4.0934e+06,4.0605e+06,3.2883e+04,0.1241
1.0053,6,3.8879e+06,3.8541e+06,3.3866e+04,0.1274
1.1442,7,3.6114e+06,3.5771e+06,3.4292e+04,0.1302
1.2790,8,3.2576e+06,3.2229e+06,3.4705e+04,0.1259
1.4162,9,2.9072e+06,2.8718e+06,3.5461e+04,0.1288
1.5518,10,2.6115e+06,2.5749e+06,3.6605e+04,0.1272
1.6870,11,2.3811e+06,2.3435e+06,3.7557e+04,0.1271
1.8190,12,2.2029e+06,2.1646e+06,3.8269e+04,0.1244
1.9548,13,2.0575e+06,2.0189e+06,3.8540e+04,0.1284
2.0873,14,1.9283e+06,1.8900e+06,3.8333e+04,0.1249
2.2228,15,1.8071e+06,1.7693e+06,3.7764e+04,0.1281
2.3598,16,1.6923e+06,1.6553e+06,3.6956e+04,0.1295
3.3915,17,1.5856e+06,1.5495e+06,3.6101e+04,0.1228
3.5255,18,1.4903e+06,1.4549e+06,3.5394e+04,0.1261
3.6571,19,1.4093e+06,1.3744e+06,3.4934e+04,0.1242
3.7905,20,1.3425e+06,1.3079e+06,3.4643e+04,0.1259
3.9211,21,1.2877e+06,1.2533e+06,3.4474e+04,0.1231
4.0551,22,1.2412e+06,1.2068e+06,3.4359e+04,0.1267
4.1907,23,1.1992e+06,1.1649e+06,3.4257e+04,0.1282
4.3248,24,1.1593e+06,1.1252e+06,3.4153e+04,0.1264
4.4592,25,1.1203e+06,1.0862e+06,3.4033e+04,0.1268
4.5908,26,1.0819e+06,1.0480e+06,3.3880e+04,0.1241
4.7255,27,1.0452e+06,1.0115e+06,3.3713e+04,0.1269
4.8576,28,1.0106e+06,9.7708e+05,3.3540e+04,0.1246
4.9922,29,9.7845e+05,9.4509e+05,3.3354e+04,0.1268
5.1271,30,9.4924e+05,9.1613e+05,3.3111e+04,0.1269
5.2603,31,9.2264e+05,8.8981e+05,3.2832e+04,0.1256
5.3956,32,8.9820e+05,8.6559e+05,3.2608e+04,0.1279
5.5293,33,8.7561e+05,8.4322e+05,3.2383e+04,0.1262
5.6627,34,8.5441e+05,8.2223e+05,3.2185e+04,0.1259
5.7981,35,8.3425e+05,8.0226e+05,3.1997e+04,0.1277
5.9311,36,8.1483e+05,7.8299e+05,3.1846e+04,0.1247
6.0672,37,7.9623e+05,7.6448e+05,3.1745e+04,0.1276
6.2037,38,7.7829e+05,7.4663e+05,3.1663e+04,0.1276
6.3362,39,7.6065e+05,7.2906e+05,3.1593e+04,0.1240
6.4743,40,7.4343e+05,7.1189e+05,3.1536e+04,0.1303
6.6093,41,7.2652e+05,6.9507e+05,3.1446e+04,0.1263
6.7412,42,7.0986e+05,6.7854e+05,3.1324e+04,0.1246
6.8759,43,6.9332e+05,6.6213e+05,3.1184e+04,0.1275
7.0086,44,6.7692e+05,6.4593e+05,3.0989e+04,0.1249
7.1419,45,6.6074e+05,6.2998e+05,3.0761e+04,0.1259
7.2762,46,6.4480e+05,6.1428e+05,3.0519e+04,0.1270
7.4084,47,6.2896e+05,5.9872e+05,3.0246e+04,0.1248
7.5435,48,6.1336e+05,5.8340e+05,2.9957e+04,0.1275
7.6753,49,5.9816e+05,5.6850e+05,2.9666e+04,0.1244
7.8106,50,5.8346e+05,5.5408e+05,2.9378e+04,0.1268
7.9452,51,5.6930e+05,5.4018e+05,2.9121e+04,0.1269
8.0781,52,5.5578e+05,5.2689e+05,2.8886e+04,0.1248
8.2157,53,5.4285e+05,5.1418e+05,2.8670e+04,0.1298
8.3506,54,5.3055e+05,5.0206e+05,2.8488e+04,0.1272
8.4843,55,5.1891e+05,4.9057e+05,2.8335e+04,0.1262
8.6193,56,5.0784e+05,4.7965e+05,2.8186e+04,0.1270
8.7530,57,4.9734e+05,4.6930e+05,2.8041e+04,0.1257
8.8876,58,4.8745e+05,4.5954e+05,2.7907e+04,0.1270
9.0243,59,4.7811e+05,4.5032e+05,2.7785e+04,0.1289
9.1696,60,4.6929e+05,4.4162e+05,2.7671e+04,0.1252
9.3059,61,4.6103e+05,4.3347e+05,2.7562e+04,0.1274
9.4387,62,4.5328e+05,4.2584e+05,2.7443e+04,0.1246
9.5734,63,4.4599e+05,4.1866e+05,2.7323e+04,0.1271
9.7065,64,4.3912e+05,4.1190e+05,2.7218e+04,0.1257
9.8401,65,4.3264e+05,4.0551e+05,2.7134e+04,0.1259
9.9780,66,4.2646e+05,3.9939e+05,2.7068e+04,0.1302
10.1129,67,4.2052e+05,3.9353e+05,2.6993e+04,0.1268
10.2475,68,4.1484e+05,3.8792e+05,2.6915e+04,0.1268
10.3854,69,4.0942e+05,3.8257e+05,2.6847e+04,0.1300
10.5191,70,4.0420e+05,3.7744e+05,2.6761e+04,0.1259
10.6519,71,3.9914e+05,3.7247e+05,2.6665e+04,0.1253
10.7860,72,3.9424e+05,3.6767e+05,2.6576e+04,0.1266
10.9199,73,3.8947e+05,3.6298e+05,2.6489e+04,0.1263
11.0579,74,3.8488e+05,3.5848e+05,2.6405e+04,0.1251
11.1935,75,3.8037e+05,3.5407e+05,2.6305e+04,0.1277
11.3273,76,3.7594e+05,3.4974e+05,2.6199e+04,0.1255
11.4633,77,3.7164e+05,3.4554e+05,2.6098e+04,0.1279
11.5993,78,3.6742e+05,3.4143e+05,2.5993e+04,0.1279
11.7337,79,3.6325e+05,3.3737e+05,2.5882e+04,0.1267
11.8709,80,3.5914e+05,3.3337e+05,2.5768e+04,0.1292
12.0075,81,3.5508e+05,3.2943e+05,2.5657e+04,0.1289
12.1424,82,3.5111e+05,3.2556e+05,2.5555e+04,0.1272
12.2759,83,3.4724e+05,3.2178e+05,2.5459e+04,0.1257
12.4103,84,3.4340e+05,3.1804e+05,2.5359e+04,0.1266
12.5436,85,3.3957e+05,3.1433e+05,2.5247e+04,0.1252
12.6784,86,3.3579e+05,3.1066e+05,2.5133e+04,0.1271
12.8139,87,3.3208e+05,3.0706e+05,2.5027e+04,0.1280
12.9460,88,3.2846e+05,3.0353e+05,2.4926e+04,0.1242
13.0826,89,3.2486e+05,3.0002e+05,2.4835e+04,0.1293
13.2157,90,3.2129e+05,2.9654e+05,2.4750e+04,0.1255
13.3499,91,3.1775e+05,2.9308e+05,2.4670e+04,0.1267
13.4877,92,3.1422e+05,2.8962e+05,2.4598e+04,0.1296
13.6240,93,3.1067e+05,2.8615e+05,2.4522e+04,0.1285
13.7599,94,3.0711e+05,2.8267e+05,2.4438e+04,0.1271
13.8989,95,3.0354e+05,2.7919e+05,2.4349e+04,0.1304
14.0369,96,2.9999e+05,2.7574e+05,2.4259e+04,0.1293
14.1755,97,2.9648e+05,2.7231e+05,2.4172e+04,0.1298
14.3091,98,2.9301e+05,2.6893e+05,2.4084e+04,0.1257
14.4417,99,2.8959e+05,2.6560e+05,2.3982e+04,0.1250
14.5769,100,2.8620e+05,2.6233e+05,2.3876e+04,0.1270
14.7895,101,2.8290e+05,2.5913e+05,2.3768e+04,0.1229
14.9247,102,2.7969e+05,2.5602e+05,2.3662e+04,0.1273
