run_time,iteration,loss,style_loss,content_loss,time
0.1185,0,5.6898e+04,5.6898e+04,0.0000e+00,0.1185
0.3218,1,5.5338e+04,4.4435e+04,1.0902e+04,0.1167
0.4536,2,1.7126e+05,3.8804e+04,1.3246e+05,0.1228
0.5773,3,1.2542e+05,3.7308e+04,8.8109e+04,0.1230
0.7006,4,1.0435e+05,3.6272e+04,6.8076e+04,0.1225
0.8227,5,9.2534e+04,3.5239e+04,5.7295e+04,0.1215
0.9453,6,8.3509e+04,3.4169e+04,4.9340e+04,0.1219
1.0674,7,7.7473e+04,3.3040e+04,4.4433e+04,0.1214
1.1943,8,7.2518e+04,3.1903e+04,4.0614e+04,0.1263
1.3175,9,6.8853e+04,3.0786e+04,3.8067e+04,0.1225
1.4422,10,6.5849e+04,2.9699e+04,3.6150e+04,0.1241
1.5662,11,6.3417e+04,2.8646e+04,3.4771e+04,0.1235
1.6893,12,6.1036e+04,2.7630e+04,3.3406e+04,0.1224
1.8131,13,5.8713e+04,2.6653e+04,3.2059e+04,0.1232
1.9393,14,5.6732e+04,2.5718e+04,3.1015e+04,0.1255
2.0634,15,5.5042e+04,2.4823e+04,3.0219e+04,0.1235
2.1938,16,5.3449e+04,2.3970e+04,2.9479e+04,0.1228
2.3209,17,5.1816e+04,2.3159e+04,2.8657e+04,0.1199
2.4472,18,5.0473e+04,2.2388e+04,2.8085e+04,0.1180
2.5773,19,4.9332e+04,2.1658e+04,2.7675e+04,0.1227
2.7055,20,4.8180e+04,2.0967e+04,2.7213e+04,0.1206
2.8320,21,4.7057e+04,2.0315e+04,2.6741e+04,0.1189
2.9622,22,4.5937e+04,1.9703e+04,2.6234e+04,0.1231
3.0900,23,4.4904e+04,1.9128e+04,2.5776e+04,0.1210
3.2170,24,4.4015e+04,1.8592e+04,2.5423e+04,0.1200
3.3479,25,4.3197e+04,1.8092e+04,2.5105e+04,0.1238
3.4757,26,4.2451e+04,1.7628e+04,2.4823e+04,0.1205
3.6027,27,4.1813e+04,1.7199e+04,2.4613e+04,0.1192
3.7320,28,4.1216e+04,1.6805e+04,2.4412e+04,0.1222
3.8595,29,4.0594e+04,1.6444e+04,2.4150e+04,0.1206
3.9856,30,3.9907e+04,1.6115e+04,2.3792e+04,0.1191
4.1129,31,3.9263e+04,1.5818e+04,2.3445e+04,0.1200
4.2421,32,3.8755e+04,1.5551e+04,2.3204e+04,0.1217
4.3706,33,3.8283e+04,1.5313e+04,2.2970e+04,0.1212
4.4996,34,3.7803e+04,1.5104e+04,2.2700e+04,0.1214
4.6287,35,3.7365e+04,1.4922e+04,2.2443e+04,0.1221
4.7556,36,3.6970e+04,1.4766e+04,2.2204e+04,0.1200
4.8845,37,3.6586e+04,1.4635e+04,2.1951e+04,0.1215
5.0145,38,3.6231e+04,1.4529e+04,2.1702e+04,0.1200
5.1418,39,3.5935e+04,1.4445e+04,2.1490e+04,0.1205
5.2709,40,3.5683e+04,1.4383e+04,2.1300e+04,0.1215
5.4008,41,3.5465e+04,1.4342e+04,2.1123e+04,0.1227
5.5293,42,3.5283e+04,1.4320e+04,2.0963e+04,0.1206
5.6599,43,3.5132e+04,1.4316e+04,2.0816e+04,0.1232
5.7883,44,3.4999e+04,1.4330e+04,2.0670e+04,0.1213
5.9163,45,3.4875e+04,1.4359e+04,2.0516e+04,0.1208
6.0456,46,3.4747e+04,1.4403e+04,2.0344e+04,0.1221
6.1726,47,3.4615e+04,1.4460e+04,2.0155e+04,0.1198
6.2998,48,3.4491e+04,1.4529e+04,1.9962e+04,0.1200
6.4335,49,3.4401e+04,1.4610e+04,1.9791e+04,0.1264
6.5610,50,3.4335e+04,1.4700e+04,1.9635e+04,0.1203
6.6910,51,3.4270e+04,1.4799e+04,1.9471e+04,0.1226
