run_time,iteration,loss,style_loss,content_loss,time
0.0878,0,7.2208e+08,7.2208e+08,0.0000e+00,0.0878
0.2624,1,5.5954e+08,5.5194e+08,7.6019e+06,0.0899
0.3627,2,3.7342e+08,3.5463e+08,1.8794e+07,0.0930
0.4618,3,2.8665e+08,2.5474e+08,3.1910e+07,0.0918
0.5616,4,2.6267e+08,2.2087e+08,4.1797e+07,0.0928
0.6626,5,2.3413e+08,1.8683e+08,4.7300e+07,0.0923
0.7626,6,2.1850e+08,1.6722e+08,5.1276e+07,0.0929
0.8640,7,2.1148e+08,1.5606e+08,5.5421e+07,0.0936
0.9638,8,2.0366e+08,1.4377e+08,5.9896e+07,0.0924
1.0646,9,1.9566e+08,1.3128e+08,6.4377e+07,0.0934
1.1656,10,1.8962e+08,1.2117e+08,6.8456e+07,0.0938
1.2648,11,1.8473e+08,1.1299e+08,7.1736e+07,0.0920
1.3638,12,1.7921e+08,1.0514e+08,7.4067e+07,0.0918
1.4631,13,1.7287e+08,9.7274e+07,7.5592e+07,0.0917
1.5628,14,1.6695e+08,9.0319e+07,7.6631e+07,0.0921
1.6628,15,1.6234e+08,8.4829e+07,7.7509e+07,0.0927
1.7632,16,1.5886e+08,8.0407e+07,7.8452e+07,0.0933
1.8633,17,1.5588e+08,7.6307e+07,7.9573e+07,0.0930
1.9645,18,1.5301e+08,7.2141e+07,8.0870e+07,0.0936
2.0660,19,1.5027e+08,6.7996e+07,8.2272e+07,0.0941
2.1687,20,1.4784e+08,6.4176e+07,8.3665e+07,0.0947
2.2711,21,1.4576e+08,6.0832e+07,8.4931e+07,0.0946
2.3785,22,1.4396e+08,5.7985e+07,8.5979e+07,0.0930
2.4774,23,1.4238e+08,5.5609e+07,8.6771e+07,0.0915
2.5767,24,1.4099e+08,5.3675e+07,8.7313e+07,0.0920
2.6762,25,1.3983e+08,5.2175e+07,8.7657e+07,0.0922
2.7763,26,1.3894e+08,5.1070e+07,8.7869e+07,0.0931
2.8770,27,1.3823e+08,5.0210e+07,8.8023e+07,0.0931
2.9776,28,1.3757e+08,4.9379e+07,8.8188e+07,0.0929
3.0780,29,1.3682e+08,4.8425e+07,8.8396e+07,0.0931
3.1786,30,1.3596e+08,4.7292e+07,8.8666e+07,0.0930
3.2790,31,1.3502e+08,4.6034e+07,8.8985e+07,0.0931
3.3800,32,1.3410e+08,4.4787e+07,8.9313e+07,0.0936
3.4812,33,1.3327e+08,4.3665e+07,8.9606e+07,0.0937
3.5823,34,1.3252e+08,4.2698e+07,8.9820e+07,0.0937
3.6831,35,1.3179e+08,4.1865e+07,8.9926e+07,0.0927
3.7830,36,1.3105e+08,4.1133e+07,8.9915e+07,0.0920
3.8830,37,1.3029e+08,4.0493e+07,8.9795e+07,0.0925
3.9832,38,1.2955e+08,3.9950e+07,8.9597e+07,0.0926
4.0829,39,1.2885e+08,3.9490e+07,8.9360e+07,0.0923
4.1824,40,1.2821e+08,3.9086e+07,8.9123e+07,0.0919
4.2816,41,1.2760e+08,3.8671e+07,8.8926e+07,0.0921
4.3812,42,1.2696e+08,3.8176e+07,8.8789e+07,0.0920
4.4815,43,1.2630e+08,3.7572e+07,8.8723e+07,0.0918
4.5820,44,1.2559e+08,3.6871e+07,8.8719e+07,0.0930
4.6846,45,1.2486e+08,3.6106e+07,8.8758e+07,0.0940
4.7867,46,1.2415e+08,3.5336e+07,8.8810e+07,0.0938
4.8873,47,1.2345e+08,3.4600e+07,8.8850e+07,0.0928
4.9886,48,1.2277e+08,3.3917e+07,8.8851e+07,0.0934
5.0896,49,1.2209e+08,3.3304e+07,8.8785e+07,0.0931
5.1909,50,1.2141e+08,3.2764e+07,8.8643e+07,0.0931
5.2919,51,1.2073e+08,3.2298e+07,8.8428e+07,0.0923
5.3920,52,1.2006e+08,3.1903e+07,8.8153e+07,0.0923
5.4922,53,1.1940e+08,3.1564e+07,8.7840e+07,0.0926
5.5944,54,1.1876e+08,3.1245e+07,8.7512e+07,0.0944
5.6947,55,1.1810e+08,3.0911e+07,8.7189e+07,0.0924
5.7952,56,1.1743e+08,3.0541e+07,8.6885e+07,0.0927
5.8959,57,1.1674e+08,3.0132e+07,8.6608e+07,0.0930
5.9969,58,1.1606e+08,2.9700e+07,8.6358e+07,0.0931
6.0984,59,1.1540e+08,2.9269e+07,8.6127e+07,0.0939
6.1996,60,1.1477e+08,2.8862e+07,8.5907e+07,0.0938
6.3003,61,1.1417e+08,2.8489e+07,8.5683e+07,0.0930
6.4016,62,1.1359e+08,2.8156e+07,8.5438e+07,0.0937
6.5029,63,1.1302e+08,2.7860e+07,8.5161e+07,0.0937
6.6048,64,1.1244e+08,2.7588e+07,8.4850e+07,0.0943
6.7060,65,1.1185e+08,2.7343e+07,8.4505e+07,0.0933
