run_time,iteration,loss,style_loss,content_loss,time
0.0687,0,5.7769e+13,5.7769e+13,0.0000e+00,0.0687
0.2204,1,4.4157e+13,4.4157e+13,3.5478e+03,0.0689
0.2959,2,2.8406e+13,2.8406e+13,7.9487e+03,0.0682
0.3710,3,2.0517e+13,2.0517e+13,1.1251e+04,0.0682
0.4459,4,1.8184e+13,1.8184e+13,1.2683e+04,0.0681
0.5207,5,1.5527e+13,1.5527e+13,1.2987e+04,0.0679
0.5951,6,1.3770e+13,1.3770e+13,1.3145e+04,0.0677
0.6703,7,1.2909e+13,1.2909e+13,1.3633e+04,0.0683
0.7463,8,1.2101e+13,1.2101e+13,1.4492e+04,0.0691
0.8211,9,1.1269e+13,1.1269e+13,1.5544e+04,0.0679
0.8958,10,1.0566e+13,1.0566e+13,1.6604e+04,0.0680
0.9707,11,9.9963e+12,9.9963e+12,1.7492e+04,0.0679
1.0454,12,9.4281e+12,9.4281e+12,1.8116e+04,0.0680
1.1198,13,8.7928e+12,8.7928e+12,1.8446e+04,0.0677
1.1940,14,8.1513e+12,8.1513e+12,1.8543e+04,0.0676
1.2735,15,7.5938e+12,7.5938e+12,1.8487e+04,0.0727
1.3488,16,7.1453e+12,7.1453e+12,1.8366e+04,0.0685
1.4241,17,6.7753e+12,6.7753e+12,1.8264e+04,0.0683
1.4987,18,6.4492e+12,6.4492e+12,1.8199e+04,0.0678
1.5735,19,6.1474e+12,6.1474e+12,1.8199e+04,0.0679
1.6483,20,5.8705e+12,5.8705e+12,1.8263e+04,0.0680
1.7229,21,5.6211e+12,5.6211e+12,1.8361e+04,0.0678
1.7975,22,5.4012e+12,5.4012e+12,1.8464e+04,0.0679
1.8722,23,5.2016e+12,5.2016e+12,1.8558e+04,0.0677
1.9472,24,5.0188e+12,5.0188e+12,1.8636e+04,0.0684
2.0228,25,4.8537e+12,4.8537e+12,1.8688e+04,0.0679
2.0974,26,4.7112e+12,4.7112e+12,1.8717e+04,0.0679
2.1753,27,4.5928e+12,4.5928e+12,1.8730e+04,0.0693
2.2501,28,4.4952e+12,4.4952e+12,1.8744e+04,0.0681
2.3248,29,4.4088e+12,4.4088e+12,1.8757e+04,0.0678
2.3992,30,4.3235e+12,4.3235e+12,1.8775e+04,0.0678
2.4739,31,4.2344e+12,4.2344e+12,1.8808e+04,0.0677
2.5487,32,4.1431e+12,4.1431e+12,1.8854e+04,0.0681
2.6234,33,4.0545e+12,4.0545e+12,1.8911e+04,0.0677
2.6980,34,3.9733e+12,3.9733e+12,1.8981e+04,0.0681
2.7730,35,3.8998e+12,3.8998e+12,1.9050e+04,0.0678
2.8500,36,3.8328e+12,3.8328e+12,1.9120e+04,0.0699
2.9247,37,3.7688e+12,3.7688e+12,1.9188e+04,0.0678
2.9998,38,3.7052e+12,3.7052e+12,1.9260e+04,0.0683
3.0746,39,3.6418e+12,3.6418e+12,1.9333e+04,0.0678
3.1494,40,3.5817e+12,3.5817e+12,1.9410e+04,0.0681
3.2240,41,3.5259e+12,3.5259e+12,1.9493e+04,0.0677
3.3038,42,3.4747e+12,3.4747e+12,1.9589e+04,0.0731
3.3788,43,3.4261e+12,3.4261e+12,1.9703e+04,0.0679
3.4536,44,3.3783e+12,3.3783e+12,1.9826e+04,0.0681
3.5282,45,3.3296e+12,3.3296e+12,1.9959e+04,0.0678
3.6028,46,3.2792e+12,3.2792e+12,2.0091e+04,0.0679
3.6778,47,3.2284e+12,3.2284e+12,2.0215e+04,0.0680
3.7526,48,3.1794e+12,3.1794e+12,2.0323e+04,0.0681
3.8274,49,3.1328e+12,3.1328e+12,2.0416e+04,0.0679
3.9023,50,3.0889e+12,3.0889e+12,2.0486e+04,0.0682
3.9769,51,3.0460e+12,3.0460e+12,2.0526e+04,0.0677
4.0519,52,3.0036e+12,3.0036e+12,2.0533e+04,0.0681
4.1268,53,2.9615e+12,2.9615e+12,2.0522e+04,0.0680
4.2015,54,2.9199e+12,2.9199e+12,2.0495e+04,0.0680
4.2764,55,2.8792e+12,2.8792e+12,2.0458e+04,0.0678
4.3514,56,2.8399e+12,2.8399e+12,2.0423e+04,0.0680
4.4260,57,2.8014e+12,2.8014e+12,2.0398e+04,0.0678
4.5006,58,2.7635e+12,2.7635e+12,2.0389e+04,0.0678
4.5756,59,2.7256e+12,2.7256e+12,2.0400e+04,0.0680
4.6503,60,2.6868e+12,2.6868e+12,2.0431e+04,0.0678
4.7253,61,2.6472e+12,2.6472e+12,2.0478e+04,0.0678
4.8000,62,2.6080e+12,2.6080e+12,2.0536e+04,0.0680
4.8749,63,2.5703e+12,2.5703e+12,2.0597e+04,0.0678
4.9496,64,2.5347e+12,2.5347e+12,2.0659e+04,0.0679
5.0251,65,2.5017e+12,2.5017e+12,2.0715e+04,0.0678
5.0996,66,2.4701e+12,2.4701e+12,2.0756e+04,0.0678
5.1746,67,2.4392e+12,2.4392e+12,2.0783e+04,0.0679
5.2494,68,2.4080e+12,2.4080e+12,2.0792e+04,0.0681
5.3282,69,2.3770e+12,2.3770e+12,2.0784e+04,0.0720
5.4030,70,2.3466e+12,2.3466e+12,2.0765e+04,0.0680
5.4780,71,2.3173e+12,2.3173e+12,2.0736e+04,0.0680
5.5526,72,2.2894e+12,2.2894e+12,2.0704e+04,0.0679
5.6273,73,2.2630e+12,2.2630e+12,2.0676e+04,0.0678
5.7022,74,2.2377e+12,2.2377e+12,2.0657e+04,0.0682
5.7803,75,2.2126e+12,2.2126e+12,2.0653e+04,0.0683
5.8552,76,2.1872e+12,2.1872e+12,2.0663e+04,0.0679
5.9298,77,2.1613e+12,2.1613e+12,2.0689e+04,0.0678
6.0052,78,2.1356e+12,2.1356e+12,2.0729e+04,0.0687
6.0802,79,2.1103e+12,2.1103e+12,2.0778e+04,0.0680
6.1546,80,2.0862e+12,2.0862e+12,2.0829e+04,0.0677
6.2295,81,2.0631e+12,2.0631e+12,2.0880e+04,0.0680
6.3045,82,2.0407e+12,2.0407e+12,2.0926e+04,0.0684
6.3799,83,2.0184e+12,2.0184e+12,2.0967e+04,0.0684
6.4546,84,1.9960e+12,1.9960e+12,2.0997e+04,0.0679
6.5291,85,1.9732e+12,1.9732e+12,2.1012e+04,0.0676
6.6037,86,1.9505e+12,1.9505e+12,2.1017e+04,0.0679
6.6785,87,1.9284e+12,1.9284e+12,2.1016e+04,0.0679
6.7532,88,1.9071e+12,1.9071e+12,2.1009e+04,0.0680
6.8278,89,1.8865e+12,1.8865e+12,2.1003e+04,0.0677
6.9023,90,1.8663e+12,1.8663e+12,2.0998e+04,0.0678
6.9770,91,1.8460e+12,1.8460e+12,2.0997e+04,0.0677
7.0522,92,1.8256e+12,1.8256e+12,2.1003e+04,0.0684
7.1273,93,1.8047e+12,1.8047e+12,2.1017e+04,0.0682
7.2018,94,1.7838e+12,1.7838e+12,2.1040e+04,0.0679
7.2764,95,1.7631e+12,1.7631e+12,2.1071e+04,0.0677
7.3548,96,1.7432e+12,1.7432e+12,2.1108e+04,0.0714
7.4295,97,1.7241e+12,1.7241e+12,2.1146e+04,0.0678
7.5040,98,1.7054e+12,1.7054e+12,2.1183e+04,0.0678
7.5794,99,1.6868e+12,1.6868e+12,2.1218e+04,0.0683
7.6544,100,1.6681e+12,1.6681e+12,2.1247e+04,0.0682
7.7837,101,1.6491e+12,1.6491e+12,2.1272e+04,0.0683
7.8589,102,1.6299e+12,1.6299e+12,2.1291e+04,0.0684
7.9336,103,1.6109e+12,1.6109e+12,2.1306e+04,0.0679
8.0086,104,1.5922e+12,1.5922e+12,2.1321e+04,0.0682
8.0854,105,1.5739e+12,1.5739e+12,2.1331e+04,0.0699
8.1599,106,1.5561e+12,1.5561e+12,2.1340e+04,0.0678
8.2349,107,1.5385e+12,1.5385e+12,2.1351e+04,0.0679
8.3095,108,1.5208e+12,1.5208e+12,2.1366e+04,0.0678
8.3878,109,1.5032e+12,1.5032e+12,2.1386e+04,0.0683
8.4627,110,1.4857e+12,1.4857e+12,2.1409e+04,0.0681
8.5373,111,1.4687e+12,1.4687e+12,2.1435e+04,0.0678
8.6146,112,1.4522e+12,1.4522e+12,2.1464e+04,0.0706
8.6904,113,1.4364e+12,1.4364e+12,2.1492e+04,0.0678
8.7650,114,1.4211e+12,1.4211e+12,2.1518e+04,0.0678
8.8397,115,1.4062e+12,1.4062e+12,2.1541e+04,0.0678
8.9144,116,1.3915e+12,1.3915e+12,2.1560e+04,0.0679
8.9894,117,1.3769e+12,1.3769e+12,2.1575e+04,0.0681
9.0641,118,1.3626e+12,1.3626e+12,2.1586e+04,0.0680
9.1398,119,1.3486e+12,1.3486e+12,2.1594e+04,0.0689
9.2146,120,1.3350e+12,1.3350e+12,2.1602e+04,0.0681
9.2891,121,1.3216e+12,1.3216e+12,2.1611e+04,0.0677
9.3636,122,1.3083e+12,1.3083e+12,2.1622e+04,0.0678
9.4385,123,1.2949e+12,1.2949e+12,2.1637e+04,0.0680
9.5130,124,1.2812e+12,1.2812e+12,2.1658e+04,0.0679
9.5878,125,1.2672e+12,1.2672e+12,2.1688e+04,0.0680
9.6623,126,1.2531e+12,1.2531e+12,2.1722e+04,0.0677
9.7430,127,1.2390e+12,1.2390e+12,2.1762e+04,0.0738
9.8178,128,1.2251e+12,1.2251e+12,2.1805e+04,0.0679
9.8924,129,1.2116e+12,1.2116e+12,2.1849e+04,0.0678
9.9668,130,1.1984e+12,1.1984e+12,2.1893e+04,0.0677
10.0416,131,1.1855e+12,1.1855e+12,2.1934e+04,0.0679
10.1160,132,1.1727e+12,1.1727e+12,2.1972e+04,0.0677
10.1905,133,1.1600e+12,1.1600e+12,2.2004e+04,0.0678
10.2649,134,1.1474e+12,1.1474e+12,2.2029e+04,0.0679
10.3415,135,1.1350e+12,1.1350e+12,2.2049e+04,0.0698
10.4196,136,1.1229e+12,1.1229e+12,2.2068e+04,0.0680
10.4943,137,1.1111e+12,1.1111e+12,2.2088e+04,0.0678
10.5686,138,1.0995e+12,1.0995e+12,2.2111e+04,0.0677
10.6434,139,1.0881e+12,1.0881e+12,2.2137e+04,0.0678
10.7182,140,1.0767e+12,1.0767e+12,2.2166e+04,0.0681
10.7928,141,1.0654e+12,1.0654e+12,2.2195e+04,0.0679
10.8670,142,1.0540e+12,1.0540e+12,2.2226e+04,0.0676
10.9417,143,1.0429e+12,1.0429e+12,2.2257e+04,0.0678
11.0163,144,1.0321e+12,1.0321e+12,2.2286e+04,0.0680
11.0909,145,1.0215e+12,1.0215e+12,2.2310e+04,0.0678
11.1681,146,1.0111e+12,1.0111e+12,2.2332e+04,0.0707
11.2426,147,1.0008e+12,1.0008e+12,2.2349e+04,0.0676
11.3170,148,9.9046e+11,9.9046e+11,2.2361e+04,0.0678
11.3920,149,9.8015e+11,9.8015e+11,2.2368e+04,0.0682
11.4665,150,9.6995e+11,9.6995e+11,2.2372e+04,0.0679
11.5410,151,9.5995e+11,9.5995e+11,2.2373e+04,0.0677
11.6156,152,9.5021e+11,9.5021e+11,2.2373e+04,0.0679
11.6903,153,9.4069e+11,9.4069e+11,2.2374e+04,0.0679
11.7668,154,9.3137e+11,9.3137e+11,2.2377e+04,0.0680
11.8411,155,9.2210e+11,9.2210e+11,2.2385e+04,0.0676
11.9156,156,9.1283e+11,9.1283e+11,2.2398e+04,0.0679
11.9903,157,9.0356e+11,9.0356e+11,2.2416e+04,0.0680
12.0651,158,8.9434e+11,8.9434e+11,2.2437e+04,0.0680
12.1397,159,8.8529e+11,8.8529e+11,2.2461e+04,0.0677
12.2142,160,8.7649e+11,8.7649e+11,2.2484e+04,0.0680
12.2946,161,8.6796e+11,8.6796e+11,2.2504e+04,0.0736
12.3693,162,8.5964e+11,8.5964e+11,2.2520e+04,0.0681
12.4466,163,8.5142e+11,8.5142e+11,2.2532e+04,0.0681
12.5211,164,8.4322e+11,8.4322e+11,2.2540e+04,0.0679
12.5957,165,8.3502e+11,8.3502e+11,2.2544e+04,0.0677
12.6704,166,8.2690e+11,8.2690e+11,2.2546e+04,0.0681
12.7476,167,8.1892e+11,8.1892e+11,2.2548e+04,0.0680
12.8223,168,8.1112e+11,8.1112e+11,2.2551e+04,0.0680
12.8968,169,8.0348e+11,8.0348e+11,2.2555e+04,0.0677
12.9711,170,7.9592e+11,7.9592e+11,2.2563e+04,0.0677
13.0457,171,7.8838e+11,7.8838e+11,2.2576e+04,0.0679
13.1199,172,7.8081e+11,7.8081e+11,2.2596e+04,0.0677
13.1942,173,7.7325e+11,7.7325e+11,2.2622e+04,0.0676
13.2688,174,7.6579e+11,7.6579e+11,2.2651e+04,0.0679
13.3439,175,7.5853e+11,7.5853e+11,2.2685e+04,0.0681
13.4201,176,7.5151e+11,7.5151e+11,2.2719e+04,0.0694
13.4950,177,7.4468e+11,7.4468e+11,2.2752e+04,0.0680
13.5697,178,7.3796e+11,7.3796e+11,2.2783e+04,0.0680
13.6443,179,7.3126e+11,7.3126e+11,2.2807e+04,0.0679
13.7198,180,7.2456e+11,7.2456e+11,2.2826e+04,0.0687
13.7943,181,7.1786e+11,7.1786e+11,2.2839e+04,0.0678
13.8689,182,7.1123e+11,7.1123e+11,2.2849e+04,0.0679
13.9436,183,7.0474e+11,7.0474e+11,2.2856e+04,0.0679
14.0193,184,6.9843e+11,6.9843e+11,2.2862e+04,0.0692
14.0939,185,6.9223e+11,6.9223e+11,2.2870e+04,0.0678
14.1686,186,6.8610e+11,6.8610e+11,2.2881e+04,0.0680
14.2436,187,6.7998e+11,6.7998e+11,2.2894e+04,0.0680
14.3184,188,6.7384e+11,6.7384e+11,2.2913e+04,0.0681
14.3942,189,6.6767e+11,6.6767e+11,2.2937e+04,0.0689
14.4715,190,6.6154e+11,6.6154e+11,2.2963e+04,0.0681
14.5466,191,6.5551e+11,6.5551e+11,2.2992e+04,0.0681
14.6210,192,6.4963e+11,6.4963e+11,2.3022e+04,0.0678
14.6956,193,6.4390e+11,6.4390e+11,2.3051e+04,0.0678
14.7701,194,6.3825e+11,6.3825e+11,2.3079e+04,0.0679
14.8447,195,6.3265e+11,6.3265e+11,2.3102e+04,0.0678
14.9191,196,6.2707e+11,6.2707e+11,2.3122e+04,0.0678
14.9936,197,6.2154e+11,6.2154e+11,2.3138e+04,0.0677
15.0681,198,6.1610e+11,6.1610e+11,2.3152e+04,0.0678
15.1429,199,6.1076e+11,6.1076e+11,2.3164e+04,0.0680
15.2173,200,6.0555e+11,6.0555e+11,2.3174e+04,0.0678
15.3476,201,6.0041e+11,6.0041e+11,2.3184e+04,0.0692
15.4228,202,5.9529e+11,5.9529e+11,2.3197e+04,0.0682
15.4976,203,5.9013e+11,5.9013e+11,2.3213e+04,0.0680
15.5723,204,5.8497e+11,5.8497e+11,2.3233e+04,0.0680
15.6491,205,5.7987e+11,5.7987e+11,2.3255e+04,0.0700
15.7252,206,5.7487e+11,5.7487e+11,2.3279e+04,0.0692
15.8000,207,5.6999e+11,5.6999e+11,2.3305e+04,0.0679
15.8747,208,5.6520e+11,5.6520e+11,2.3332e+04,0.0679
15.9493,209,5.6044e+11,5.6044e+11,2.3357e+04,0.0679
16.0239,210,5.5569e+11,5.5569e+11,2.3380e+04,0.0680
16.0987,211,5.5094e+11,5.5094e+11,2.3400e+04,0.0679
16.1731,212,5.4620e+11,5.4620e+11,2.3418e+04,0.0677
16.2479,213,5.4152e+11,5.4152e+11,2.3434e+04,0.0680
16.3225,214,5.3696e+11,5.3696e+11,2.3450e+04,0.0680
16.3972,215,5.3251e+11,5.3251e+11,2.3466e+04,0.0679
16.4728,216,5.2815e+11,5.2815e+11,2.3484e+04,0.0689
16.5479,217,5.2384e+11,5.2384e+11,2.3505e+04,0.0682
16.6223,218,5.1957e+11,5.1957e+11,2.3528e+04,0.0678
16.6969,219,5.1532e+11,5.1532e+11,2.3553e+04,0.0678
16.7714,220,5.1112e+11,5.1112e+11,2.3580e+04,0.0679
16.8460,221,5.0699e+11,5.0699e+11,2.3607e+04,0.0679
16.9207,222,5.0298e+11,5.0298e+11,2.3634e+04,0.0680
16.9952,223,4.9905e+11,4.9905e+11,2.3658e+04,0.0677
17.0696,224,4.9519e+11,4.9519e+11,2.3679e+04,0.0678
17.1446,225,4.9136e+11,4.9136e+11,2.3698e+04,0.0683
17.2190,226,4.8756e+11,4.8756e+11,2.3714e+04,0.0678
17.2936,227,4.8381e+11,4.8381e+11,2.3727e+04,0.0678
17.3680,228,4.8014e+11,4.8014e+11,2.3739e+04,0.0678
17.4428,229,4.7656e+11,4.7656e+11,2.3752e+04,0.0679
17.5175,230,4.7305e+11,4.7305e+11,2.3767e+04,0.0681
17.5921,231,4.6957e+11,4.6957e+11,2.3784e+04,0.0677
17.6665,232,4.6607e+11,4.6607e+11,2.3804e+04,0.0677
17.7414,233,4.6253e+11,4.6253e+11,2.3827e+04,0.0681
17.8161,234,4.5897e+11,4.5897e+11,2.3853e+04,0.0681
17.8907,235,4.5542e+11,4.5542e+11,2.3880e+04,0.0678
17.9651,236,4.5191e+11,4.5191e+11,2.3907e+04,0.0678
18.0399,237,4.4847e+11,4.4847e+11,2.3934e+04,0.0680
18.1145,238,4.4507e+11,4.4507e+11,2.3959e+04,0.0680
18.1892,239,4.4170e+11,4.4170e+11,2.3981e+04,0.0679
18.2640,240,4.3834e+11,4.3834e+11,2.4001e+04,0.0680
18.3387,241,4.3500e+11,4.3500e+11,2.4017e+04,0.0679
18.4144,242,4.3169e+11,4.3169e+11,2.4031e+04,0.0691
18.4956,243,4.2844e+11,4.2844e+11,2.4044e+04,0.0696
18.5700,244,4.2528e+11,4.2528e+11,2.4056e+04,0.0679
18.6447,245,4.2219e+11,4.2219e+11,2.4068e+04,0.0678
18.7196,246,4.1913e+11,4.1913e+11,2.4082e+04,0.0682
18.7941,247,4.1609e+11,4.1609e+11,2.4099e+04,0.0677
18.8687,248,4.1306e+11,4.1306e+11,2.4118e+04,0.0679
18.9434,249,4.1007e+11,4.1007e+11,2.4140e+04,0.0678
19.0186,250,4.0712e+11,4.0712e+11,2.4163e+04,0.0686
19.0933,251,4.0422e+11,4.0422e+11,2.4186e+04,0.0679
19.1678,252,4.0137e+11,4.0137e+11,2.4208e+04,0.0678
19.2422,253,3.9856e+11,3.9856e+11,2.4229e+04,0.0677
19.3196,254,3.9577e+11,3.9577e+11,2.4247e+04,0.0709
19.3949,255,3.9298e+11,3.9298e+11,2.4262e+04,0.0682
19.4702,256,3.9021e+11,3.9021e+11,2.4275e+04,0.0684
19.5456,257,3.8748e+11,3.8748e+11,2.4285e+04,0.0684
19.6206,258,3.8480e+11,3.8480e+11,2.4294e+04,0.0682
19.6955,259,3.8215e+11,3.8215e+11,2.4302e+04,0.0680
19.7701,260,3.7952e+11,3.7952e+11,2.4311e+04,0.0679
19.8447,261,3.7688e+11,3.7688e+11,2.4322e+04,0.0679
